Inhibition of the DNA repair Poly (ADP-ribose) polymerase 1, in permeabilised L1210 murine leukemia cells
C1=CC(=CC(=C1)N)C(=O)N,0.64
CC1=CC=CC2=C1CCNC2=O,0.72
CC1=CC=CC2=C1NC(=C3C=CC(=O)C=C3)NC2=O,0.48
C1=CC2=C(C(=C1)O)NC(=C3C=CC(=O)C=C3)NC2=O,0.47
C1=CC2=C(C(=C1)O)NC(=NC2=O)C3=CC=C(C=C3)N,0.45
C1=CC(=CC(=C1)O)C(=O)N,0.7
CC1=NC(=O)C2=C(N1)C(=CC=C2)O,0.67
CC1=CC=CC2=C1NC(=NC2=O)C3=CC=CC=C3,0.46
COC1=CC=CC2=C1NC(=NC2=O)C3=CC=C(C=C3)[N+](=O)[O-],0.38
CC1=CC=CC2=C1NC(=NC2=O)C3=CC=C(C=C3)[N+](=O)[O-],0.45
COC1=CC=CC2=C1NC(=NC2=O)C3=CC=CC=C3,0.39
C1=CC=C2C(=C1)C=CNC2=O,0.6
C1=CC=C(C=C1)C2=NC(=O)C3=C(N2)C(=CC=C3)O,0.45
C1=CC2=C(C(=C1)O)NC(=NC2=O)C3=CC=C(C=C3)[N+](=O)[O-],0.43
CC1=CC=CC2=C1NC(=NC2=O)C3=CC=C(C=C3)C(=O)OC,0.33
CC1=CC=CC2=C1NC(=NC2=O)C3=CC=C(C=C3)N,0.46
COC1=CC=C(C=C1)C2=NC(=O)C3=C(N2)C(=CC=C3)OC,0.37
CC1=CC=CC2=C1NC(=NC2=O)C3=CC=C(C=C3)OC,0.46
CC1=CC=CC2=C1NC(=NC2=O)C3=CC=C(C=C3)C#N,0.45
COC1=CC=CC2=C1NC(=NC2=O)C3=CC=C(C=C3)C(F)(F)F,0.26
COC1=CC=CC2=C1NC(=NC2=O)C3=CC=C(C=C3)C#N,0.38
COC1=CC=CC2=C1NC(=NC2=O)C3=CC=C(C=C3)N=[N+]=[N-],0.35
CC1=NC(=O)C2=C(N1)C(=CC=C2)OC,0.6
CC1=CC=CC2=C1NC(=NC2=O)C,0.67
