Inhibition of Lactobacillus casei thymidylate synthase using N5,N10-methylene tetrahydrofolate by chromogenic assay
C1=CC=C2C(=C1)C(=O)OC2(C3=CC=C(C=C3)O)C4=CC=C(C=C4)O,0.3
C1=CC2=C3C(=C1)C(=O)OC(C3=CC=C2)(C4=CC(=C(C=C4)O)Cl)C5=CC(=C(C=C5)O)Cl,0.28
CC1=CC=CC2=C1C(=O)N(C2=O)C3=CC(=NC=C3)Cl,0.33
CC1=CC=CC2=C1C(=O)N(C2=O)C3=CC=C(C=C3)C(=O)C,0.34
CC1=CC=CC2=C1C(=O)N(C2=O)C3=CC(=C(C=C3)C(=O)O)O,0.3
CC1=CC=CC2=C1C(=O)N(C2=O)C3=C(C=CC(=C3)C4=CC=CC=C4)O,0.3
CC1=CC=CC2=C1C(=O)N(C2=O)C3=CC=C(C=C3)C#N,0.32
CN1C(=O)C2=C(C1=O)C(=CC=C2)CBr,0.39
CC1=CC=CC2=C1C(=O)N(C2=O)C3=CC(=CC(=C3)C(=O)O)C(=O)O,0.27
CC1=CC=CC2=C1C(=O)N(C2=O)C3=CC=C(C=C3)C(=O)NCC(=O)O,0.3
CC1=CC=CC2=C1C(=O)N(C2=O)C3=CC=CC(=C3)C(=O)O,0.27
CN1C(=O)C2=C(C1=O)C(=CC=C2)CNCCCOC,0.32
CN1C(=O)C2=C(C1=O)C(=CC=C2)CNCCC3=CC=CS3,0.36
CN1C(=O)C2=C(C1=O)C(=CC=C2)CNC3=CC=C(C=C3)S(=O)(=O)O,0.26
CC1=CC=CC2=C1C(=O)N(C2=O)C3=CC=C(C=C3)N4C=CN=C4,0.27
CC1=CC=CC2=C1C(=O)N(C2=O)C3=CC(=CC=C3)O,0.29
CCOC(=O)C1=CC=C(C=C1)NCC2=CC=CC3=C2C(=O)N(C3=O)C,0.23
CN1C(=O)C2=C(C1=O)C(=CC=C2)CNC3=CC=C(C=C3)C(=O)C4=CC=CC=C4,0.24
CN1C(=O)C2=C(C1=O)C(=CC=C2)CNC3=CC=C(C=C3)C#N,0.27
CN1C(=O)C2=C(C1=O)C(=CC=C2)CNC3=CC(=CC=C3)S(=O)(=O)N,0.25
CN1C(=O)C2=C(C1=O)C(=CC=C2)CNC3=CC=C(C4=CC=CC=C43)[N+](=O)[O-],0.25
CC1=CC=CC2=C1C(=O)N(C2=O)C3=CC=C(C=C3)C(=N)N.Cl,0.33
CC1=CC=CC2=C1C(=O)N(C2=O)CCC3=CC=CS3,0.31
CC1=CC=CC2=C1C(=O)N(C2=O)C3=CC(=C(C=C3)N4C(=O)C5=C(C4=O)C=C(C=C5)Cl)C,0.2
CN1C(=O)C2=C(C1=O)C(=CC=C2)CNCCP(=O)(O)O,0.38
CC1=CC=CC2=C1C(=O)N(C2=O)C3=CC=C(C=C3)C(F)(F)F,0.3
CC1=CC=CC2=C1C(=O)N(C2=O)C3=NC=CS3,0.44
CC1=CC=CC2=C1C(=O)N(C2=O)C3=CC=CC4=C3C=CN4,0.3
CN1C(=O)C2=C(C1=O)C(=CC=C2)CNC3=NC=C(C=C3)C(=O)O,0.27
