Inhibition of human cytomegalovirus DNA polymerase (95 uL) activity in a solution containing 6.4 mM HEPES (pH 7.5), incubation for 12 minutes at 26 degrees C
C(=O)(O)P(=O)(O)O,1.09
CC12CCC(C(C1CCC3C24CCC(C(C3)C4)(CO)O)(C)CO)O,0.36
CC1=CN(C(=O)NC1=O)C2CC(C(O2)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)N=[N+]=[N-],0.21
C1=CC(=CC=C1CNC(=O)C2=CN(C3=C(C2=O)C=C(S3)C#CCO)CCO)Cl,0.29
CCN(CC)CCN1C=C(C(=O)C2=C1SC(=C2)C#CCO)C(=O)NCC3=CC=C(C=C3)Cl,0.25
C1=CC(=CC=C1CNC(=O)C2=CNC3=C(C2=O)C=C(S3)CCCO)Cl,0.31
CN1C=C(C(=O)C2=C1SC(=C2)CCCO)C(=O)NCC3=CC=C(C=C3)Cl,0.34
CCN1C=C(C(=O)C2=C1SC(=C2)CCCO)C(=O)NCC3=CC=C(C=C3)Cl,0.31
CC(C)N1C=C(C(=O)C2=C1SC(=C2)CCCO)C(=O)NCC3=CC=C(C=C3)Cl,0.27
C1=CC(=CC=C1CNC(=O)C2=CN(C3=C(C2=O)C=C(S3)CCCO)CCO)Cl,0.3
CCN(CC)CCN1C=C(C(=O)C2=C1SC(=C2)CCCO)C(=O)NCC3=CC=C(C=C3)Cl,0.26
CN1C=C(C(=O)C2=C1SC(=C2)CO)C(=O)NCC3=CC=C(C=C3)Cl,0.27
CN1C=C(C(=O)C2=C1SC(=C2)CCO)C(=O)NCC3=CC=C(C=C3)Cl,0.29
CN1C=C(C(=O)C2=C1SC(=C2)CCCCO)C(=O)NCC3=CC=C(C=C3)Cl,0.32
CN1C=C(C(=O)C2=C1SC(=C2)CCCCCO)C(=O)NCC3=CC=C(C=C3)Cl,0.24
CN1C=C(C(=O)C2=C1SC(=C2)C#CCCO)C(=O)NCC3=CC=C(C=C3)Cl,0.25
CN1C=C(C(=O)C2=C1SC(=C2)C#CCCCO)C(=O)NCC3=CC=C(C=C3)Cl,0.23
CN1C=C(C(=O)C2=C1SC(=C2)CN3CCOCC3)C(=O)NCC4=CC=C(C=C4)Cl,0.28
C1=CC(=CC=C1CNC(=O)C2=CNC3=C(C2=O)C=C(C=C3)CCCO)Cl,0.34
CN1C=C(C(=O)C2=C1C=CC(=C2)CN3CCOCC3)C(=O)NCC4=CC=C(C=C4)Cl,0.28
C1=CC(=CC=C1CNC(=O)C2=CNC3=C(C2=O)C=C(S3)C#CCO)Cl,0.3
CN1C=C(C(=O)C2=C1SC(=C2)C#CCO)C(=O)NCC3=CC=C(C=C3)Cl,0.32
CCN1C=C(C(=O)C2=C1SC(=C2)C#CCO)C(=O)NCC3=CC=C(C=C3)Cl,0.29
CC(C)N1C=C(C(=O)C2=C1SC(=C2)C#CCO)C(=O)NCC3=CC=C(C=C3)Cl,0.26
