Inhibitory potency against human fibroblast collagenase, MMP-1
CC(C)CC(CC(=O)NO)C(=O)NC(CC1=CC=CC=C1)C(=O)NC,0.45
CNC(=O)C(CC1=CC=CC=C1)NC(=O)C(CCCCCOC2=CC=CC=C2)CC(=O)NO,0.31
CC(C)C1=CC=C(C=C1)OCCCCC(CC(=O)NO)C(=O)NC(C(=O)NC)C(C)(C)C,0.32
CC(C)(C)C(C(=O)NCCCC(=O)O)NC(=O)C(CCCCOC1=CC=CC=C1)CC(=O)NO,0.29
CC(C)(C)C1=CC=C(C=C1)OCCCCC(CC(=O)NO)C(=O)NC(C(=O)NC)C(C)(C)C,0.27
CCCC1=CC=C(C=C1)OCCCCC(CC(=O)NO)C(=O)NC(C(=O)NC)C(C)(C)C,0.29
CC1=CC=C(C=C1)OCCCCC(CC(=O)NO)C(=O)NC(C(=O)NC)C(C)(C)C,0.36
CC(C)(C)C(C(=O)NC)NC(=O)C(CCCCOC1=CC=CC=C1)CC(=O)NO,0.4
CNC(=O)C(CC1=CC=CC=C1)NC(=O)C(CCCC(=O)NCC2=CC=CC=C2)CC(=O)NO,0.2
CCCC(=O)NCCCCC(CC(=O)NO)C(=O)NC(CC1=CC=CC=C1)C(=O)NC,0.26
CNC(=O)C(CC1=CC=CC=C1)NC(=O)C(CCCCOCC2=CC=CC=C2)CC(=O)NO,0.24
CNC(=O)C(CC1=CC=CC=C1)NC(=O)C(CCCCOC2=CC=CC=C2)CC(=O)NO,0.35
CNC(=O)C(CC1=CC=CC=C1)NC(=O)C(CCCCCOCC2=CC=CC=C2)CC(=O)NO,0.24
CC(C)(C)C(C(=O)NC)NC(=O)C(CCCCOC1=CC(=C(C=C1)Cl)Cl)CC(=O)NO,0.31
CC(C)(C)C(C(=O)NC)NC(=O)C(CCCCOC1=CC=CC(=C1)OC)CC(=O)NO,0.31
CC(C)(C)C(C(=O)NC)NC(=O)C(CCCCOC1=CC(=CC=C1)Cl)CC(=O)NO,0.31
CC(C)(C)C(C(=O)NC)NC(=O)C(CCCCOC1=CC=C(C=C1)F)CC(=O)NO,0.36
CC(C)(C)C(C(=O)NC)NC(=O)C(CCCCOC1=CC=C(C=C1)Cl)CC(=O)NO,0.35
CC(C)(C)C(C(=O)NCCC1=CC=C(C=C1)S(=O)(=O)N)NC(=O)C(CCCCOC2=CC=C(C=C2)Cl)CC(=O)NO,0.24
CCCCCC1=CC=C(C=C1)OCCCCC(CC(=O)NO)C(=O)NC(C(=O)NC)C(C)(C)C,0.23
CC(C)(C)C(C(=O)NCCC(=O)O)NC(=O)C(CCCCOC1=CC=CC=C1)CC(=O)NO,0.28
CC(C)(C)C(C(=O)NCCC1=CC=CC=N1)NC(=O)C(CCCCOC2=CC=C(C=C2)Cl)CC(=O)NO,0.26
CC(C)(C)C(C(=O)NCCC1=CC=CC=C1)NC(=O)C(CCCCOC2=CC=C(C=C2)Cl)CC(=O)NO,0.23
CC(C)(C)C(C(=O)NCCN1CCCC1)NC(=O)C(CCCCOC2=CC=C(C=C2)Cl)CC(=O)NO,0.27
CC(C)(C)C(C(=O)NCCCN1CCOCC1)NC(=O)C(CCCCOC2=CC=C(C=C2)Cl)CC(=O)NO,0.29
CNC(=O)C(CC1=CC=CC=C1)NC(=O)C(CCCC(=O)NCCC2=CC=CC=C2)CC(=O)NO,0.23
CNC(=O)C(CC1=CC=CC=C1)NC(=O)C(CCCCO)CC(=O)NO,0.38
CNC(=O)C(CC1=CC=CC=C1)NC(=O)C(CCCCCO)CC(=O)NO,0.38
CCCNC(=O)CCCC(CC(=O)NO)C(=O)NC(CC1=CC=CC=C1)C(=O)NC,0.24
CNC(=O)C(CC1=CC=CC=C1)NC(=O)C(CCCC(=O)O)CC(=O)NO,0.28
CC1=CC(=CC=C1)OCCCCC(CC(=O)NO)C(=O)NC(C(=O)NC)C(C)(C)C,0.35
CNC(=O)C(CC1=CC=CC=C1)NC(=O)C(CCCOCC2=CC=CC=C2)CC(=O)NO,0.24
