Inhibition of ALK using FL-Peptide 13, 5-FAM-KKSRGDYMTMQIG-CONH2 substrate after 60 mins by mobility shift assay
CC1=CC(=C(N1)C=C2C3=CC=CC=C3NC2=O)C,0.44
CCC1=NC(=C(N1)C)C=C2C3=CC=CC=C3NC2=O,0.42
COC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=C(C=C3)O)OC,0.35
CN(C)S(=O)(=O)C1=CC2=C(C=C1)NC(=O)C2=CC3=CC4=C(N3)CCCC4,0.32
CCOC(=O)C1=CC=C(C=C1)NC2=NC3=NC=CN=C3C(=N2)NC4=CC=C(C=C4)Cl,0.25
CC1=CC(=C(N1)C=C2C3=CC=CC=C3NC2=O)C4=CC=C(C=C4)N,0.37
CC1=CC(=C(N1)C=C2C3=CC=CC=C3NC2=O)C4=CC(=CC=C4)NCCN,0.36
C1=CC=C2C(=C1)C(=NC(=C3C=CC=CC3=O)N2)NC4=CC=C(C=C4)O,0.29
C1=CC(=CC=C1NC2=NC=NC3=C2C=C(C=C3)Br)O,0.4
C1=CC(=CC=C1NC2=NC=NC3=C2C=C(C=C3)[N+](=O)[O-])O,0.33
CC1=CC=C(C=C1)NC2=NC(=O)C(=C3C4=CC=CC=C4NC3=O)S2,0.31
CC1CN(CC(O1)C)CC2=C(NC3=C2C=CC=N3)C4=CC=CS4,0.3
CC1=CC(=C(N1)C=C2C3=CC=CC=C3NC2=O)C4=CC(=CC=C4)N,0.41
CC1=CC(=C(N1)C=C2C3=C(C=CC(=C3)N)NC2=O)C4=CC(=CC=C4)N,0.4
CC1=CC(=C(N1)C=C2C3=C(C=CC(=C3)N)NC2=O)C4=CC=C(C=C4)N,0.39
C1=CC=C(C=C1)C2=C(C=NN2)C=C3C4=CC=CC=C4NC3=O,0.36
CC1=CC2=NC(=C(N2C=C1)NC=C3C=C(C=CC3=O)Cl)C4=CC(=C(C=C4)O)OC,0.26
CC1=C(NC(=C1C2=CC(=CC=C2)NCCN)C)C=C3C4=CC=CC=C4NC3=O,0.3
CC1=C(NC(=C1C2=CC=C(C=C2)NCCN)C)C=C3C4=CC=CC=C4NC3=O,0.31
C1=CC=C2C(=C1)C(=NC(=C3C=CC=CC3=O)N2)NC4=CC=C(C=C4)Cl,0.28
CC1=C(NC(=C1C(=O)O)C)C=C2C3=C(C=CC(=C3)F)NC2=O,0.38
CC1=CC(=C(N1)C=C2C3=CC=CC=C3NC2=O)C4=CC=C(C=C4)NCCN,0.35
