Inhibition of human factor 10a using N-Z-D-Arg-Gly-Arg-pNA, S-2765 chromogenic substrate
C1COCC(=O)N1C2=CC=C(C=C2)N3CC(OC3=O)CNC(=O)C4=CC=C(S4)Cl,0.38
C1COCC(=O)N1C2=CC3=C(C=C2)N4C(CO3)C(OC4=O)CNC(=O)C5=CC=C(S5)Cl,0.37
C1COCC(=O)N1C2=CC3=C(C=C2)N4C(CO3)C(OC4=O)CNC(=O)C5=CC=C(S5)Cl,0.32
C1CCN(C(=O)C1)C2=CC3=C(C=C2)N4C(CO3)C(OC4=O)CNC(=O)C5=CC=C(S5)Cl,0.34
CC(=O)N(C)C1=CC2=C(C=C1)N3C(CO2)C(OC3=O)CNC(=O)C4=CC=C(S4)Cl,0.33
C1COC(=O)N1C2=CC3=C(C=C2)N4C(CO3)C(OC4=O)CNC(=O)C5=CC=C(S5)Cl,0.28
C1CN(C(=O)CC12OCCO2)C3=CC4=C(C=C3)N5C(CO4)C(OC5=O)CNC(=O)C6=CC=C(S6)Cl,0.22
COC1CCN(C(=O)C1)C2=CC3=C(C=C2)N4C(CO3)C(OC4=O)CNC(=O)C5=CC=C(S5)Cl,0.26
COC1CCN(C(=O)C1)C2=CC3=C(C=C2)N4C(CO3)C(OC4=O)CNC(=O)C5=CC=C(S5)Cl,0.24
C1CN(C(=O)CC1O)C2=CC3=C(C=C2)N4C(CO3)C(OC4=O)CNC(=O)C5=CC=C(S5)Cl,0.29
C1CN(C(=O)CC1F)C2=CC3=C(C=C2)N4C(CO3)C(OC4=O)CNC(=O)C5=CC=C(S5)Cl,0.31
C1CN(C(=O)CC1O)C2=CC3=C(C=C2)N4C(CO3)C(OC4=O)CNC(=O)C5=CC=C(S5)Cl,0.25
C1CN(C(=O)CC1F)C2=CC3=C(C=C2)N4C(CO3)C(OC4=O)CNC(=O)C5=CC=C(S5)Cl,0.32
C1CN(C(=O)CN1)C2=CC3=C(C=C2)N4C(CO3)C(OC4=O)CNC(=O)C5=CC=C(S5)Cl,0.3
CN1CCN(C(=O)C1)C2=CC3=C(C=C2)N4C(CO3)C(OC4=O)CNC(=O)C5=CC=C(S5)Cl,0.24
CCN1CCN(C(=O)C1)C2=CC3=C(C=C2)N4C(CO3)C(OC4=O)CNC(=O)C5=CC=C(S5)Cl,0.2
C1CN(C(=O)CN1CC2=CC=CC=C2)C3=CC4=C(C=C3)N5C(CO4)C(OC5=O)CNC(=O)C6=CC=C(S6)Cl,0.18
CC(=O)N1CCN(C(=O)C1)C2=CC3=C(C=C2)N4C(CO3)C(OC4=O)CNC(=O)C5=CC=C(S5)Cl,0.29
CS(=O)(=O)N1CCN(C(=O)C1)C2=CC3=C(C=C2)N4C(CO3)C(OC4=O)CNC(=O)C5=CC=C(S5)Cl,0.21
C1CN(C(=O)CN1S(=O)(=O)C2=CC=CC=C2)C3=CC4=C(C=C3)N5C(CO4)C(OC5=O)CNC(=O)C6=CC=C(S6)Cl,0.18
CS(=O)(=O)C1=CC=CC=C1C2=CC3=C(C=C2)N4C(CO3)C(OC4=O)CNC(=O)C5=CC=C(S5)Cl,0.3
C1C2C(OC(=O)N2C3=C(O1)C=C(C=C3)C4=CC=CC=C4S(=O)(=O)N)CNC(=O)C5=CC=C(S5)Cl,0.29
C1COCC(=O)N1C2=CC3=C(C=C2)N4C(CO3)C(OC4=O)CNC(=O)C5=CC=C(C=C5)Cl,0.29
C1COCC(=O)N1C2=CC3=C(C=C2)N4C(CO3)C(OC4=O)CNC(=O)C5=NC=C(C=C5)Cl,0.26
COC1=CC=C(C=C1)C(=O)NCC2C3COC4=C(N3C(=O)O2)C=CC(=C4)N5CCOCC5=O,0.22
C1COCC(=O)N1C2=CC3=C(C=C2)N4C(CO3)C(OC4=O)CNC(=O)C5=CC(=C(S5)Cl)Cl,0.22
C1COCC(=O)N1C2=CC3=C(C=C2)N4C(CO3)C(OC4=O)CNC(=O)C5=CN=C(S5)Cl,0.23
C1COCC(=O)N1C2=CC3=C(C=C2)N4C(CO3)C(OC4=O)CNC(=O)C5=CC6=C(S5)C=C(C=C6)Cl,0.22
C1COCC(=O)N1C2=CC3=C(C=C2)N4C(CO3)C(OC4=O)CNC(=O)C5=CC6=C(S5)C=CC(=C6)Cl,0.18
C1COCC(=O)N1C2=CC3=C(C=C2)N4C(CO3)C(OC4=O)CNC(=O)C(Cl)Cl,0.21
C1COCC(=O)N1C2=CC3=C(C=C2)N4C(CO3)C(OC4=O)CNC(=O)NC5=CC=C(S5)Cl,0.3
C1COCC(=O)N1C2=CC3=C(C=C2)N4C(CO3)C(OC4=O)CNC(=O)NC5=CC=C(C=C5)Cl,0.31
