Inhibition of HIV-1 integrase, under 1 uM for the 3''-preprocessing
C1=C2C3=C(C(=C1O)O)OC(=O)C4=CC(=C(C(=C43)OC2=O)O)O,0.33
C1=CC(=C2C(=C1NCCNCCO)C(=O)C3=C(C=CC(=C3C2=O)O)O)NCCNCCO,0.23
CC1=CC(=C2C3=C1C4=C5C(=C(C=C4C)O)C(=O)C6=C(C=C(C7=C6C5=C3C8=C7C(=CC(=C8C2=O)O)O)O)O)O,0.18
C1=CC(=C(C2=C1C(=O)C3=C(C=CC(=C3C2=O)O)O)O)O,0.37
C1C(C(C(CC1(C(=O)O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)O)O,0.22
C1=CC(=C(C=C1C2=C(C(=O)C3=C(C(=C(C=C3O2)O)O)O)O)O)O,0.35
C1=C(C=C(C(=C1O)O)O)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O,0.34
C1C(C(C(CC1(C(=O)O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)O)OC(=O)C=CC3=CC(=C(C=C3)O)O,0.23
C1C(C(C(CC1(C(=O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)OC(=O)C=CC3=CC(=C(C=C3)O)O)O)O,0.23
C1C(C(OC2=CC(=C(C=C21)O)O)C3=CC(=C(C=C3)O)O)OC(=O)CC(CCC4=CC(=C(C=C4)O)O)O,0.22
CC1=CC=CC2=C1C(=C3C(C2(C)O)CC4C(C3=O)C(=O)C(=C(C4N(C)C)O)C(=O)NCN5CCN(CC5)C(=N)N=C(N)N)O,0.19
C1C(C(C(CC1(C(=O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)O)OC(=O)C=CC3=CC(=C(C=C3)O)O)O,0.19
C1=CC(=C(C=C1C=C(C#N)C(=O)NCCCNC(=O)C(=CC2=CC(=C(C=C2)O)O)C#N)O)O,0.21
C1=CC(=C(C=C1CCC(=O)C2=C(C(=C(C=C2)O)O)O)O)O,0.38
C1=CC(=C(C=C1C=CC(=O)OC(C(C(=O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)C(=O)O)O)O,0.27
C1=CC(=CNNC=C2C=CC=C(C2=O)O)C(=O)C(=C1)O,0.32
C1=CC(=O)C(=C2C(=C1)C=C(C(=C2O)O)O)O,0.48
CC1=CC=CC2=C1C(=C3C(C2(C)O)CC4C(C3=O)C(=O)C(=C(C4N(C)C)O)C(=O)NNC5(CCCC5)C(=O)[O-])O.[Na+],0.2
CC1CN(CC(N1NC=C2C3=C(C4=C(C(=C5C(=C4C2=O)C(=O)C(O5)(OC=CC(C(C(C(C(C(C(C(C=CC=C(C(=O)N3)C)C)O)C)O)C)OC(=O)C)C)OC)C)C)O)O)C)CC6=CC=C(C=C6)[N+](=O)[O-],0.09
C1=CC(=C(C=C1CC(C(=O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)O)O,0.27
C1C(C(C(CC1(C(=O)O)O)OC(=O)C=CC2=CC(=C(C=C2)O)O)OC(=O)C=CC3=CC(=C(C=C3)O)O)O,0.24
CC1=CC=CC2=C1C(=C3C(C2(C)O)CC4C(C3=O)C(=O)C(=C(C4N(C)C)O)C(=O)NCNC(CO)(CO)CO)O.Cl,0.2
CC1C(C(CC(O1)OC2CC(CC3=C(C4=C(C(=C23)O)C(=O)C5=C(C4=O)C=CC=C5O)O)(C(=O)CO)O)N)O.Cl,0.2
CC1C(C(CC(O1)OC2CC(CC3=C(C4=C(C(=C23)O)C(=O)C5=C(C4=O)C=CC=C5OC)O)(C(=O)CO)O)N)O,0.21
