Displacement of [125I][Phe13,Tyr19]-MCH from human MCHR1 expressed in HEK293 cells by scintillation counting analysis
COC1=C(C=C(C=C1)N2C=NN3C=C(C=C3C2=O)C4=CC=C(C=C4)Cl)OC,0.39
COC1=C(C=C(C=C1)N2C=NN3C(=CC(=N3)C4=CC=C(C=C4)Cl)C2=O)OC,0.36
COC1=C(C=C(C=C1)N2C=NN3C=C(N=C3C2=O)C4=CC=C(C=C4)Cl)OC,0.36
COC1=C(C=CC(=C1)N2C=NN3C=C(C=C3C2=O)C4=CC=C(C=C4)Cl)OCCN5CCCC5,0.38
COC1=C(C=CC(=C1)N2C=NN3C(=CC(=N3)C4=CC=C(C=C4)Cl)C2=O)OCCN5CCCC5,0.38
COC1=C(C=CC(=C1)N2C=NN3C=C(N=C3C2=O)C4=CC=C(C=C4)Cl)OCCN5CCCC5,0.35
COC1=C(C=CC(=C1)N2C=NN3C=C(C=C3C2=O)C4=CC=C(C=C4)Cl)OCC(C5CC5)O,0.36
COC1=C(C=CC(=C1)N2C=NN3C(=CC(=N3)C4=CC=C(C=C4)Cl)C2=O)OCC(C5CC5)O,0.34
COC1=C(C=CC(=C1)N2C=NN3C=C(N=C3C2=O)C4=CC=C(C=C4)Cl)OCC(C5CC5)O,0.32
CNC1CCN(C1)C2=NC=C(C=C2)N3C=NN4C=C(C=C4C3=O)C5=CC=C(C=C5)Cl,0.43
C1C(CN1C2=NC=C(C=C2)N3C=NN4C=C(C=C4C3=O)C5=CC=C(C=C5)Cl)O,0.38
C1CN(CC1O)C2=NC=C(C=C2)N3C=NN4C=C(C=C4C3=O)C5=CC=C(C=C5)Cl,0.39
C1CN(CC1O)C2=NC=C(C=C2)N3C=NN4C=C(C=C4C3=O)C5=NC=C(C=C5)Cl,0.33
C1CN(CC1N2CC(C2)O)C3=NC=C(C=C3)N4C=NN5C=C(C=C5C4=O)C6=CC=C(C=C6)Cl,0.38
C1CN(CCC1O)C2=NC=C(C=C2)N3C=NN4C=C(C=C4C3=O)C5=CC=C(C=C5)Cl,0.36
CC(C)(COC1=C(C=C(C=C1)N2C=NN3C=C(C=C3C2=O)C4=CC=C(C=C4)Cl)OC)O,0.38
COC1=C(C=CC(=C1)N2C=NN3C=C(C=C3C2=O)C4=CC=C(C=C4)Cl)N5CCC(C5)O,0.37
COC1=C(C=CC(=C1)N2C=NN3C=C(C=C3C2=O)C4=CC=C(C=C4)Cl)N5CC(C(C5)O)O,0.36
COC1=C(C=CC(=C1)N2C=NN3C=C(C=C3C2=O)C4=CC=C(C=C4)Cl)OCC5(CC(C5)(F)F)O,0.34
CCS(=O)(=O)CC(COC1=C(C=C(C=C1)N2C=NN3C=C(C=C3C2=O)C4=CC=C(C=C4)Cl)OC)O,0.34
COC1=C(C=CC(=C1)N2C=NN3C=C(C=C3C2=O)C4=NC=C(C=C4)Cl)OCC(C5CC5)O,0.34
COC1=C(C=CC(=C1)N2C=NN3C=C(C=C3C2=O)C4=NC=C(C=C4)Cl)OCC(C5CC5)O,0.35
COC1=C(C=CC(=C1)N2C=NN3C=C(C=C3C2=O)C4=NC=C(C=C4)Cl)N5CCC(C5)O,0.35
CCS(=O)(=O)CC(COC1=C(C=C(C=C1)N2C=NN3C=C(C=C3C2=O)C4=NC=C(C=C4)Cl)OC)O,0.31
COC1=C(C=CC(=C1)N2C=NN3C=C(C=C3C2=O)C4=NC=C(C=C4)Cl)OCC5(CC(C5)(F)F)O,0.33
CC(C)(COC1=C(C=C(C=C1)N2C=NN3C=C(C=C3C2=O)C4=NC=C(C=N4)Cl)OC)O,0.35
COC1=C(C=CC(=C1)N2C=NN3C=C(C=C3C2=O)C4=NC=C(C=N4)Cl)OCC(C5CC5)O,0.33
CCS(=O)(=O)CC(COC1=C(C=C(C=C1)N2C=NN3C=C(C=C3C2=O)C4=NC=C(C=N4)Cl)OC)O,0.29
COC1=C(C=CC(=C1)N2C=NN3C=C(C=C3C2=O)C4=NC=C(C=N4)Cl)OCC5(CC(C5)(F)F)O,0.32
