Inhibitory effect against recombinant human protein-tyrosine phosphatase 1B (PTP1B), using p-nitrophenyl phosphate substrate at pH 5.5.
COC1=C(C=C(C=C1)C2=CC(=C(S2)C(=O)O)NC(=O)C(=O)O)OC,0.26
C1=CC(=CC(=C1)N)C2=CC(=C(S2)C(=O)O)NC(=O)C(=O)O,0.34
C1CCC2=C(CC1)SC(=C2C(=O)O)NC(=O)C(=O)O,0.35
C1CCC2=C(C1)C(=C(S2)NC(=O)C(=O)O)C(=O)O,0.39
C1CC2=C(C1)SC(=C2C(=O)O)NC(=O)C(=O)O,0.4
COC1=CC(=CC(=C1)C2=CC(=C(S2)C(=O)O)NC(=O)C(=O)O)OC,0.29
C1=CC=C(C=C1)OC2=CC=C(C=C2)C3=CC(=C(S3)C(=O)O)NC(=O)C(=O)O,0.23
C1=CC(=CC=C1C2=CC(=C(S2)C(=O)O)NC(=O)C(=O)O)O,0.35
COC1=CC=C(C=C1)C2=CC(=C(S2)C(=O)O)NC(=O)C(=O)O,0.31
C1=CC=C(C=C1)COC2=CC=C(C=C2)C3=CC(=C(S3)C(=O)O)NC(=O)C(=O)O,0.23
C1CC2=C(CC1O)SC(=C2C(=O)O)NC(=O)C(=O)O,0.41
C1CC2=C(CC1=O)SC(=C2C(=O)O)NC(=O)C(=O)O,0.42
C1CN(CC2=C1C(=C(S2)NC(=O)C(=O)O)C(=O)O)CCC3=CC=CC=C3,0.35
C1CN(CC2=C1C(=C(S2)NC(=O)C(=O)O)C(=O)O)CC3=NC4=CC=CC=C4C=C3,0.27
C1CN(CC2=C1C(=C(S2)NC(=O)C(=O)O)C(=O)O)CC3=CC=NC=C3,0.33
C1CN(CC2=C1C(=C(S2)NC(=O)C(=O)O)C(=O)O)CC3=CC=CC=C3,0.33
CN1CCC2=C(C1)SC(=C2C(=O)O)NC(=O)C(=O)O,0.43
C1COCC2=C1C(=C(S2)NC(=O)C(=O)O)C(=O)O,0.37
C1CN(CC2=C1C(=C(S2)NC(=O)C(=O)O)C(=O)O)CC3=CN=CC=C3,0.33
C1CNCC2=C1C(=C(S2)NC(=O)C(=O)O)C(=O)O,0.5
C1CC2=C(CC1C3OCCO3)SC(=C2C(=O)O)NC(=O)C(=O)O,0.34
C1CS(=O)(=O)CC2=C1C(=C(S2)NC(=O)C(=O)O)C(=O)O,0.36
C1CS(=O)CC2=C1C(=C(S2)NC(=O)C(=O)O)C(=O)O,0.38
C1CSCC2=C1C(=C(S2)NC(=O)C(=O)O)C(=O)O,0.39
C1=CC=C(C(=C1)C(=O)O)NC(=O)C(=O)O,0.42
C1=CC(=CC=C1C2=CC(=C(S2)C(=O)O)NC(=O)C(=O)O)Cl,0.33
C1=CC(=CC=C1C2=CC(=C(S2)C(=O)O)NC(=O)C(=O)O)F,0.33
COC1=CC=CC(=C1)C2=CC(=C(S2)C(=O)O)NC(=O)C(=O)O,0.31
C1=CNC2=CC(=C(C=C21)C(=O)O)NC(=O)C(=O)O,0.39
CC(C)CC1=CC=C(C=C1)C2=CC(=C(S2)C(=O)O)NC(=O)C(=O)O,0.28
C1=CC(=CC(=C1)[N+](=O)[O-])C2=CC(=C(S2)C(=O)O)NC(=O)C(=O)O,0.32
C1=CC=C(C=C1)C2=CC(=C(C=C2)NC(=O)C(=O)O)C(=O)O,0.32
C1CN(CC2=C1C(=C(S2)NC(=O)C(=O)O)C(=O)O)CC3=CC=CC=N3,0.33
C1=CC(=CC=C1C2=CC(=C(S2)C(=O)O)NC(=O)C(=O)O)OCC(=O)O,0.31
COC1=CC=CC(=C1)CN2CCC3=C(C2)SC(=C3C(=O)O)NC(=O)C(=O)O,0.31
C1=CSC=C1C2=CC(=C(S2)C(=O)O)NC(=O)C(=O)O,0.36
C1=CC=C(C=C1)C2=CC(=C(S2)C(=O)O)NC(=O)C(=O)O,0.33
C1=CC(=C(C2=C1C=CN2)C(=O)O)NC(=O)C(=O)O,0.36
C1=CSC(=C1NC(=O)C(=O)O)C(=O)O,0.43
