Inhibition of dopamine uptake into rat striatal tissue, using [3H]- dopamine as the radioligand.
CN(C)CC1C2CCC(C1C3=CC(=C(C=C3)Cl)Cl)CC2,0.51
C1CC2CC1C(C2C3=CC=CC=C3)CN,0.55
C1CC2CC1C(C2C3=CC(=CC=C3)Cl)CN,0.52
CN(C)CC1C2CCC(C1C3=CC=C(C=C3)OC)CC2,0.4
COC1=CC=CC=C1C2C3CCC(C3)C2CN,0.36
C1CC2CC1C(C2C3=CC(=C(C=C3)Cl)Cl)CN,0.56
C1CC2CC1C(C2C3=CC=C(C=C3)Cl)CN,0.57
COC1=CC=C(C=C1)C2C3CCC(C3)C2CN,0.42
COC1=CC=CC(=C1)C2C3CCC(C3)C2CN,0.42
C1CC2CCC1C(C2C3=CC(=C(C=C3)Cl)Cl)CN,0.57
C1CC2CCC1C(C2C3=CC=C(C=C3)Cl)CN,0.58
C1CC2CCC1C(C2C3=CC(=CC=C3)Cl)CN,0.48
C1CC2CCC1C(C2C3=CC=CC=C3)CN,0.45
CN(C)CC1C2CCC(C2)C1C3=CC=CC=C3,0.43
CN(C)CC1C2CCC(C1C3=CC(=CC=C3)Cl)CC2,0.47
C1CC2CCC1C(C2C3=CC=C(C=C3)N)CN,0.49
CN(C)CC1C2CCC(C1C3=CC=CC=C3)CC2,0.46
COC1=CC=C(C=C1)C2C3CCC(C2CN)CC3,0.44
CN1C2CCC1C(C(C2)OC(=O)C3=CC=CC=C3)C(=O)OC,0.4
CN1C2CCC1C(C(C2)C3=CC=C(C=C3)F)C(=O)OC,0.5
