Prostaglandin D2 receptor antagonist activity, evaluated by inhibition of [3H]PGD-2 binding to human platelet membranes
CC1(C2CC(C(C1C2)NC(=O)C3=CC=C(C=C3)OC)CC=CCCCC(=O)O)C,0.25
CC1(C2CC(C(C1C2)NC(=O)C3=CC=CC=C3OC)CC=CCCCC(=O)O)C,0.25
CC1(C2CC(C(C1C2)NC(=O)C3=CC4=C(C=C3)OCO4)CC=CCCCC(=O)O)C,0.26
CC1(C2CC(C(C1C2)NC(=O)C3=CC=CS3)CC=CCCCC(=O)O)C,0.29
CC1(C2CC(C(C1C2)NC(=O)C3=CSC=C3)CC=CCCCC(=O)NS(=O)(=O)C)C,0.24
CC1(C2CC(C(C1C2)NC(=O)C3=CN=CC=C3)CC=CCCCC(=O)O)C,0.33
CC1(C2CC(C(C1C2)NC(=O)C3=CN(C=C3)C)CC=CCCCC(=O)O)C,0.32
CC1(C2CC(C(C1C2)NC(=O)C3=CC=C(C=C3)O)CC=CCCCC(=O)O)C,0.27
CC1(C2CC(C(C1C2)NC(=O)C3=CC=C(C=C3)[N+](=O)[O-])CC=CCCCC(=O)O)C,0.24
CC1=CC(=CS1)C(=O)NC2C(CC3CC2C3(C)C)CC=CCCCC(=O)O,0.4
CC1(C2CC(C(C1C2)NC(=O)C3=CSC(=C3)C4=CC=CC=C4)CC=CCCCC(=O)O)C,0.31
CC1(C2CC(C(C1C2)NS(=O)(=O)C3=CC=C(C=C3)N=NC4=CC=CC=C4)CC=CCCCC(=O)O)C,0.22
CC1(C2CC(C(C1C2)NS(=O)(=O)C3=CC=C(C=C3)C4=CC=CC=C4)CC=CCCCC(=O)O)C,0.24
CC1(C2CC(C(C1C2)NC(=O)CC3=COC=C3)CC=CCCCC(=O)O)C,0.32
CC1(C2CC(C(C1C2)NS(=O)(=O)C3=CC4=C(C=C3)OC5=CC=CC=C54)CC=CCCCC(=O)O)C,0.24
CC1(C2CC(C(C1C2)NC(=O)C3=CSC4=C3C=C(C=C4)NS(=O)(=O)C)CC=CCCCC(=O)O)C,0.2
CC1(C2CC(C(C1C2)NC(=O)C3=CSC4=C3C=CC(=C4)O)CC=CCCCC(=O)O)C,0.38
CC1(C2CC(C(C1C2)NC(=O)C3=CSC4=C3C=C(C=C4)O)CC=CCCCC(=O)O)C,0.38
CC1(C2CC(C(C1C2)NC(=O)C3=CSC=C3)CC=CCCCC(=O)O)C,0.3
CC1(C2CC(C(C1C2)NC(=O)C3=CC=CC=C3)CC=CCCCC(=O)O)C,0.27
CC1(C2CC1C(C(C2)NC(=O)C3=CC=C(C=C3)C4=CC=CC=C4)CC=CCCCC(=O)O)C,0.23
CC1(C2CC(C(C1C2)NC(=O)C3=CSC=C3OC)CC=CCCCC(=O)O)C,0.26
CC1=C(C=CS1)C(=O)NC2C(CC3CC2C3(C)C)CC=CCCCC(=O)O,0.34
CC1(C2CC1C(C(C2)NS(=O)(=O)C3=CC=C(C=C3)C4=CC=CC=C4)CC=CCCCC(=O)O)C,0.24
CC1(C2CC1C(C(C2)NC(=O)C3=CC=C(C=C3)C4=CC=CC=C4)CC=CCCCC(=O)O)C,0.22
CC1(C2CC1C(C(C2)NS(=O)(=O)C3=CC=C(C=C3)C4=CC=CC=C4)CC=CCCCC(=O)O)C,0.24
CC1(C2CC(C(C1C2)NC(=O)C3=CC=C(C=C3)N=NC4=CC=CC=C4)CC=CCCCC(=O)O)C,0.24
CC1(C2CC(C(C1C2)NC(=O)C3=CC=C(C=C3)C4=CC=CC=C4)CC=CCCCC(=O)O)C,0.3
CC1(C2CC(C(C1C2)NC(=O)C3=CNC4=CC=CC=C43)CC=CCCCC(=O)O)C,0.29
CC1(C2CC(C(C1C2)NC(=O)C3=CC=CC4=C3SC=C4)CC=CCCCC(=O)O)C,0.35
CC1(C2CC(C(C1C2)NC(=O)C3=CSC4=C3C=C(C=C4)F)CC=CCCCC(=O)O)C,0.41
CC1(C2CC(C(C1C2)NC(=O)C3=CC4=CC=CC=C4O3)CC=CCCCC(=O)O)C,0.28
CC1(C2CC(C(C1C2)NC(=O)C3=CSC4=CC=CC=C43)CC=CCCCC(=O)O)C,0.34
CC1(C2CC(C(C1C2)NC(=O)C3=CC4=CC=CC=C4S3)CC=CCCCC(=O)O)C,0.35
CC1(C2CC(C(C1C2)NC(=O)C3=CSC4=C3CCCC4)CC=CCCCC(=O)O)C,0.31
CC1=C(C(=CS1)C(=O)NC2C(CC3CC2C3(C)C)CC=CCCCC(=O)O)C4=CC=CC=C4,0.26
CC1(C2CC(C(C1C2)NC(=O)C3=CSC(=C3)OC)CC=CCCCC(=O)O)C,0.31
