Displacement of 3-[4-({2',6'-dimethyl-6-[(4-[3H])phenylmethoxy]biphenyl-3-yl}methoxy)phenyl] propanoic acid from rat GPR40 receptor expressed in CHO cell membrane after 90 mins by liquid scintillation counting in the presence of 0.2% BSA
CC1=C(C(=CC=C1)C)C2=CC(=CC=C2)COC3=CC(=C(C=C3)CCC(=O)O)F,0.36
CC1=C(C(=CC=C1)C)C2=CC(=CC=C2)COC3=CC=C(C=C3)CCC(=O)O,0.38
CC1=CC(=CC(=C1C2=CC(=CC=C2)CNC3=CC(=C(C=C3)CCC(=O)O)F)C)OC4CCS(=O)(=O)CC4,0.31
CCOCCOC1=CC(=C(C(=C1)C)C2=CC(=CC=C2)CNC3=CC(=C(C=C3)CCC(=O)O)F)C.Cl,0.33
CCOCCOC1=CC(=C(C(=C1)C)C2=CC(=CC=C2)COC3=CC=C(C=C3)CCC(=O)O)C,0.33
CCS(=O)(=O)CCOC1=CC(=C(C(=C1)C)C2=CC(=CC=C2)CNC3=CC(=C(C=C3)CCC(=O)O)F)C,0.32
CC1=C(C(=CC=C1)C)C2=CC(=CC(=C2)OC)COC3=CC(=C(C=C3)CCC(=O)O)F,0.32
CC1=C(C(=CC=C1)C)C2=C(C=CC(=C2)COC3=CC=C(C=C3)CCC(=O)O)OC,0.33
CCS(=O)(=O)CCOC1=CC(=C(C(=C1)C)C2=CC(=CC=C2)COC3=CC(=C(C=C3)CCC(=O)O)F)C,0.32
CC1=CC(=CC(=C1C2=CC(=CC=C2)CNC3=CC(=C(C=C3)CCC(=O)O)F)C)OCC4(CCS(=O)(=O)CC4)O,0.29
CC1=CC(=CC(=C1C2=CC(=CC=C2)COC3=CC=C(C=C3)CCC(=O)O)C)OC,0.39
CC1=CC(=CC(=C1C2=CC(=CC=C2)COC3=CC=C(C=C3)CCC(=O)O)C)OCC4=CC=CC=C4,0.32
CCOCCOC1=CC(=C(C(=C1)C)C2=CC(=CC=C2)COC3=CC(=C(C=C3)CCC(=O)O)F)C,0.34
CC1=CC(=CC(=C1C2=CC(=CC=C2)COC3=CC(=C(C=C3)CCC(=O)O)F)C)OC4CCOCC4,0.32
CC1=NC(=CC=C1)OC2=CC(=C(C(=C2)C)C3=CC(=CC=C3)COC4=CC(=C(C=C4)CCC(=O)O)F)C.Cl,0.31
CC1=CC(=CC(=C1C2=CC(=CC=C2)COC3=CC(=C(C=C3)CCC(=O)O)F)C)OCCCN4CCCC4=O,0.29
CC1=CC(=CC(=C1C2=CC(=CC=C2)COC3=CC(=C(C=C3)CCC(=O)O)F)C)OCC4(CCS(=O)(=O)CC4)O,0.28
CC1=C(C(=CC=C1)C)C2=C(C(=CC=C2)COC3=CC=C(C=C3)CCC(=O)O)C,0.37
CC1=CC(=CC(=C1C2=CC(=CC=C2)COC3=CC=C(C=C3)CCC(=O)O)C)OCC4CC4,0.35
CC1=CC(=CC(=C1C2=CC(=CC=C2)COC3=CC(=C(C=C3)CCC(=O)O)F)C)OC4CCS(=O)(=O)CC4,0.3
CC1=C(C(=CC=C1)C)C2=CC(=C(C=C2)OC)COC3=CC=C(C=C3)CCC(=O)O,0.24
