Inhibition of electric eel AChE preincubated for 30 mins prior to horseradish peroxidase, H2O2 and DETAPAC addition measured for 20 mins under ROS condition by Muraoka and Miura method
C1CCC2=NC3=CC=CC=C3C(=C2C1)N,0.61
CCCCCCCNC1=C2CCCCC2=NC3=C1C=CC(=C3)Cl,0.52
C1CCC2=NC3=C(C=CC(=C3)Cl)C(=C2C1)NCCCCCCCCN,0.36
CCCCCCCCNC1=C2CCCCC2=NC3=C1C=CC(=C3)Cl,0.46
CC1=C(C(=CC=C1)NC2=CC=CC=C2C(=O)NCCCCCCCCCCNC3=C4CCCCC4=NC5=C3C=CC(=C5)Cl)C,0.27
C1CCC2=NC3=C(C=CC(=C3)Cl)C(=C2C1)NCCCCCCCCCN,0.47
CCCCCCCCCNC1=C2CCCCC2=NC3=C1C=CC(=C3)Cl,0.42
CC1=C(C(=CC=C1)NC2=CC=CC=C2C(=O)NCCCCCC(=O)NCCCCNC3=C4CCCCC4=NC5=C3C=CC(=C5)Cl)C,0.28
C1CCC2=NC3=C(C=CC(=C3)Cl)C(=C2C1)NCCCCCCN,0.48
C1CCC2=NC3=C(C=CC(=C3)Cl)C(=C2C1)NCCCCCCCCCCCCN,0.42
CCCCCCNC1=C2CCCCC2=NC3=C1C=CC(=C3)Cl,0.47
CC1=C(C(=CC=C1)NC2=CC=CC=C2C(=O)NCCCC(=O)NCCCCCCCNC3=C4CCCCC4=NC5=C3C=CC(=C5)Cl)C,0.24
C1CCC2=NC3=C(C=CC(=C3)Cl)C(=C2C1)NCCCCCCO,0.51
CC1=C(C(=CC=C1)NC2=CC=CC=C2C(=O)NCCCCCC(=O)NCCCCCCCNC3=C4CCCCC4=NC5=C3C=CC(=C5)Cl)C,0.22
CC1=C(C(=CC=C1)NC2=CC=CC=C2C(=O)NCCCCCCCCNC3=C4CCCCC4=NC5=C3C=CC(=C5)Cl)C,0.29
C1CCC2=NC3=C(C=CC(=C3)Cl)C(=C2C1)NCCCCCCCCCCN,0.44
CC1=C(C(=CC=C1)NC2=CC=CC=C2C(=O)NCCC(=O)NCCCCNC3=C4CCCCC4=NC5=C3C=CC(=C5)Cl)C,0.24
CC1=C(C(=CC=C1)NC2=CC=CC=C2C(=O)NCCCC(=O)NCCCCNC3=C4CCCCC4=NC5=C3C=CC(=C5)Cl)C,0.25
CC1=C(C(=CC=C1)NC2=CC=CC=C2C(=O)NCCC(=O)NCCCCCCNC3=C4CCCCC4=NC5=C3C=CC(=C5)Cl)C,0.26
CC1=C(C(=CC=C1)NC2=CC=CC=C2C(=O)NCCCCCC(=O)NCCCCCCNC3=C4CCCCC4=NC5=C3C=CC(=C5)Cl)C,0.23
CC1=C(C(=CC=C1)NC2=CC=CC=C2C(=O)NCCCCCCCNC3=C4CCCCC4=NC5=C3C=CC(=C5)Cl)C,0.25
CC1=C(C(=CC=C1)NC2=CC=CC=C2C(=O)NCCC(=O)NCCCCCCCNC3=C4CCCCC4=NC5=C3C=CC(=C5)Cl)C,0.24
CC1=C(C(=CC=C1)NC2=CC=CC=C2C(=O)NCCCCCCCCCNC3=C4CCCCC4=NC5=C3C=CC(=C5)Cl)C,0.26
CC1=C(C(=CC=C1)NC2=CC=CC=C2C(=O)NCCCCCCNC3=C4CCCCC4=NC5=C3C=CC(=C5)Cl)C,0.31
CC1=C(C(=CC=C1)NC2=CC=CC=C2C(=O)NCCCC(=O)NCCCCCCNC3=C4CCCCC4=NC5=C3C=CC(=C5)Cl)C,0.23
CC1=C(C(=CC=C1)NC2=CC=CC=C2C(=O)NCCCCCCCCCCCCNC3=C4CCCCC4=NC5=C3C=CC(=C5)Cl)C,0.23
C1CCC2=NC3=C(C=CC(=C3)Cl)C(=C2C1)NCCCCN,0.47
C1CCC2=NC3=C(C=CC(=C3)Cl)C(=C2C1)NCCCCCN,0.37
C1CCC2=NC3=C(C=CC(=C3)Cl)C(=C2C1)NCCCCCCCN,0.45
CCCCCNC1=C2CCCCC2=NC3=C1C=CC(=C3)Cl,0.48
CCCCCCCCCCNC1=C2CCCCC2=NC3=C1C=CC(=C3)Cl,0.35
C1CCC2=NC3=C(C=CC(=C3)Cl)C(=C2C1)NCCCCCO,0.36
