Inhibition of c-Met (unknown origin) using poly (Glu, Tyr) 4:1 as substrate after 60 mins by ELISA
CC(C1=C(C=CC(=C1Cl)F)Cl)OC2=C(N=CC(=C2)C3=CN(N=C3)C4CCNCC4)N,0.41
CC(C1=C(C=CC(=C1Cl)F)Cl)NC(=O)C2=C(N=CC(=C2)C3=CN(N=C3)C)N,0.33
CC(C1=C(C=CC(=C1Cl)F)Cl)NC(=O)C2=C(N=CC(=C2)C3=CN(N=C3)C4CCOCC4)N,0.3
CC(C1=C(C=CC(=C1Cl)F)Cl)NC(=O)C2=C(N=CC(=C2)C3=CN(N=C3)C4CCNCC4)N,0.28
CC(C1=C(C=CC(=C1Cl)F)Cl)SC2=C(N=CC(=C2)C3=CC=C(C=C3)C(=O)N4CCC(CC4)N5CCCC5)N,0.28
CC(C1=C(C=CC(=C1Cl)F)Cl)SC2=C(N=CC(=C2)C3=CC(=C(C=C3)C(=O)N(C)C)F)N,0.3
CC(C1=C(C=CC(=C1Cl)F)Cl)SC2=C(N=CC(=C2)C3=CN=C(C=C3)N4CCN(CC4)C)N,0.32
CC(C1=C(C=CC(=C1Cl)F)Cl)SC2=C(N=CC(=C2)C3=CC=C(C=C3)OCC(=O)N4CCOCC4)N,0.28
CC(C1=C(C=CC(=C1Cl)F)Cl)SC2=C(N=CC(=C2)C3=CN(N=C3)C4CCNCC4)N,0.31
CC(C1=C(C=CC(=C1Cl)F)Cl)SC2=C(N=CC(=C2)C3=CN=CN=C3)N,0.37
CC(C1=C(C=CC(=C1Cl)F)Cl)SC2=C(N=CC(=C2)C3=CC=C(C=C3)C(=O)N4CCN(CC4)S(=O)(=O)C)N,0.26
CC(C1=C(C=CC(=C1Cl)F)Cl)SC2=C(N=CC(=C2)C3=CN(N=C3)C(=O)N(C)C)N,0.31
CC(C1=C(C=CC(=C1Cl)F)Cl)SC2=C(N=CC(=C2)C3=CC(=C(C=C3)C(=O)N4CCN(CC4)C)F)N,0.28
CC(C1=C(C=CC(=C1Cl)F)Cl)SC2=C(N=CC(=C2)C3=CN(N=C3)C4CCNCC4)N,0.35
CC(C1=C(C=CC(=C1Cl)F)Cl)SC2=C(N=CC(=C2)C3=CN(N=C3)C4CCOCC4)N,0.35
CC(C1=C(C=CC(=C1Cl)F)Cl)SC2=C(N=CC(=C2)C3=CN(N=C3)CCO)N,0.36
CC(C1=C(C=CC(=C1Cl)F)Cl)SC2=C(N=CC(=C2)C3=CN(N=C3)C4CCN(CC4)C(=O)N(C)C)N,0.26
CC(C1=C(C=CC(=C1Cl)F)Cl)SC2=C(N=CC(=C2)C3=CC=C(C=C3)C(=O)N4CCOCC4)N,0.3
CCN(CC)CCNC(=O)C1=CC=C(C=C1)C2=CC(=C(N=C2)N)SC(C)C3=C(C=CC(=C3Cl)F)Cl,0.27
CC(C1=C(C=CC(=C1Cl)F)Cl)SC2=C(N=CC(=C2)C3=CN(N=C3)C4CCNCC4)N,0.37
CC(C1=C(C=CC(=C1Cl)F)Cl)SC2=C(N=CC(=C2)C3=CN(N=C3)CC(=O)N(C)C)N,0.33
CC(C1=C(C=CC(=C1Cl)F)Cl)SC2=C(N=CC(=C2)C3=CC4=C(C=C3)NC(=O)C4)N,0.32
CC(C1=C(C=CC(=C1Cl)F)Cl)SC2=C(N=CC(=C2)C3=CC=C(C=C3)C(=O)N4CCN(CC4)CCO)N,0.27
CC(C1=C(C=CC(=C1Cl)F)Cl)SC2=C(N=CC(=C2)C3=CC(=C(C=C3)C(=O)N4CCC(CC4)N5CCCC5)F)N,0.24
CC(C1=C(C=CC(=C1Cl)F)Cl)SC2=C(N=CC(=C2)C3=CN(N=C3)C4CCN(CC4)S(=O)(=O)C)N,0.29
CC(C1=C(C=CC(=C1Cl)F)Cl)SC2=C(N=CC(=C2)C3=CN=C(C=C3)N4CCOCC4)N,0.32
CC(C1=C(C=CC(=C1Cl)F)Cl)SC2=C(N=CC(=C2)C3=CC(=C(C=C3)C(=O)N4CCOCC4)F)N,0.28
CC(C1=C(C=CC(=C1Cl)F)Cl)SC2=C(N=CC(=C2)C3=CN(N=C3)C)N,0.38
CC(C1=C(C=CC(=C1Cl)F)Cl)SC2=C(N=CC(=C2)C3=CC=C(C=C3)C(=O)N(C)C)N,0.33
CC(C)N1CCN(CC1)C(=O)C2=CC=C(C=C2)C3=CC(=C(N=C3)N)SC(C)C4=C(C=CC(=C4Cl)F)Cl,0.25
CC(C1=C(C=CC(=C1Cl)F)Cl)SC2=C(N=CC(=C2)C3=CN(N=C3)C4CCN(CC4)C(=O)CO)N,0.3
CC(C1=C(C=CC(=C1Cl)F)Cl)SC2=C(N=CC(=C2)C3=CC=C(C=C3)C(=O)N4CCN(CC4)C)N,0.3
