Inhibition of human CYP11B2 expressed in hamster V79MZh cells using [1,2-3H]-11-deoxycorticosterone as substrate
CC(C)(C1=CN=CC=C1)C(=O)C2=CN=CC=C2,0.59
C1=CC=C(C=C1)C2=NC=C(C=C2)CN3C=CN=C3,0.44
C1=CC(=NC=C1CN2C=CN=C2)C3=CSC=C3,0.48
C1=CC=C2C(=C1)C=CC=C2C3=NC=C(C=C3)CN4C=CN=C4,0.38
CC(C)C(C1=CN=C(C=C1)C2=CC=CC=C2)N3C=CN=C3,0.49
C1=CC=C(C=C1)C2=NC=C(C=C2)CC3=CC(=CN=C3)C(F)(F)F,0.35
COC1=CN=CC(=C1)CC2=CN=C(C=C2)C3=CC=CC=C3,0.49
C1=CC=C(C=C1)C2=NC=C(C=C2)OC3=CN=CC=C3,0.41
CC1=C(C=NC=C1)CC2=CN=C(C=C2)C3=CC=CC=C3,0.53
CCC(C1=CN=C(C=C1)C2=CC=CC=C2)N3C=CN=C3,0.48
C1=CC=C(C=C1)C2=NC=C(C=C2)C(C3=CC=CO3)N4C=CN=C4,0.42
C1CC1C(C2=CN=C(C=C2)C3=CC=CC4=CC=CC=C43)N5C=CN=C5,0.36
C1=CC=C(C=C1)C2=NC=C(C=C2)CC3=CC(=CN=C3)O,0.42
C1=CC=C(C=C1)C2=NC=C(C=C2)C(C3=CC=CC=C3)N4C=CN=C4,0.4
CC(C1=CN=C(C=C1)C2=CC=CC3=CC=CC=C32)N4C=CN=C4,0.39
C1=CC=C(C=C1)C2=NC=C(C=C2)CC3=CN=CC=C3,0.47
C1=CC=C(C=C1)C2=NC=C(C=C2)CC3=CN=CN=C3,0.4
CC1=CC(=CN=C1)CC2=CN=C(C=C2)C3=CC=CC=C3,0.51
CC(C1=CN=C(C=C1)C2=CSC=C2)N3C=CN=C3,0.52
C1=CC=C(C=C1)C2=NN=C(C=C2)CN3C=CN=C3,0.41
C1=CC=C(C=C1)C2=CN=C(C=N2)CN3C=CN=C3,0.45
CC(C1=CN=C(C=C1)C2=CC=CC=C2)N3C=CN=C3,0.48
C1CC1C(C2=CN=C(C=C2)C3=CC=CC=C3)N4C=CN=C4,0.49
C1CC1C(C2=CN=C(C=C2)C3=CSC=C3)N4C=CN=C4,0.51
C1=CC=C(C=C1)C2=NC=C(C3=CC=CC=C32)CN4C=CN=C4,0.4
C1=CC=C(C=C1)C2=NC=C(C=C2)CC3=CN=CC(=C3)C(=O)N,0.34
C1=CC=C(C=C1)C2=NC=C(C=C2)CC3=CC(=CN=C3)F,0.44
C1=CC=C(C=C1)C2=NC=C(C=C2)CC3=CN=CC(=C3)C4=CC=CC=C4,0.51
C1=CC=C(C=C1)C2=NC=C(C=C2)CC3=CC=NC=C3,0.45
C1=CC=C(C=C1)C2=NC=C(C=C2)CC3=CN=CC4=CC=CC=C43,0.45
