Inhibitory activity against Trypanosoma cruzi trypanothione disulfide reductase, assay in presence of 57 uM T(S)2.
CC1=CC(=O)C2=CC=CC=C2C1=O,0.45
CC1=CC(=O)C2=C(C1=O)C=CC=C2O,0.44
CC1=C(C(=O)C2=CC=CC=C2C1=O)CCCC(=O)NCCCCNCCCNC(=O)CCCC3=C(C(=O)C4=CC=CC=C4C3=O)C,0.16
CC1=C(C(=O)C2=C(C1=O)C=CC=C2O)CCCC(=O)NCCCN3CCN(CC3)C,0.2
CC1=C(C(=O)C2=CC=CC=C2C1=O)CCC(=O)NCCCN3CCN(CC3)C,0.22
CC1=C(C(=O)C2=CC=CC=C2C1=O)CCCC(=O)NCCCN3CCN(CC3)C,0.21
CC1=C(C(=O)C2=C(C1=O)C=CC=C2O)CCCC(=O)N3CCN(CC3)C,0.23
CC1=C(C(=O)C2=C(C1=O)C=CC=C2O)CCC(=O)N3CCN(CC3)C,0.23
CC1=C(C(=O)C2=CC=CC=C2C1=O)CCC(=O)NCCCNCCCNC(=O)CCC3=C(C(=O)C4=CC=CC=C4C3=O)C,0.17
CC1=C(C(=O)C2=CC=CC=C2C1=O)CCC(=O)NCCCN3CCN(CC3)CCCNC(=O)CCC4=C(C(=O)C5=CC=CC=C5C4=O)C,0.15
CC1=C(C(=O)C2=CC=CC=C2C1=O)CCC(=O)NCCCCNCCCNC(=O)CCC3=C(C(=O)C4=CC=CC=C4C3=O)C,0.17
CC1=C(C(=O)C2=C(C1=O)C=CC=C2O)CCCCCC(=O)NCCCNCCCNC(=O)CCCCCC3=C(C(=O)C4=C(C3=O)C(=CC=C4)O)C,0.15
CC1=C(C(=O)C2=C(C1=O)C=CC=C2O)CCC(=O)NCCCNCCCNC(=O)CCC3=C(C(=O)C4=C(C3=O)C(=CC=C4)O)C,0.17
CC1=C(C(=O)C2=C(C1=O)C=CC=C2O)CCC(=O)NCCCN3CCN(CC3)CCCNC(=O)CCC4=C(C(=O)C5=C(C4=O)C(=CC=C5)O)C,0.15
CC1=C(C(=O)C2=C(C1=O)C=CC=C2O)CCC(=O)NCCCCNCCCNC(=O)CCC3=C(C(=O)C4=C(C3=O)C(=CC=C4)O)C,0.16
CC1=C(C(=O)C2=CC=CC=C2C1=O)NCCCN3CCN(CC3)CCCNC4=C(C(=O)C5=CC=CC=C5C4=O)C,0.17
CC1=C(C(=O)C2=CC=CC=C2C1=O)NCCCNCCCNC3=C(C(=O)C4=CC=CC=C4C3=O)C,0.2
CN1CCN(CC1)C(=O)CCCCCC2=C(C(=O)C3=C(C2=O)C=CC=C3O)CCCCCC(=O)N4CCN(CC4)C,0.18
CC1=C(C(=O)C2=C(C1=O)C=CC=C2O)CCCCCC(=O)NCCCN3CCN(CC3)CCCNC(=O)CCCCCC4=C(C(=O)C5=C(C4=O)C(=CC=C5)O)C,0.14
CC1=C(C(=O)C2=C(C1=O)C=CC=C2O)CCCCCC(=O)NCCCCNCCCNC(=O)CCCCCC3=C(C(=O)C4=C(C3=O)C(=CC=C4)O)C,0.15
CN1CCN(CC1)CCCNC(=O)CCCCC2=C(C(=O)C3=C(C2=O)C=CC=C3O)CCCCC(=O)NCCCN4CCN(CC4)C,0.15
CN1CCN(CC1)CCCNC(=O)CCCCCC2=C(C(=O)C3=C(C2=O)C=CC=C3O)CCCCCC(=O)NCCCN4CCN(CC4)C,0.17
CN1CCN(CC1)CCCNC(=O)CCCC2=C(C(=O)C3=C(C2=O)C=CC=C3O)CCCC(=O)NCCCN4CCN(CC4)C,0.15
CC1=C(C(=O)C2=C(C1=O)C=CC=C2O)CCCCC(=O)NCCCN3CCN(CC3)CCCNC(=O)CCCCC4=C(C(=O)C5=C(C4=O)C(=CC=C5)O)C,0.14
CN1CCN(CC1)C(=O)CCCC2=C(C(=O)C3=C(C2=O)C=CC=C3O)CCCC(=O)N4CCN(CC4)C,0.18
CC1=C(C(=O)C2=C(C1=O)C=CC=C2O)CCCCC(=O)NCCCCNCCCNC(=O)CCCCC3=C(C(=O)C4=C(C3=O)C(=CC=C4)O)C,0.16
CC1=C(C(=O)C2=CC=CC=C2C1=O)CCCCC(=O)NCCCNCCCNC(=O)CCCCC3=C(C(=O)C4=CC=CC=C4C3=O)C,0.14
CC1=C(C(=O)C2=CC=CC=C2C1=O)CCCCCC(=O)NCCCNCCCNC(=O)CCCCCC3=C(C(=O)C4=CC=CC=C4C3=O)C,0.16
CC1=C(C(=O)C2=C(C1=O)C=CC=C2O)CCC(=O)NCCCN3CCN(CC3)C,0.23
CN1CCN(CC1)C(=O)CCCCC2=C(C(=O)C3=C(C2=O)C=CC=C3O)CCCCC(=O)N4CCN(CC4)C,0.18
CC1=C(C(=O)C2=CC=CC=C2C1=O)NCCCN3CCN(CC3)CCCN,0.26
CC1=C(C(=O)C2=CC=CC=C2C1=O)NCCCNCCCCNCCCNC3=C(C(=O)C4=CC=CC=C4C3=O)C,0.18
CC1=C(C(=O)C2=CC=CC=C2C1=O)CCCCCC(=O)NCCCN3CCN(CC3)CCCNC(=O)CCCCCC4=C(C(=O)C5=CC=CC=C5C4=O)C,0.14
CC1=C(C(=O)C2=C(C1=O)C=CC=C2O)NCCCNCCCN,0.25
CC1=C(C(=O)C2=C(C1=O)C=CC=C2O)NCCCNCCCCNCCCN,0.22
CC1=C(C(=O)C2=C(C1=O)C=CC=C2O)NCCCN3CCN(CC3)CCCN,0.22
CC1=C(C(=O)C2=CC=CC=C2C1=O)NCCCNCCCCNCCCN,0.23
CC1=C(C(=O)C2=CC=CC=C2C1=O)CCCCCC(=O)NCCCCNCCCNC(=O)CCCCCC3=C(C(=O)C4=CC=CC=C4C3=O)C,0.16
CC1=C(C(=O)C2=C(C1=O)C=CC=C2O)CCCCC(=O)NCCCNCCCNC(=O)CCCCC3=C(C(=O)C4=C(C3=O)C(=CC=C4)O)C,0.18
CC1=C(C(=O)C2=CC=CC=C2C1=O)NCCCNCCCN,0.31
CC1=C(C(=O)C2=C(C1=O)C=CC=C2O)CCCC(=O)NCCCN3CCN(CC3)CCCNC(=O)CCCC4=C(C(=O)C5=C(C4=O)C(=CC=C5)O)C,0.15
CC1=C(C(=O)C2=C(C1=O)C=CC=C2O)CCCC(=O)NCCCNCCCNC(=O)CCCC3=C(C(=O)C4=C(C3=O)C(=CC=C4)O)C,0.17
CC1=C(C(=O)C2=CC=CC=C2C1=O)CCCCC(=O)NCCCN3CCN(CC3)CCCNC(=O)CCCCC4=C(C(=O)C5=CC=CC=C5C4=O)C,0.16
CC1=C(C(=O)C2=CC=CC=C2C1=O)CCCCC(=O)NCCCCNCCCNC(=O)CCCCC3=C(C(=O)C4=CC=CC=C4C3=O)C,0.17
CC1=C(C(=O)C2=C(C1=O)C=CC=C2O)CCCC(=O)NCCCCNCCCNC(=O)CCCC3=C(C(=O)C4=C(C3=O)C(=CC=C4)O)C,0.16
CC1=C(C(=O)C2=CC=CC=C2C1=O)CCCC(=O)NCCCNCCCNC(=O)CCCC3=C(C(=O)C4=CC=CC=C4C3=O)C,0.15
CC1=C(C(=O)C2=CC=CC=C2C1=O)CCCC(=O)NCCCN3CCN(CC3)CCCNC(=O)CCCC4=C(C(=O)C5=CC=CC=C5C4=O)C,0.15
