Inhibition of human recombinant 5'-c-myc, His6-tagged p38-alpha using MK2 (46 to 400) as substrate assessed as inhibition of phosphorylation after 60 mins by ELISA in presence of ATP
CC1=CC=C(C=C1)OC2=CC=C(C=C2)C(=O)NCC3=CC=NC=C3,0.3
C1=CC=C(C=C1)OC2=CC=C(C=C2)C(=O)NCC3=CC=NC=C3,0.33
C1=CC=C(C(=C1)C#N)OC2=CC=C(C=C2)C(=O)NCC3=CC=NC=C3,0.34
C1=CC(=CC=C1C(=O)NCC2=CC=NC=C2)OC3=CC=C(C=C3)Cl,0.32
C1=CC(=CC=C1C(=O)NCC2=CC=NC=C2)OC3=CC=C(C=C3)F,0.32
CC1=CC=CC=C1OC2=CC=C(C=C2)C(=O)NCC3=CC=NC=C3,0.32
C1=CC=C(C(=C1)OC2=CC=C(C=C2)C(=O)NCC3=CC=NC=C3)Cl,0.33
C1=CC=C(C=C1)CNC(=O)C2=CC=C(C=C2)OC3=CC=CC=C3C#N,0.35
C1=CC=C(C(=C1)C#N)OC2=CC=C(C=C2)C(=O)NCC3=CN=CC=C3,0.34
C1=CC=C(C(=C1)C#N)OC2=CC=C(C=C2)C(=O)NCC3=NC=NC=C3,0.3
CCCC1=C(C=NN1C2=CC=CC=C2)C(=O)NC3=C(C=CC(=C3)S(=O)(=O)N(C)C)C,0.33
CCCC1=C(C=NN1C2=CC=CC=C2)C(=O)NC3=C(C=CC(=C3)F)C,0.38
CCCC1=C(C=NN1C2=CC=CC=C2)C(=O)NC3=C(C=CC(=C3)C#N)C,0.41
CCCC1=C(C=NN1C2=CC=CC=C2)C(=O)NC3=C(C=CC(=C3)C(=O)OC)C,0.31
CCCC1=C(C=NN1C2=CC=CC=C2)C(=O)NC3=C(C=CC(=C3)S(=O)(=O)C)C,0.33
CCCC1=C(C=NN1C2=CC=CC=C2)C(=O)NC3=C(C=CC(=C3)C(=O)O)C,0.36
CCCC1=C(C=NN1C2=CC=C(C=C2)Cl)C(=O)NC3=C(C=CC(=C3)S(=O)(=O)N(C)C)C,0.28
CCCC1=C(C=NN1C2=CN=CC=C2)C(=O)NC3=C(C=CC(=C3)S(=O)(=O)N(C)C)C,0.3
CCCC1=C(C=NN1CC2=CC=CC=C2)C(=O)NC3=C(C=CC(=C3)S(=O)(=O)N(C)C)C,0.32
CCCC1=C(C=NN1CC(C)C)C(=O)NC2=C(C=CC(=C2)S(=O)(=O)N(C)C)C,0.35
