Displacement of [3H]CP-55,940 from CB1 receptor (unknown origin) after 1 hr by scintillation counting analysis
CC1=C(N(N=C1C(=O)NN2CCCCC2)C3=C(C=C(C=C3)Cl)Cl)C4=CC=C(C=C4)Cl,0.36
CCN(CC)C1=CC=C(C=C1)CN(C2=CC=C(C=C2)Cl)S(=O)(=O)C3=CC=C(C=C3)C,0.31
CCN(CC)C1=CC=C(C=C1)CN(C2=CC=C(C=C2)C)S(=O)(=O)C3=CC=C(C=C3)C(C)C,0.23
CCN(CC)C1=CC=C(C=C1)CN(C2=CC=C(C=C2)C)C(=O)CC3=CC=C(C=C3)Cl,0.25
CCN(CC)C1=CC=C(C=C1)CN(C2=CC=C(C=C2)Cl)S(=O)(=O)C3=CC=CC=C3,0.27
CCN(CC)C1=CC=C(C=C1)CN(C2=CC=C(C=C2)Cl)S(=O)(=O)C3=CC=C(C=C3)F,0.27
CCN(CC)C1=CC=C(C=C1)CN(C2=CC=C(C=C2)Cl)S(=O)(=O)C3=CC=CC(=C3)C,0.28
CCN(CC)C1=CC=C(C=C1)CN(C2=CC=C(C=C2)C)S(=O)(=O)C3=CC=C(C=C3)Cl,0.29
CCN(CC)C1=CC=C(C=C1)CN(C2=CC=C(C=C2)C)C(=O)C3CCCCC3,0.33
CCN(CC)C1=CC=C(C=C1)CN(C23CC4CC(C2)CC(C4)C3)S(=O)(=O)C5=CC=C(C=C5)OC,0.21
CCN(CC)C1=CC=C(C=C1)CN(C2=CC=C(C=C2)C)S(=O)(=O)C3=CC=C(C=C3)F,0.28
CCN(CC)C1=CC=C(C=C1)CN(C2=CC=C(C=C2)Cl)S(=O)(=O)C3=CC=C(C=C3)Cl,0.24
CCN(CC)C1=CC=C(C=C1)CN(C2=CC=C(C=C2)C)S(=O)(=O)C3=CC=C(C=C3)OC,0.26
CCN(CC)C1=CC=C(C=C1)CN(C23CC4CC(C2)CC(C4)C3)S(=O)(=O)C5=CC=CC(=C5)C,0.21
CCN(CC)C1=CC=C(C=C1)CN(C23CC4CC(C2)CC(C4)C3)S(=O)(=O)C5=CC=CC=C5,0.21
CCN(CC)C1=CC=C(C=C1)CN(C23CC4CC(C2)CC(C4)C3)S(=O)(=O)C5=CC=C(C=C5)Cl,0.24
CCN(CC)C1=CC=C(C=C1)CN(C2=CC=C(C=C2)C)S(=O)(=O)C3=CC=CC=C3,0.3
CCN(CC)C1=CC=C(C=C1)CN(C2=CC=C(C=C2)C)S(=O)(=O)C3=CC=C(C=C3)C,0.29
CCN(CC)C1=CC=C(C=C1)CN(C2=CC=C(C=C2)C)S(=O)(=O)C3=CC=CC(=C3)C,0.3
CCN(CC)C1=CC=C(C=C1)CN(C23CC4CC(C2)CC(C4)C3)S(=O)(=O)C5=CC=C(C=C5)F,0.22
