Anticonvulsant activity in mice, measured by subcutaneous pentylenetetrazole seizure (scMet) test.
CCC1(C(=O)NC(=O)NC1=O)C2=CC=CC=C2,13.17
CCCC(CCC)C(=O)O,148.59
CCC1(CC(=O)NC1=O)C,130.35
C1=CC(=CC(=C1)N2C(=CN=N2)C3=CC=NC=C3)C(F)(F)F,44.7
C1C(N(N=N1)C2=CC=CC=C2)C3=CC=NC=C3,106.9
C1=CC(=CN=C1)C2=CN=NN2C3=CC=C(C=C3)Br,40.65
C1=CC(=CN=C1)C2=CN=NN2C3=CC=C(C=C3)F,47.88
C1=CC(=CC=C1N2C(=CN=N2)C3=CC=NC=C3)F,119.34
C1=CC(=CN=C1)C2=CN=NN2C3=CC=C(C=C3)C(F)(F)F,90.47
C1C(N(N=N1)C2=CC=CC(=C2)C(F)(F)F)C3=CC=NC=C3,51.05
C1=CC=C(C=C1)N2C(=CN=N2)C3=CC=NC=C3,73.73
C1C(N(N=N1)C2=CC=C(C=C2)C(F)(F)F)C3=CC=NC=C3,420.65
C1=CC=NC(=C1)C2=CN=NN2C3=CC=C(C=C3)Br,88.57
C1=CC=C(C=C1)N2C(=CN=N2)C3=CC=CC=N3,25.64
C1=CC=NC(=C1)C2=CN=NN2C3=CC=C(C=C3)Cl,50.35
C1C(N(N=N1)C2=CC=C(C=C2)Cl)C3=CC=NC=C3,43.53
C1=CC(=CC(=C1)Cl)N2C(=CN=N2)C3=CC=NC=C3,29.21
C1=CC=C(C=C1)N2C(=CN=N2)C3=CN=CC=C3,39.69
C1=CC(=CN=C1)C2=CN=NN2C3=CC=C(C=C3)Cl,26.95
C1C(N(N=N1)C2=CC=C(C=C2)F)C3=CC=NC=C3,202.69
C1=CC=C(C=C1)C2=CN=NN2C3=CC=C(C=C3)Cl,95.18
C1=CC=NC(=C1)C2=CN=NN2C3=CC(=C(C=C3)F)F,123.21
