Ability to antagonize the muscle relaxation effect in mice caused by a benzodiazepine full agonist, triazolam.
CC(C)(C)OC(=O)C1=C2CN(C3=C(N2C=N1)C=CC(=C3)Cl)C(=O)N4CCN(CC4)CC(F)(F)F,30
CN(C)C(=O)N1CC2=C(N=CN2C3=CC=CC=C31)C4=NOC(=N4)C5CC5,1
CC1CN(CC(N1C)C)C(=O)N2C3=C(C=CC(=C3)Cl)N4C=NC(=C4C2(C)C)C(=O)OC(C)(C)C,30
CC(C)(C)OC(=O)C1=C2CN(C3=CC=CC=C3N2C=N1)C(=O)N4CCCCC4,4
CC1CN(CC(N1C)C)C(=O)N2CC3=C(N=CN3C4=C2C=C(C=C4)C(F)(F)F)C(=O)OC(C)(C)C,21.8
CC(C)N1C2=CC=CC=C2N3C=NC(=C3C1=O)C4=NOC(=N4)C5CC5,1.7
CC1CN(CC(N1)C)C(=O)N2CC3=C(N=CN3C4=C2C=C(C=C4)C(F)(F)F)C(=O)OC(C)(C)C,30
CC1CN(CC(N1CC(F)(F)F)C)C(=O)N2CC3=C(N=CN3C4=C2C=C(C=C4)Cl)C(=O)OC(C)(C)C,30
CC1CN(CC(N1)C)C(=O)N2CC3=C(N=CN3C4=CC=CC=C42)C(=O)OC(C)(C)C,30
CC1CN(CC(N1C(=O)C)C)C(=O)N2CC3=C(N=CN3C4=C2C=C(C=C4)Cl)C(=O)OC(C)(C)C,30
CC1CN(CCN1)C(=O)N2CC3=C(N=CN3C4=C2C=C(C=C4)C)C(=O)OC(C)(C)C,17.3
CC1CN(CC(N1C)C)C(=O)N2CC3=C(N=CN3C4=C2C=C(C=C4)F)C(=O)OC(C)(C)C,21.8
CC1CN(CC(N1C(=O)N2CC3=C(N=CN3C4=C2C=C(C=C4)F)C(=O)OC(C)(C)C)C)C,30
CC1CNCC(N1C(=O)N2CC3=C(N=CN3C4=C2C=C(C=C4)F)C(=O)OC(C)(C)C)C,30
CC1CN(CC(N1)C)C(=O)N2CC3=C(N=CN3C4=C2C=C(C=C4)C(F)(F)F)C(=O)OC(C)(C)C,30
CCCC(=O)O.CC1CN(CC(N1)C)C(=O)N2CC3=C(N=CN3C4=C2C=C(C=C4)Cl)C(=O)OC(C)(C)C,30
CC1CN(CC(N1C)C)C(=O)N2CC3=C(N=CN3C4=C2C=C(C=C4)C)C(=O)OC(C)(C)C,30
CC1CN(CC(N1)C)C(=O)N2CC3=C(N=CN3C4=C2C=C(C=C4)C)C(=O)OC(C)(C)C,30
CC1CN(CC(N1C)C)C(=O)N2CC3=C(N=CN3C4=C2C=C(C=C4)Cl)C(=O)OC(C)(C)C,7
CC(C)(C)OC(=O)C1=C2CN(C3=C(N2C=N1)C=CC(=C3)Cl)C(=O)N4CCN(CC4)C5=CC=CC=N5,30
CC1CN(CC(N1C(C)C)C)C(=O)N2CC3=C(N=CN3C4=C2C=C(C=C4)Cl)C(=O)OC(C)(C)C,30
CC1(CN(CC(N1)(C)C)C(=O)N2CC3=C(N=CN3C4=C2C=C(C=C4)Cl)C(=O)OC(C)(C)C)C,30
CC1(CN(CCN1C)C(=O)N2CC3=C(N=CN3C4=C2C=C(C=C4)Cl)C(=O)OC(C)(C)C)C,30
CC1CN(CC(N1)C)C(=O)N2CC3=C(N=CN3C4=C2C(=CC=C4)Cl)C(=O)OC(C)(C)C,30
CC(C)(C)OC(=O)C1=C2CN(C3=C(N2C=N1)C=CC(=C3)Cl)C(=O)N4CCN(CC4)C,11
CC1CN(CC(N1)C)C(=O)N2CC3=C(N=CN3C4=C2C=C(C=C4)F)C(=O)OC(C)(C)C,30
CC1CN(CC(N1C)C)C(=O)N2CC3=C(N=CN3C4=C2C(=CC=C4)Cl)C(=O)OC(C)(C)C,30
CC(C)(C)OC(=O)C1=C2CN(C3=C(N2C=N1)C=CC(=C3)Cl)C(=O)N4CCN(CC4)C5CC5,30
CCCC(=O)O.CCN1C(CN(CC1C)C(=O)N2CC3=C(N=CN3C4=C2C=C(C=C4)Cl)C(=O)OC(C)(C)C)C,30
CC(C)(C)OC(=O)C1=C2CN(C3=C(N2C=N1)C=CC(=C3)Cl)C(=O)N4CC5CC4CN5C,30
CC(C)(C)N1CCN(CC1)C(=O)N2CC3=C(N=CN3C4=C2C=C(C=C4)Cl)C(=O)OC(C)(C)C,30
CC1CN(CC(N1)C)C(=O)N2CC3=C(N=CN3C4=C2C=C(C=C4)Cl)C(=O)OC(C)(C)C,17.3
