Effective dose inhibiting ethanol-induced lesions was determined 1 h, after oral administration of absolute ethanol in rat
CC1=C(N2C=CN=C(C2=N1)C=CC3=CC=CC=C3)C,5.2
CC1=C(N2C=CC=C(C2=N1)CC=CC3=CC=CC=C3)N,6.4
CC1=C(N2C=CC=C(C2=N1)C=CC3=CSC=C3)C,24
CC1=C(N2C=CC=C(C2=N1)C=CCC3=CC=CC=C3)C,6.6
CC1=C(N2C=CC=C(C2=N1)CCC3=CC=CC=C3)N,9
CC1=C(N2C=CC=C(C2=N1)CC=CC3=CC=CC=C3)C,5.5
CC1=C(N2C=CC=C(C2=N1)C=CC3=CC=CC=C3)C,10.4
CC1=C(N2C=CC=C(C2=N1)OCC3=CC=CC=C3)CC#N,3
CCC1=C(N=C2N1C=CC=C2C=CC3=CC=CC=C3)C,0.8
C1CCC2=C(C1)N=C3N2C=CC=C3C=CC4=CC=CC=C4,7.3
C1CC2C(C1)N3C=CC=C(C3=N2)C=CC4=CC=CC=C4,5.2
CC1=C(N2C=CC3=C(C2=N1)OC(CC3)C4=CC=CC=C4)CC#N,1.7
CC1=C(N2C=CC=C(C2=N1)C=CC3=CC=CC=C3)N,23
CC1=C(N2C=CC=C(C2=N1)C=CC3=CC=CC=C3)CC#N,2
CC1=C(N2C=CN=C(C2=N1)OCC3=CC=CC=C3)N,5
CC1=C(N2C=CC=C(C2=N1)C=CCC3=CC=CC=C3)N,8.6
CC1=C(N2C=CN=C(C2=N1)C#CC3=CC=CC=C3)C,3.7
CC1=C(C2=NC(=C(N2C=C1)CC#N)C)OCC3=CC=CC=C3,13
CC1=C(N2C=CC=C(C2=N1)OCC3=CC=CC=C3)C,10
CC1=C(N2C=CC=C(C2=N1)C=CC3=CC=CC=C3)N,13
CC1=C(N2C=CC=C(C2=N1)C=CC3=CC=CC=C3)CC#N,3
CC1=C(N2C=CC=C(C2=N1)C(=CC3=CC=CC=C3)C)C,5
CC1=C(N2C(=N1)C=CC=C2C=CC3=CC=CC=C3)C,5.5
CC1=C(N2C=C(C=CC2=N1)C=CC3=CC=CC=C3)C,1.7
CC1=C(N2C=CC=C(C2=N1)C=CCC3=CC=CC=C3)CC#N,4
CC1=C(N2C=CC=C(C2=N1)CC=CC3=CC=CC=C3)CC#N,12
