Antiviral activity against rimantidine, amantadine-resistant Influenza A virus (A/California/07/09(H1N1)) pdm09 infected in MDCK cells assessed as inhibition of viral replication by hemagglutinin titer assay
C1C2CC3CC1CC(C2)(C3)N,64.2
CC(C12CC3CC(C1)CC(C3)C2)N.Cl,67
CC1(C2CCC1(C(=O)C2)C)C,1644.7
CC1(C2CCC1(C(=NCCCN=C3CC4CCC3(C4(C)C)C)C2)C)C,9.3
CC1(C2CCC1(C(=NCCCCCCN=C3CC4CCC3(C4(C)C)C)C2)C)C,15.1
CC1(C2CCC1(C(=NCCCCCCCN=C3CC4CCC3(C4(C)C)C)C2)C)C,22.8
CC1(C2CCC1(C(=NCCCCCCCCN=C3CC4CCC3(C4(C)C)C)C2)C)C,24.2
CC1(C2CCC1(C(=NCCCCCCCCCCCCN=C3CC4CCC3(C4(C)C)C)C2)C)C,45
CC1(C2CCC1(C(=NC3=CC=C(C=C3)CC4=CC=C(C=C4)N=C5CC6CCC5(C6(C)C)C)C2)C)C,351.4
CC1(C2CCC1(C(=NC3=CC=C(C=C3)OC4=CC=C(C=C4)N=C5CC6CCC5(C6(C)C)C)C2)C)C,373.4
CC1(C2CCC1(C(C2)NCCCCCCNC3CC4CCC3(C4(C)C)C)C)C,0.77
CC1(C2CCC1(C(C2)NCCCCCCCNC3CC4CCC3(C4(C)C)C)C)C,3.2
CC1(C2CCC1(C(C2)NCCCCCCCCCCCCNC3CC4CCC3(C4(C)C)C)C)C,4.4
CC1(C2CCC1(C(C2)NC3=CC=C(C=C3)CC4=CC=C(C=C4)NC5CC6CCC5(C6(C)C)C)C)C,153.2
CC1(C2CCC1(C(C2)NC3=CC=C(C=C3)OC4=CC=C(C=C4)NC5CC6CCC5(C6(C)C)C)C)C,207.6
CC1(C2CCC1(C(C2)N(C)CCCCCCN(C)C3CC4CCC3(C4(C)C)C)C)C,110.1
CC1(C2CCC1(C(C2)N(C)CCCCCCCN(C)C3CC4CCC3(C4(C)C)C)C)C,40.4
CC1(C2CCC1(C(=NC3=CC=C(C=C3)CC4=CC=C(C=C4)N)C2)C)C,15
CC1(C2CCC1(C(=NC3=CC=C(C=C3)OC4=CC=C(C=C4)N)C2)C)C,4.2
CC(C1CC2CCC1C2)N.Cl,208.6
