Antiarrhythmic activity in chloroform induced ventricular arrhythmia in mice, 15 min before exposure to chloroform intraperitoneal administration
CC(C)N(CCC(C1=CC=CC=C1)(C2=CC=CC=N2)C(=O)N)C(C)C,11.8
C1CC(=O)N2C3=CC=CC=C3C4=C2C1CC(C4)N.C(=CC(=O)O)C(=O)O,40
C1CC2C(CC3=C4C2C(C1)(CC(=O)N4C5=C3C=C(C=C5)O)C6=CC=CC=C6)N,12
C1CC2C(CC3=C4C2C(C1)(CC(=O)N4C5=C3C=C(C=C5)O)CCC6=CC=CC=C6)N,40
C1CC2CC(=O)N3C4=CC=CC=C4C5=C3C2C(C1)C(C5)N.C(=CC(=O)O)C(=O)O,32
C1CC2C(CC3=C4C2C(C1)(CC(=O)N4C5=C3C(=CC=C5)O)CCC6=CC=CC=C6)N,40
CC12CCCC3C1C4=C(CC3N)C5=C(N4C(=O)C2)C=CC(=C5)O,40
CCCC12CCCC3C1C4=C(CC3N)C5=C(N4C(=O)C2)C=CC(=C5)O,4.2
C1CCC2C(CC3=C4C2C(C1)CC(=O)N4C5=CC=CC=C35)N.C(=CC(=O)O)C(=O)O,80
C1CC2C(CC3=C4C2C1CC(=O)N4C5=CC=CC=C35)N.C(=CC(=O)O)C(=O)O,40
CCCCC12CCCC3C1C4=C(CC3N)C5=C(N4C(=O)C2)C=CC(=C5)O,12
C1CC2C(CC3=C4C2C(C1)(CC(=O)N4C5=C3C=C(C=C5)O)CC6=CC=CC=C6)N,40
CCC12CCCC3C1C4=C(CC3C(=O)NCCN5CCCC5)C6=C(N4C(=O)C2)C=CC(=C6)O,40
CCC12CCCC3C1C4=C(CC3C(=O)OCCN5CCN(CC5)C)C6=C(N4C(=O)C2)C=CC(=C6)O,34
CCC12CCCC3C1C4=C(CC3N)C5=C(N4C(=O)C2)C=CC(=C5)O,22.5
CCC12CCCC3C1C4=C(CC3N)C5=CC=CC=C5N4C(=O)C2.C(=CC(=O)O)C(=O)O,14
CC(C)C12CCCC3C1C4=C(CC3N)C5=C(N4C(=O)C2)C=CC(=C5)O,8.4
C1CC2CC(=O)N3C4=C(C=C(C=C4)O)C5=C3C2C(C1)C(C5)N,40
CCCC12CCCC3C1C4=C(CC3N)C5=CC=CC=C5N4C(=O)C2.C(=CC(=O)O)C(=O)O,3.6
CCC12CCCC3C1C4=C(CC3C(=O)NN)C5=C(N4C(=O)C2)C=CC=C5O,40
CCC12CCCC3C1C4=C(CC3C(=O)NNCCN5CCCC5)C6=C(N4C(=O)C2)C=CC(=C6)O,22.5
CCC12CCCC3C1C4=C(CC3)C5=CC=CC=C5N4C(=O)C2,40
CC12CCCC3C1C4=C(CC3N)C5=C(N4C(=O)C2)C=CC=C5O.Cl,8
C1CCC(CC1)CC(=O)N2C=C(C3=CC=CC=C32)CCN.Cl,48
CCC12CCCC3C1C4=C(CC3N)C5=CC(=C(C=C5N4C(=O)C2)O)O.Cl,7
CC12CCCC3C1C4=C(CC3N)C5=CC(=C(C=C5N4C(=O)C2)O)O.Cl,34
CCC12CCCC3C1C4=C(CC3N)C5=CC(=C(C=C5N4C(=O)C2)OC)OC.Cl,34
CCC12CCCC3C1C4=C(CC3N)C5=C(N4C(=O)C2)C=CC=C5O.Cl,6
CCCC12CCCC3C1C4=C(CC3N)C5=C(N4C(=O)C2)C=CC=C5O.Cl,20
CCCC12CCCC3C1C4=C(CC3N)C5=CC(=C(C=C5N4C(=O)C2)O)O.Cl,20
C1CC2CC(=O)N3C4=C(C5=C3C2C(C1)C(C5)N)C(=CC=C4)O.Cl,10
C1CC2CC(=O)N3C4=CC(=C(C=C4C5=C3C2C(C1)C(C5)N)O)O.Cl,40
