Anticonvulsant activity in mice, measured by maximal electroshock seizure (MES) test.
C1=CC=C(C=C1)C2(C(=O)NC(=O)N2)C3=CC=CC=C3,9.5
CCC1(C(=O)NC(=O)NC1=O)C2=CC=CC=C2,21.78
CCCC(CCC)C(=O)O,271.66
C1=CC(=CC(=C1)N2C(=CN=N2)C3=CC=NC=C3)C(F)(F)F,68.19
C1C(N(N=N1)C2=CC=CC=C2)C3=CC=NC=C3,165.02
C1=CC(=CN=C1)C2=CN=NN2C3=CC=C(C=C3)Br,87.15
C1=CC(=CN=C1)C2=CN=NN2C3=CC=C(C=C3)F,74.61
C1=CC(=CC=C1N2C(=CN=N2)C3=CC=NC=C3)F,91.56
C1=CC(=CN=C1)C2=CN=NN2C3=CC=C(C=C3)C(F)(F)F,92.27
C1C(N(N=N1)C2=CC=CC(=C2)C(F)(F)F)C3=CC=NC=C3,52.07
COC1=CC=C(C=C1)N2C(=CN=N2)C3=CC=NC=C3,311.24
C1=CC=C(C=C1)N2C(=CN=N2)C3=CC=NC=C3,78.83
C1C(N(N=N1)C2=CC=C(C=C2)C(F)(F)F)C3=CC=NC=C3,689.25
C1=CC=NC(=C1)C2=CN=NN2C3=CC=C(C=C3)Br,67.95
C1=CC=C(C=C1)N2C(=CN=N2)C3=CC=CC=N3,41.1
C1=CC=NC(=C1)C2=CN=NN2C3=CC=C(C=C3)Cl,95.25
C1C(N(N=N1)C2=CC=C(C=C2)Cl)C3=CC=NC=C3,257.42
C1=CC(=CC(=C1)Cl)N2C(=CN=N2)C3=CC=NC=C3,37.96
C1=CC=C(C=C1)N2C(=CN=N2)C3=CN=CC=C3,76.37
C1=CC(=CN=C1)C2=CN=NN2C3=CC=C(C=C3)Cl,65.76
C1C(N(N=N1)C2=CC=C(C=C2)F)C3=CC=NC=C3,239.17
C1=CC=C(C=C1)C2=CN=NN2C3=CC=C(C=C3)Cl,232.65
C1=CC=NC(=C1)C2=CN=NN2C3=CC(=C(C=C3)F)F,62.55
