Anticonvulsant activity was evaluated by the maximal electroshock test in mice, administered orally
C1=CC(=CC=C1C(=O)CN2C=CN=C2)Cl,48
C1=CC(=C(C=C1Cl)Cl)C(CN2C=CN=C2)O,39.7
C1=CC(=CC=C1C(CN2C=CN=C2)O)Cl,54
C1=CC=C(C=C1)CCC2=CC=C(C=C2)C(=O)CCN3C=CN=C3,112.5
CC(C(=O)C1=CC=C(C=C1)CCC2=CC=CC=C2)N3C=CN=C3,23
C1=CC=C(C=C1)C2=CC=CC=C2C(=O)CN3C=CN=C3,17.1
C1=CC=C(C=C1)C2=CC=C(C=C2)C(=O)CN3C=CN=C3,78.3
C1=CC=C(C=C1)C2=CC(=CC=C2)C(=O)CN3C=CN=C3,21
C1CCC(CC1)C2=CC=C(C=C2)C(=O)CN3C=CN=C3,89.9
CCC(C)C1=CC=C(C=C1)C(=O)CN2C=CN=C2,23
C1=CC(=CC=C1C(=O)CN2C=CN=C2)[N+](=O)[O-],72
C1=CC(=CC=C1C(=O)CN2C=CN=C2)N,72
CC(=O)NC1=CC=C(C=C1)C(=O)CN2C=CN=C2,200
CS(=O)(=O)NC1=CC=C(C=C1)C(=O)CN2C=CN=C2,300
C1=CC(=C(C=C1C(=O)CN2C=CN=C2)O)O,200
CC(C)(C(=O)C1=CC=C(C=C1)CCC2=CC=CC=C2)N3C=CN=C3,36
CC(CN1C=CN=C1)C(=O)C2=CC=C(C=C2)C3=CC=CC=C3,26
C1=CC=C(C=C1)C2=CC=C(C=C2)C(=O)CCN3C=CN=C3,40.5
CC(C)(C(=O)C1=CC=C(C=C1)C2=CC=CC=C2)N3C=CN=C3,42.9
C1=CC=C(C=C1)CCC2=CC=C(C=C2)C(=O)CN3C=CN=C3,36.9
CC(C(=O)C1=CC=C(C=C1)C2=CC=CC=C2)N3C=CN=C3,18
C1=CC=C(C(=C1)C(=O)CN2C=CN=C2)Cl,44
C1=CC(=CC=C1C(=O)CN2C=CN=C2)O,150
CC(C)(C)C1=CC=C(C=C1)C(=O)CN2C=CN=C2,20
C1=CC=C(C=C1)OC2=CC=C(C=C2)C(=O)CN3C=CN=C3,20
C1=CC(=C(C=C1Cl)Cl)C(=O)CN2C=CN=C2,84
C1=CC=C(C=C1)CCC2=CC=C(C=C2)C(CCN3C=CN=C3)O.Cl,24.7
C1=CC=C(C=C1)C2=CC=CC=C2C(CN3C=CN=C3)O.Cl,24.5
CCC(C)C1=CC=C(C=C1)C(CN2C=CN=C2)O.Cl,31.2
CC(C)(C(C1=CC=C(C=C1)CCC2=CC=CC=C2)O)N3C=CN=C3.Cl,48
CC(CN1C=CN=C1)C(C2=CC=C(C=C2)C3=CC=CC=C3)O.Cl,32.3
C1=CC(=CC=C1C(CN2C=CN=C2)O)O.Cl,200
C1CCC(CC1)C2=CC=C(C=C2)C(CN3C=CN=C3)O.Cl,59.6
C1=CC(=CC=C1C(CN2C=CN=C2)O)N.Cl,175
CC(C)(C(C1=CC=C(C=C1)C2=CC=CC=C2)O)N3C=CN=C3.Cl,25.1
CC(C(C1=CC=C(C=C1)C2=CC=CC=C2)O)N3C=CN=C3.Cl,24.7
C1=CC=C(C=C1)C2(C(=O)NC(=O)N2)C3=CC=CC=C3.Cl,9.7
C1=CC=C(C=C1)OC2=CC=C(C=C2)C(CN3C=CN=C3)O.Cl,48
C1=CC(=C(C=C1C(CN2C=CN=C2)O)O)O.Cl,230
C1=CC=C(C=C1)C2=CC=C(C=C2)C(CCN3C=CN=C3)O.Cl,53.5
CC(C(C1=CC=C(C=C1)CCC2=CC=CC=C2)O)N3C=CN=C3.Cl,36
C1=CC=C(C=C1)CCC2=CC=C(C=C2)C(CN3C=CN=C3)O.Cl,10.2
CC(C)(C)C1=CC=C(C=C1)C(CN2C=CN=C2)O.Cl,42
C1=CC=C(C=C1)C2=CC=C(C=C2)C(CN3C=CN=C3)O.Cl,31
C1=CC=C(C=C1)C2=CC(=CC=C2)C(CN3C=CN=C3)O.Cl,25
C1=CC(=CC=C1C(CN2C=CN=C2)O)[N+](=O)[O-].Cl,98
CCC1(C(=O)NC(=O)NC1=O)C2=CC=CC=C2.Cl,17.6
