Antiviral activity against rimantidine, amantidine-resistant Influenza A virus (A/California/07/09(H1N1)) pdm09 infected in MDCK cells assessed as inhibition of viral replication after 1 hrs by hemagglutination assay
CC1=C(C(=C2C(=C1O)C3(C(=CC(=C(C3=O)C(=O)C)O)O2)C)C(=O)C)O,51.7
CC1=C(C(=C2C(=C1O)C3(C(=CC(=C(C3=O)C(=O)C)O)O2)C)C(=O)C)O,13.1
CC1=C(C(=C2C(=C1O)C3(C(=CC4=C(C3=O)C(=NN4C5=CC=CC=C5)C)O2)C)C(=O)C)O,69.5
CC1=C(C(=C2C(=C1O)C3(C(=CC4=C(C3=O)C(=NN4C5=CC=CC=C5)C)O2)C)C(=O)C)O,56.3
CC1=C(C(=C2C(=C1O)C3(C(=CC(=O)C(=C(C)NCCC(=O)O)C3=O)O2)C)C(=O)C)O,7.2
CC1=C(C2(C3(C(=CC(=C(C3=O)C(=O)C)O)OC24C(C1=O)(O4)C(=O)C)C)O)O,10.6
CC1=C(C(=C2C(=C1O)C3(C(C4=C(C=C3O2)N(N=C4C)C5=CC=CC=C5)O)C)C(=O)C)O,2.4
CC1=C(C(=C2C(=C1O)C3(C(=CC(=O)C(=C(C)NCC(=O)O)C3=O)O2)C)C(=O)C)O,10.7
CC1=C(C(=C2C(=C1O)C3(C(=CC(=O)C(=C(C)NCC(=O)O)C3=O)O2)C)C(=O)C)O,11.2
CC1=C(C(=C2C(=C1O)C3(C(=CC(=O)C(=C(C)NCCC(=O)O)C3=O)O2)C)C(=O)C)O,14.5
CC1=C(C(=C2C(=C1O)C3(C(=CC(=O)C(=C(C)NCCCC(=O)O)C3=O)O2)C)C(=O)C)O,35
CC1=C(C(=C2C(=C1O)C3(C(O2)CC(=O)C(=C3O)C(=O)C)C)C(=O)C)O,8.1
CC1=C(C(=C2C(=C1O)C3(C(=CC(=O)C(=C(C)NC(CC4=CC=CC=C4)C(=O)O)C3=O)O2)C)C(=O)C)O,5.9
CC1=C(C(=C2C(=C1O)C3(C(=CC(=O)C(=C(C)NC(CC(C)C)C(=O)O)C3=O)O2)C)C(=O)C)O,6.6
CC1=C(C(=C2C(=C1O)C3(C(=CC(=O)C(=C(C)NC(CC(C)C)CC(=O)O)C3=O)O2)C)C(=O)C)O,6.6
CC1=C(C(=C2C(=C1O)C3(C(=CC(=O)C(=C(C)NCCCC(=O)O)C3=O)O2)C)C(=O)C)O,28
CC1=C(C(=C2C(=C1O)C3(C(=CC(=O)C(=C(C)NC(CC4=CNC5=CC=CC=C54)C(=O)C)C3=O)O2)C)C(=O)C)O,18.9
CC1=C(C(=C2C(=C1O)C3(C(=CC(=O)C(=C(C)NC(CCSC)C(=O)O)C3=O)O2)C)C(=O)C)O,4.2
