Analgesic activity using PQW test, oral administration
CN1CCC23C4C1CC5=C2C(=C(C=C5)O)OC3C(C=C4)O,1.4
CCN(C1=CC=CC=C1OCC)C(=O)C(C)C2(CCN(CC2)CCC3=CC=CC=C3Cl)O,1.8
CC(C(=O)N(C)C1CCCCC1)C2(CCN(CC2)CCC3=CC=CC=C3Cl)O,10
CCCN(C1CCCCC1)C(=O)C(C)C2(CCN(CC2)CCC3=CC=CC=C3Cl)O,32
CCCCNC(=O)C(C)C1(CCN(CC1)CCC2=CC=CC=C2Cl)O,32
CCC(=O)OC1(CCN(CC1)CCC2=CC=CC=C2Cl)C(C)C(=O)N(C)C3CCCCC3,56
CC(C)(C(=O)N(C)C1CCCCC1)C2(CCN(CC2)CCC3=CC=CC=C3Cl)O,26
CC(C)C(C(=O)N(C)C1CCCCC1)C2(CCN(CC2)CCC3=CC=CC=C3Cl)O.Br,56
CCCCCCCN1CCC(CC1)(C(C)C(=O)N(C)C2CCCCC2)O.Br,56
CC(C(=O)N(C)C1CCCCC1)C2(CCN(CC2)CCC3=CC(=CC=C3)OC)O.Br,18
CC1=CC=C(C=C1)CCN2CCC(CC2)(C(C)C(=O)N(C)C3CCCCC3)O.Cl,56
CC(C(=O)N(C)C1CCCCC1)C2(CCN(CC2)C)O.Cl,56
CC(C(=O)N(C)C1CCCCC1)C2(CCN(CC2)CCC3=CC=CC=C3)O.Cl,18
CN(C1CCCCC1)C(=O)CC2(CCN(CC2)CCC3=CC=CC=C3Cl)O.Cl,18
CCCN(C1=CC=CC=C1OCC)C(=O)C(C)C2(CCN(CC2)CCC3=CC=CC=C3Cl)O.C(=CC(=O)O)C(=O)O,0.18
CC(C(=O)N(C)C1CCCCC1)C2(CCN(CC2)CC=C)O.C(=CC(=O)O)C(=O)O,1
CC(C(=O)NC1=CC=CC=C1OC)C2(CCN(CC2)CCC3=CC=CC=C3Cl)O.C(=CC(=O)O)C(=O)O,5.6
CCCCN(CCCC)C(=O)C(C)C1(CCN(CC1)CCC2=CC=CC=C2Cl)O.C(=CC(=O)O)C(=O)O,30
CCN(C1=CC=CC=C1OC)C(=O)C(C)(C)C2(CCN(CC2)CCC3=CC=CC=C3Cl)O.C(=CC(=O)O)C(=O)O,18
CC(C(=O)N(C)C1=CC=C(C=C1)Cl)C2(CCN(CC2)CCC3=CC=CC=C3Cl)O.C(=CC(=O)O)C(=O)O,9.7
CC(C(=O)N(C)C1CCCCC1)C2(CCN(CC2)CCC3=CC=CC=C3Cl)O.C(=CC(=O)O)C(=O)O,10.8
CCN(C1=CC=CC=C1OC)C(=O)C(C)C2(CCN(CC2)CCC3=CC=CC=C3Cl)O.C(=CC(=O)O)C(=O)O,56
CCOC1=CC=CC=C1N(C)C(=O)C(C)C2(CCN(CC2)CCC3=CC=CC=C3Cl)O.C(=CC(=O)O)C(=O)O,1.8
CC(C(=O)N(C1CCCCC1)C2CCCCC2)C3(CCN(CC3)CCC4=CC=CC=C4Cl)O.Cl,56
CC(C)(C(=O)NC1=CC=CC=C1OC)C2(CCN(CC2)CCC3=CC=CC=C3Cl)O.Cl,56
CC(C(=O)N(C)C1=CC=CC=C1OC)C2(CCN(CC2)CCC3=CC=CC=C3Cl)O.C(=CC(=O)O)C(=O)O,18
CC(C(=O)N(C1CCCCC1)C(C)(C)C)C2(CCN(CC2)CCC3=CC=CC=C3Cl)O.C(=CC(=O)O)C(=O)O,56
CN(C1CCCCC1)C(=O)C2(CC2)C3(CCN(CC3)CCC4=CC=CC=C4Cl)O.C(=CC(=O)O)C(=O)O,56
CC(C1CCN(CC1)CCC2=CC=CC=C2Cl)C(=O)N(C)C3CCCCC3.Cl,18
CC(C(=O)N(CC=C)C1CCCCC1)C2(CCN(CC2)CCC3=CC=CC=C3Cl)O.C(=CC(=O)O)C(=O)O,32
CC(C(=O)N(CC#C)C1=CC=CC=C1OC)C2(CCN(CC2)CCC3=CC=CC=C3Cl)O.C(=CC(=O)O)C(=O)O,0.56
CCCN(C1=CC=CC=C1OC)C(=O)C(C)C2(CCN(CC2)CCC3=CC=CC=C3Cl)OC(=O)CC.C(=CC(=O)O)C(=O)O,1
CN(C1CCCCC1)C(=O)C2(CCCC2)C3(CCN(CC3)CCC4=CC=CC=C4Cl)O.C(=CC(=O)O)C(=O)O,56
CCCCC(C(=O)N(C)C1CCCCC1)C2(CCN(CC2)CCC3=CC=CC=C3Cl)O.C(=CC(=O)O)C(=O)O,56
CC(C(=O)N(CC=C)C1=CC=CC=C1OC)C2(CCN(CC2)CCC3=CC=CC=C3Cl)O.C(=CC(=O)O)C(=O)O,0.56
CC(C(=O)NC1CCCCC1)C2(CCN(CC2)CCC3=CC=CC=C3Cl)O.C(=CC(=O)O)C(=O)O,56
CC(C(=O)N(C)C1=CC(=CC=C1)O)C2(CCN(CC2)CCC3=CC=CC=C3Cl)O.C(=CC(=O)O)C(=O)O,18
CCCN(C1=CC=CC=C1OC)C(=O)C(C)C2(CCN(CC2)CCC3=CC=CC=C3Cl)O.C(=CC(=O)O)C(=O)O,1.8
CC(C(=O)N(C)C1=CC=CC=C1OC)C2(CCN(CC2)CCC3=CC=CC=C3Cl)O.C(=CC(=O)O)C(=O)O,56
