Cytotoxicity against human U87 cells coexpressing CD4, CxCR4 receptors after 72 hrs
CC1CN(CCN1C(=O)C(=O)C2=CNC3=NC=CC(=C23)OC)C(=O)C4=CC=CC=C4,40000
COC1=CN=C(C2=C1C(=CN2)C(=O)C(=O)N3CCN(CC3)C(=O)C4=CC=CC=C4)OC,40000
C1CN(CCN1C(=O)C2=CC=CC=C2)C(=O)C(=O)C3=CNC4=C3C(=CN=C4N5C=CN=N5)F,40000
CC1CN(CCN1C(=O)C(=O)C2=CC=C(C=C2)C3=CC=CS3)C(=O)C4=CC=CC=C4,40000
CC1CN(CCN1C(=O)C(=O)C2=CC=C(C=C2)C3=CSC=C3)C(=O)C4=CC=CC=C4,40000
CC1CN(CCN1C(=O)C(=O)C2=CC=C(C=C2)C3=C(C=CC=N3)F)C(=O)C4=CC=CC=C4,40000
CC1CN(CCN1C(=O)C(=O)C2=C(C=C(C=C2)C3=CC=NN3)Cl)C(=O)C4=CC=CC=C4,40000
CC1CN(CCN1C(=O)C(=O)C2=C(C=C(C=C2)C3=CC=NN3)NC)C(=O)C4=CC=CC=C4,40000
CC1CN(CCN1C(=O)C(=O)C2=CC(=C(C=C2)C3=CN=CO3)OC)C(=O)C4=CC=CC=C4,40000
CC1CN(CCN1C(=O)C(=O)C2=CC=C(C=C2)C3=CSC=N3)C(=O)C4=CC=CC=C4,40000
CC1CN(CCN1C(=O)C(=O)C2=CC=C(C=C2)C3=CC(=NC=N3)N)C(=O)C4=CC=CC=C4,40000
CC1CN(CCN1C(=O)C(=O)C2=CC=C(C=C2)N3C=NC=N3)C(=O)C4=CC=CC=C4,40000
CC1CN(CCN1S(=O)(=O)C2=CNC3=C2C(=CN=C3N4C=CN=N4)OC)C(=O)C5=CC=CC=C5,40000
CC1CN(CCN1S(=O)(=O)C2=CC=C(S2)C3=CC=CC=N3)C(=O)C4=CC=CC=C4,40000
CC1CN(CCN1C(=O)C(=O)C2=CC=CC(=C2)C3=CC=CC=N3)C(=O)C4=CC=CC=C4,40000
CC1CN(CCN1C(=O)C(=O)C2=CC=C(C=C2)C3=CN=CS3)C(=O)C4=CC=CC=C4,40000
CC1CN(CCN1C(=O)C(=O)C2=CC(=C(C=C2)C3=CC(=NO3)C)OC)C(=O)C4=CC=CC=C4,40000
CC1CN(CCN1C(=O)C(=O)C2=CC=C(C=C2)C3=CSC(=C3)C(=O)C)C(=O)C4=CC=CC=C4,40000
CC1CN(CCN1C(=O)C(=O)C2=CC=C(C=C2)N3N=CC=N3)C(=O)C4=CC=CC=C4,40000
CC1CN(CCN1C(=O)C(=O)C2=C(C=C(C=C2)C3=CC=NN3)OC)C(=O)C4=CC=CC=C4,40000
CC1CN(CCN1C(=O)C(=O)C2=CC(=C(C=C2)C3=CC=NN3)C)C(=O)C4=CC=CC=C4,40000
CC1CN(CCN1C(=O)C(=O)C2=CC(=C(C=C2)C3=CC=NN3)OC)C(=O)C4=CC=CC=C4,40000
CC1CN(CCN1C(=O)C(=O)C2=C(C=C(C=C2)C3=CC(=NO3)C)O)C(=O)C4=CC=CC=C4,40000
CC1CN(CCN1C(=O)C(=O)C2=CC=C(S2)C3=CC=CC=N3)C(=O)C4=CC=CC=C4,40000
CC1CN(CCN1C(=O)C(=O)C2=CC=C(C=C2)C3=NN(C=C3)C)C(=O)C4=CC=CC=C4,40000
CC1CN(CCN1C(=O)C(=O)C2=CC=C(C=C2)C3=CC=C(O3)C)C(=O)C4=CC=CC=C4,40000
CC1CN(CCN1C(=O)C(=O)C2=CC=C(C=C2)C3=CSC(=N3)C)C(=O)C4=CC=CC=C4,40000
CC1CN(CCN1C(=O)C(=O)C2=CC=C(C=C2)N3CCCC3)C(=O)C4=CC=CC=C4,40000
CC1CN(CCN1C(=O)C(=O)C2=CC=C(C=C2)N3CCOC3=O)C(=O)C4=CC=CC=C4,40000
CC1CN(CCN1C(=O)C(=O)C2=CC(=C(C=C2)C3=CC(=NO3)C)F)C(=O)C4=CC=CC=C4,40000
CC1CN(CCN1C(=O)C(=O)C2=CC=C(C=C2)C3=CC=NC=C3)C(=O)C4=CC=CC=C4,40000
CC1CN(CCN1C(=O)C(=O)C2=CC=C(C=C2)C3=NC=CS3)C(=O)C4=CC=CC=C4,40000
CC1CN(CCN1C(=O)C(=O)C2=CC=C(C=C2)N3C=CC=N3)C(=O)C4=CC=CC=C4,40000
CC1CN(CCN1C(=O)C(=O)C2=C(C=C(C=C2)C3=CC=NN3)C)C(=O)C4=CC=CC=C4,40000
CC1CN(CCN1C(=O)C(=O)C2=CC(=C(C=C2)C3=CN=CO3)Cl)C(=O)C4=CC=CC=C4,40000
CC1CN(CCN1C(=O)C(=O)C2=CN=C(C=C2)C3=CC=NN3)C(=O)C4=CC=CC=C4,40000
CC1CN(CCN1C(=O)C(=O)C2=CC=C(C=C2)C3=CC=NN3)C(=O)C4=CC=CC=C4,40000
CC1CN(CCN1C(=O)C(=O)C2=C(C=C(C=C2)C3=CC=NN3)F)C(=O)C4=CC=CC=C4,40000
CC1CN(CCN1C(=O)C(=O)C2=C(C=C(C=C2)C3=CC=NN3)O)C(=O)C4=CC=CC=C4,40000
CC1CN(CCN1C(=O)C(=O)C2=C(C=C(C=C2)C3=CC=NN3)N)C(=O)C4=CC=CC=C4,40000
CC1CN(CCN1C(=O)C(=O)C2=C(C=C(C=C2)C3=CC(=NO3)C)OC)C(=O)C4=CC=CC=C4,40000
CC1CN(CCN1S(=O)(=O)C2=CC=C(S2)C3=CN=CO3)C(=O)C4=CC=CC=C4,40000
CC1CN(CCN1C(=O)C(=O)C2=CC=C(C=C2)C3=CN=CO3)C(=O)C4=CC=CC=C4,40000
CC1CN(CCN1C(=O)C(=O)C2=CC=C(C=C2)C3=CN(N=C3)C)C(=O)C4=CC=CC=C4,40000
CC1CN(CCN1C(=O)C(=O)C2=CC=C(C=C2)C3=CC=C(S3)C(=O)C)C(=O)C4=CC=CC=C4,40000
CC1CN(CCN1C(=O)C(=O)C2=CC=C(C=C2)C3=CC(=NO3)C)C(=O)C4=CC=CC=C4,40000
