Cytotoxicity, reducing the vaiability of mock-infected cells
C1=CC=C(C=C1)S(=O)(=O)C2=C(NC3=C2C=C(C=C3)Cl)C(=O)N,45000
C1=CC=C(C=C1)SC2=C(NC3=C2C=C(C=C3)Cl)C(=O)N,9000
C1=CC(=CC=C1F)S(=O)(=O)C2=C(NC3=C2C=C(C=C3)Cl)C(=O)N,17000
C1=CC=C(C=C1)S(=O)(=O)N2C=CC3=C2C=C(C=C3)Cl,75000
CCOC(=O)C1=CC2=C(N1S(=O)(=O)C3=CC=C(C=C3)Cl)C=C(C=C2)Cl,200000
C1=CC(=CC=C1F)S(=O)(=O)C2=C(NC3=C2C=C(C=C3)Cl)C(=O)NN,44000
CC1=CC=C(C=C1)S(=O)(=O)C2=C(NC3=C2C=C(C=C3)Cl)C(=O)NN,200000
C1=CC=C(C=C1)S(=O)(=O)C2=C(NC3=C2C=C(C=C3)Cl)C(=O)NN,200000
C1=CC=C(C=C1)S(=O)(=O)N2C=C(C3=CC=CC=C32)C(=O)N,32000
C1=CC=C2C(=C1)C(=C(N2)C(=O)N)SC3=C(C=CC(=C3)Cl)N,20000
C1=CC=C(C=C1)SC2=C(NC3=CC=CC=C32)C(=O)N,14000
C1=CC=C(C=C1)S(=O)(=O)N2C3=CC=CC=C3C=C2C(=O)NN,200000
C1=CC=C(C=C1)S(=O)(=O)N2C=C(C3=C2C=C(C=C3)Cl)C(=O)N,200000
CC(C)(C)C1=CC=C(C=C1)S(=O)(=O)C2=C(NC3=C2C=C(C=C3)Cl)C(=O)N,26000
CCOC(=O)C1=CN(C2=C1C=CC(=C2)Cl)S(=O)(=O)C3=CC=CC=C3,42000
CCOC(=O)C1=C(C2=CC=CC=C2N1)S(=O)(=O)C3=CC=CC=C3,157000
CC1=CC(=C(C=C1)S(=O)(=O)C2=C(NC3=C2C=C(C=C3)Cl)C(=O)N)C,37000
CC(C)C1=CC=C(C=C1)S(=O)(=O)C2=C(NC3=C2C=C(C=C3)Cl)C(=O)N,200000
C1=CC(=CC=C1S(=O)(=O)C2=C(NC3=C2C=C(C=C3)Cl)C(=O)N)Cl,200000
CCOC(=O)C1=CC2=C(N1S(=O)(=O)C3=CC=C(C=C3)C)C=C(C=C2)Cl,200000
C1=CC=C(C=C1)S(=O)(=O)C2=C(NC3=CC=CC=C32)C(=O)NN,133000
C1=CC(=CC=C1SC2=C(NC3=C2C=C(C=C3)Cl)C(=O)NN)Cl,30000
CCOC(=O)C1=CC2=C(N1S(=O)(=O)C3=CC=CC=C3)C=C(C=C2)Cl,200000
CC1=CC=C(C=C1)SC2=C(NC3=C2C=C(C=C3)Cl)C(=O)N,450
CCOC(=O)C1=C(C2=CC=CC=C2N1)SC3=C(C=CC(=C3)Cl)N,200000
CC1=CC(=CC(=C1)S(=O)(=O)C2=C(NC3=C2C=C(C=C3)C(=O)C)C(=O)N)C,200000
CC1=CC=CC=C1SC2=C(NC3=C2C=C(C=C3)Cl)C(=O)N,26000
CCOC(=O)C1=C(C2=CC=CC=C2N1)SC3=CC=CC=C3,200000
CCOC(=O)C1=CC2=CC=CC=C2N1,1400
CC1=CC(=CC(=C1)S(=O)(=O)C2=C(NC3=C2C=C(C=C3)Br)C(=O)N)C,18000
CCOC(=O)C1=C(C2=CC=CC=C2N1)S(=O)(=O)C3=C(C=CC(=C3)Cl)N,200000
CCOC(=O)C1=C(C2=C(N1)C=CC(=C2)Cl)S(=O)(=O)C3=C(C=CC(=C3)Cl)N,200000
