Cytotoxicity against human HeLa cells expressing CD4, CCR5 after 3 days
CC1CN(CCN1C(=O)C(=O)C2=CNC3=NC=CC(=C23)OC)C(=O)C4=CC=CC=C4,300000
CC1CN(CCN1C(=O)C(=O)C2=CNC3=C2C=CC=N3)C(=O)C4=CC=CC=C4,280000
CC1CN(CCN1C(=O)C(=O)C2=CNC3=C2C=CN=C3)C(=O)C4=CC=CC=C4,300000
CC1CN(CCN1C(=O)C(=O)C2=CNC3=CC=CC=C32)C(=O)C4=CC=CC=C4,195000
CC1CN(CCN1C(=O)C(=O)C2=CNC3=C2N=CC=C3)C(=O)C4=CC=CC=C4,300000
CC1CN(CCN1C(=O)C(=O)C2=CNC3=C2C=NC=C3)C(=O)C4=CC=CC=C4,300000
CC1CN(CCN1C(=O)C(=O)C2=CNC3=C2C(=CC=C3)OC)C(=O)C4=CC=CC=C4,250000
CC1CN(CCN1C(=O)C2=CC=CC=C2)C(=O)C(=O)C3=CNC4=C(C=CN=C34)C5=NC=CO5,135000
C1CN(CCN1C(=O)C2=CC=CC=C2)C(=O)C(=O)C3=CNC4=C(C=CN=C34)N5N=CC=N5,300000
COC1=C2C(=NC=C1)C(=CN2)C(=O)C(=O)N3CCN(CC3)C(=O)C4=CC=CC=C4,300000
CC1CN(CCN1C(=O)C(=O)C2=CNC3=C(C=CN=C23)C(=O)NC)C(=O)C4=CC=CC=C4,300000
CC1CN(CCN1C(=O)C(=O)C2=CNC3=C(C=CN=C23)C4=CC=C(C=C4)OC)C(=O)C5=CC=CC=C5,300000
CC1CN(CCN1C(=O)C2=CC=CC=C2)C(=O)C(=O)C3=CNC4=C(C=CN=C34)N5C(=NC=N5)C,300000
C1CN(CCN1C(=O)C2=CC=CC=C2)C(=O)C(=O)C3=CNC4=C(C=CN=C34)N5C6=C(C=CC=N6)N=N5,300000
CC1CN(CCN1C(=O)C2=CC=CC=C2)C(=O)C(=O)C3=CNC4=C(C=CN=C34)C5=CC=CS5,168000
CC1CN(CCN1C(=O)C2=CC=CC=C2)C(=O)C(=O)C3=CNC4=C(C=CN=C34)C5=NC(=CS5)C,30000
C1CN(CCN1C(=O)C2=CC=CC=C2)C(=O)C(=O)C3=CNC4=C(C=CN=C34)C5=NC=CN=C5,300000
C1CN(CCN1C(=O)C2=CC=CC=C2)C(=O)C(=O)C3=CNC4=C(C=CN=C34)N5C=NC=N5,300000
C1CN(CCN1C(=O)C2=CC=CC=C2)C(=O)C(=O)C3=CNC4=C(C=CN=C34)N5C=CN=N5,300000
C1CN(CCN1C(=O)C2=CC=CC=C2)C(=O)C(=O)C3=CNC4=C(C=CN=C34)N5C=CC=N5,300000
CC1CN(CCN1C(=O)C(=O)C2=CNC3=C(C=CN=C23)C4=C(ON=C4C)C)C(=O)C5=CC=CC=C5,300000
