cid,Efficacy
6603008,
6602571,
6602616,
644371,
6603132,
2850911,
6603374,
6603127,
644380,
2900108,
6602565,
644388,53.4521
644390,
644392,
644393,
644394,
644395,
644396,60.3451
644397,
5770444,
644399,
644401,
644402,
644403,
644404,
644405,
644406,
644407,
644408,
644409,40
644410,
644411,
644412,
644413,
644415,
644417,
644418,
644419,
644420,
644421,
644422,
644423,
644424,
644425,
644426,
644427,
644428,
644429,
644430,
644434,57.6437
644435,
644436,
644437,
644438,
644439,
644440,
644442,62.6202
644443,
644444,
226199,
644445,
135429121,
644447,
644448,
644449,
644450,
644451,
644452,
644453,
644454,
644455,
644456,
644457,49.2604
644458,
644460,
644461,
54690395,
644463,
644464,
644465,
644466,
644468,
644469,
644470,
644471,
644472,
644473,
644474,
644475,113.652
644476,
644477,
644478,
644479,
644480,
644481,
644483,
644484,
644485,
644486,
644487,
6603665,
2840005,
644496,
6602638,
644501,
644502,
233401,
644503,
644504,
644506,
644507,
644508,
644509,
644511,
644512,
644513,
644514,
644515,
644516,41.8461
42023,
644517,
54679534,
644520,
644521,
644522,416.312
644523,
644524,
644525,
644526,
644527,
644528,
644529,
644530,
644531,
644533,
644534,
644535,
644536,
644537,
644538,
644539,
644540,
644542,
135450601,
644544,
644545,
644546,
644547,
644549,
644550,72.336
644551,
644552,
644553,
135450602,
644555,
644557,
644558,47.058
644559,
644560,
644562,
644564,
644565,
644566,
644567,
644570,
644571,46.4618
644572,
644573,
644574,
644575,
5409720,
644577,
1960010,
644579,
644580,
644581,
644582,
644583,
644584,
644585,
644587,
644588,
644589,
644590,
644591,
644592,
644593,
563007,
644594,
644595,
644596,
644597,
644598,
644599,
644600,
644601,46.8416
644602,
644603,
644605,59.6388
644606,
644607,
644608,
135450604,
644610,
644613,
644614,
644615,
6602678,
644622,
644624,
644626,
644628,
6603143,93.1079
644634,
644636,
644637,
644638,
644639,
644640,
644641,
644642,
644644,
644645,
644646,
644647,
644649,
644650,
644652,
644653,
644654,
644655,
644656,
644657,
644658,
644660,
644663,
644664,
644665,
644666,
644668,
644669,
644670,
600133,
644671,
644672,
644673,
644675,
644676,
644677,
644678,
599120,
644679,
644680,
644681,
644682,
644683,
379409,
644686,
644687,
644688,36
644691,
644692,
644694,
644695,
644696,
644697,
644698,
644699,
644700,
644701,
644702,
644703,
644704,
644705,
644706,
644707,
644708,
644709,
644710,
644711,41.8748
644712,
644713,
644714,
644715,
644717,
644718,
644719,
644720,
644721,
644722,
644723,
644724,
644725,
644727,
644728,
644729,
644731,
5361131,
644732,
644733,
644734,
644735,
644736,
644738,
644739,70.6664
644740,48.8605
644742,
644744,
644745,
644746,
6603632,
6602670,
644755,
2897066,
644759,
644763,48.264
644764,
644766,
644767,
607388,
644768,
644769,
644770,
644771,
644772,
644774,
644775,
644776,
644777,
644778,
644779,47.3043
644780,
644781,
644782,
602873,
644783,
644784,
644785,
644786,118.492
644787,49.615
644788,
644790,
644791,
644792,
644793,
644794,
644795,
644796,
644797,
644799,50.9554
644800,
644801,
644802,
644803,
644804,100
644805,
644806,
644808,
644809,
644810,
644811,
644813,
644814,
644816,43.6787
644817,
644818,
644819,
644821,
644822,
644823,
644824,
644825,
644826,
644827,
644828,
644829,
644831,
644832,49.2036
644833,
644834,
644835,
644836,
644837,
644838,
644839,
644840,
596209,
644841,
644842,
644843,
644844,
644845,
644846,
54689725,
644848,
644849,
644850,
49968,
644851,
644852,
459770,
644854,
644855,
644856,
603594,
135443077,
310138,
644857,96.3492
6603452,
6603088,
6603162,
2881472,
644868,
644870,
644872,
6398893,
751502,
644879,
596113,
644880,
644881,
644882,
644883,
644884,
644885,
644886,
644887,
644888,
644889,
644890,
644892,
644893,
644894,
644895,
644896,
644897,
644900,
644901,
644902,
644903,
644904,
644905,
644907,554.066
644908,
644909,
644910,
644911,
644912,
644913,
644914,
644915,
578335,
644916,
644917,
644918,48.0841
644921,
644922,46.2976
644923,
644924,
644925,
644926,
644927,
644928,
644929,
644930,
644931,
644933,
644936,59.3368
644937,
54684102,
644940,
644941,
644942,
644944,
644945,
644946,42.9321
644947,
644948,
644949,
644950,
644951,
644952,
644953,
644954,
644957,
644958,
644959,
644960,
644961,
644962,
644963,
644964,
644965,
644966,
644968,
644969,
644970,41.6389
644971,
644972,
644973,
644975,
573774,
644976,
644978,
644979,
644982,
115931,
2917341,
6602535,
6602553,
644993,
644995,
644996,
644997,
644998,
644999,
692347,
645003,
645005,
645006,
645007,
645009,
645010,
645011,
645012,85.749
135429224,
5396969,
645016,
645017,
645018,
645019,
645020,
645021,
645022,
645024,52.525
645027,
645028,
645029,
645030,
5348062,
645032,
645033,
645034,
645036,
645037,
645038,
645039,
645040,
599759,
645041,
645042,
645043,
645044,
645045,
645047,
645048,
645049,
645051,
645052,
645053,
645054,
645055,
645056,
645057,
645060,
645061,
645063,
114250,
645065,
645067,
645068,
645069,
645070,
645071,81.2107
645072,
645073,
135450606,
645076,
645077,
645078,
645079,
645080,
135450607,
645081,
645082,
645083,39.5227
645084,
645085,
645086,
645087,
135450608,
645089,
645090,
645091,
645093,
645094,59.4182
135450609,
645096,
645097,
135401738,
54682383,
645101,
645103,
645104,
6603111,
6602536,
2881163,
645114,
645116,
645117,
645118,
645119,
645120,
645121,
645122,
645125,
645126,
645127,
645128,
645130,
645131,
645132,
645133,
645134,99.8713
645135,
645136,
645137,
645138,
645139,
645140,
645141,
645142,
645144,
645145,
626230,35.6391
645147,
645148,
645149,
645150,
645151,
645152,
645153,
645154,
645156,
645157,
98928,
645158,75.5303
645159,
645160,
605132,
645161,
645162,
645163,
645164,
645165,
645166,43.0158
604935,
645167,
645168,
645169,
645170,
645171,
1732491,
645173,
645174,
645175,
645176,
645177,
645178,
645179,
645180,
54677841,
645183,
645185,40.0605
645186,
645187,48.6032
645188,
645191,
645192,
645193,
645194,
645195,
645197,
615939,
645198,
645199,29.8675
645200,
645202,
645203,
645204,
645205,
645206,40.739
645207,
645208,63.9163
645209,
645210,
645211,
645213,90.8517
645214,
645216,
645217,45.4709
645218,40.4734
6602624,
645221,
6602555,
197837,
645225,
2733448,
6603376,
6603572,
645234,
645236,
645237,
645238,
645239,
645240,
645241,
645242,
645243,
645244,39.8881
645245,
645248,
645249,53.8519
645251,
645252,
645253,
645254,
645255,
645257,
645258,
645260,
135450611,
645265,
645266,
645267,
645268,
645269,
645270,
645271,
645272,
616809,
645273,
645275,
645276,
645279,
645281,
767427,
645283,
645284,
536700,
645285,
645286,
645287,81.7
645288,
645289,
645290,
645291,
645292,
645293,
645294,
645295,
645296,
645298,
645300,
645301,
645302,
645303,
645304,
645305,
645306,34.9502
645307,
645308,
645309,
645310,
645311,
645312,
645314,
645315,
645316,
645317,
645318,
645319,
645321,
645322,
645323,
645324,62.3654
645325,
645326,
645327,
645328,
54687731,
645330,
645331,
645332,
96863,
54690397,
645336,
645337,
645340,
645341,
6602600,
6603085,
2789306,
6603342,
6603359,
645356,
645357,
645358,
645359,
645361,
645362,
645363,
645364,
645366,
645367,
645368,
645370,
645371,
645372,
645373,
645374,
645375,
645376,
645377,
645378,
645379,
645380,
645381,
645383,
645384,
645385,
645386,
645387,
645388,
645389,72.6033
645390,
645391,
645392,89.3455
645393,
645394,
645395,
135450612,
645396,
645398,
645400,
645401,
645402,
645403,
645404,
645405,
645407,
645408,
645409,
645410,
5941946,
645412,
645413,
645414,
645415,
645416,
645417,
645418,
645419,
645421,
81857,
645422,
645424,
645426,
645427,
645428,
645430,
645432,
645433,
645434,
645435,
645436,
645437,
645438,
645439,
645440,
645441,
645442,
645444,
645445,
645446,
645447,
645448,
645449,
645450,
645451,
645452,
645453,
645454,
645455,
645456,
645457,84.7432
135450613,
645460,60.896
645461,
6603461,
645470,
70863,
135450614,
645474,
6602582,
645478,
645481,
645482,
645483,
645486,
645487,
645488,
645489,
645490,
645494,
645495,
645496,
645497,35.32
645498,
645499,
645501,
645503,
645504,
645505,
5769020,
645507,
645508,
645512,
135450615,
619283,
645514,
645515,
645516,
645517,91.5892
645518,
645520,80.9296
645521,
599871,
645523,
54689675,
645525,
645526,
645527,
304906,
645528,
645532,
645533,
5284840,
645536,
645537,
645538,
645539,
645540,
645541,
645542,
645544,
5770442,
645548,
645549,
645551,
645552,
645553,
645554,
645556,
645557,60.2934
645558,
329167,
645559,
645560,
645562,
645563,
645564,
645565,
645567,
645569,
135450616,
645571,
645572,
645573,
645574,
645575,
645576,
645577,
645578,61.1685
645580,
645582,
645583,
645584,
645585,
645586,
6602684,
6602617,25.1253
6602532,
645599,
6603179,
645603,
2931068,
645607,83.9743
6398895,
645611,
645612,
645613,
645614,
645615,
645616,
549251,
645617,
645618,
645619,
645620,
645621,
645622,
645623,
645625,
645626,
645627,
645628,
645629,
645631,
645632,
645633,
645634,
645635,
645636,
600125,46.7677
645639,73.127
645640,
645641,
645642,
645644,
645645,
645646,
645647,
645648,
645649,
645650,
645651,
645653,
645654,
645656,
5765352,70.8267
645658,
645659,
645660,
645661,61.7366
645662,
645663,
645664,
238492,
645665,
645666,
645669,
645670,
645671,
645672,
645673,
645674,
645675,
645676,
645677,
645678,
645679,62.9595
645680,31.1698
645681,
645682,
645683,
645684,
645685,
645686,
135399285,
645687,
645688,
645689,
645691,
645692,
645693,
645694,
645695,
645696,
645697,
645698,
645699,
645701,
645702,
645703,
645704,
645705,
6602667,
6602569,
6602643,
6602524,
5721248,
6603395,
645718,
6602762,
2953078,
2958313,
645725,
645726,
645727,
645728,
645729,
645730,
645731,
645732,
645733,
645734,
645735,
645736,
645737,
135429096,
645739,
645740,38.9602
645741,
645742,
607402,
645743,
645744,
645745,
645746,
645747,
645748,40.3084
645749,
645750,
645751,
645752,55.7351
645753,
645754,
645756,
645757,
645758,
645759,
645760,
559927,
645761,35.029
645762,
645763,
645764,
645767,
645769,
645770,
645771,
645773,
645774,
645775,
645776,
645777,
645778,
645779,
645780,
645781,
135450617,
645782,
645783,
645784,
645786,78.3232
645787,
645789,
645790,
645791,
645792,
645794,
645795,
645796,
645797,
645798,
5408378,
645802,
645803,
645804,
645805,
247817,
645806,
645807,
645809,
645810,
645811,
645812,
616884,
645813,
645814,
645816,41.5161
645818,
6602641,
6603024,
6603421,
6603341,
6603145,100
2894253,
2899117,
645843,
645844,
645845,
645846,43.8492
645847,
645848,
645849,
645850,
645851,
645852,
645853,
645854,
645855,
645857,
645858,
645861,63.4407
645862,
645863,
645864,
645867,
645868,
