name,size,r2_mean,r2_median,r2_std,pcc_mean,pcc_median,pcc_std
ec50_arabidopsisthaliana_histidinekinase,13,0.054,0.155,0.450,0.494,0.607,0.371
ec50_candidaalbicans_drugresistanceprotein1,14,-0.366,-0.177,0.634,0.101,0.101,0.216
ec50_candidaalbicans_drugresistanceprotein2,34,-0.320,-0.224,0.317,-0.016,-0.035,0.117
ec50_canisfamiliaris_beta3adrenergicreceptor,22,-0.002,0.062,0.220,0.292,0.342,0.254
ec50_canislupusdingo_gtpbindingproteinrab7,165,-0.079,-0.011,0.224,0.167,0.220,0.145
ec50_caviaporcellus_histamineh2receptor,89,0.031,0.105,0.218,0.535,0.540,0.105
ec50_escherichiacoli_betagalactosidase,29,-0.180,-0.073,0.332,0.231,0.239,0.122
ec50_escherichiacoli_metrepressor,12,-0.095,0.012,0.327,0.387,0.394,0.220
ec50_hepatitiscvirusgenotype1bisolatebk_hcvns5bpolymerase,87,0.241,0.282,0.122,0.577,0.590,0.091
ec50_homosapiens_5hydroxytryptaminereceptor2a5ht2a,225,0.042,0.059,0.093,0.313,0.331,0.103
ec50_homosapiens_a7nicotinicacetylcholinereceptor,313,0.084,0.111,0.115,0.400,0.414,0.101
ec50_homosapiens_adenylatecyclase,37,-0.864,-0.689,0.770,0.372,0.541,0.373
ec50_homosapiens_adrenergicreceptoralpha,119,-0.079,-0.061,0.105,0.116,0.127,0.099
ec50_homosapiens_alkalinephosphatasetissuenonspecificisozyme,420,-0.184,-0.039,0.329,0.144,0.155,0.071
ec50_homosapiens_apoptosisregulatorbcl2,145,0.078,0.092,0.107,0.547,0.587,0.139
ec50_homosapiens_apoptosisregulatorbclxl,73,-0.170,-0.111,0.177,0.104,0.109,0.086
ec50_homosapiens_apoptoticpeptidaseactivatingfactor1,44,-0.017,0.053,0.219,0.384,0.395,0.087
ec50_homosapiens_arylhydrocarbonreceptor,184,-0.045,-0.024,0.141,0.237,0.253,0.126
ec50_homosapiens_bcl2likeprotein11,149,-0.189,-0.066,0.274,0.054,0.058,0.072
ec50_homosapiens_bcl2relatedproteina1,214,-0.131,-0.104,0.104,0.048,0.062,0.088
ec50_homosapiens_bclw,128,-0.132,-0.092,0.171,0.138,0.156,0.107
ec50_homosapiens_bclxlbak,146,-0.078,-0.065,0.085,0.125,0.099,0.116
ec50_homosapiens_beta3adrenergicreceptor,128,-0.147,-0.062,0.239,0.098,0.142,0.156
ec50_homosapiens_betaadrenergicreceptor,31,-0.243,-0.192,0.198,-0.018,-0.011,0.148
ec50_homosapiens_brs3,320,-0.195,-0.078,0.315,0.244,0.241,0.149
ec50_homosapiens_c3aanaphylatoxinchemotacticreceptor,74,-0.017,0.018,0.104,0.284,0.281,0.121
ec50_homosapiens_cannabinoidcb1receptororexinreceptor1complex,251,0.012,0.061,0.149,0.345,0.386,0.128
ec50_homosapiens_cannabinoidreceptor1cb1,671,-0.032,-0.001,0.112,0.183,0.221,0.124
ec50_homosapiens_cannabinoidreceptor2cb2,1510,-0.061,-0.014,0.152,0.211,0.230,0.085
ec50_homosapiens_caspase3,85,0.138,0.170,0.129,0.453,0.484,0.110
ec50_homosapiens_ccr5muopioidreceptorcomplex,275,0.180,0.189,0.085,0.508,0.517,0.073
ec50_homosapiens_corticotropinreleasingfactorbindingprotein,462,-0.122,-0.046,0.185,0.022,0.031,0.055
ec50_homosapiens_corticotropinreleasingfactorreceptor1,76,-0.178,-0.118,0.201,0.083,0.066,0.163
ec50_homosapiens_cysticfibrosistransmembraneconductanceregulator,106,0.338,0.365,0.114,0.674,0.685,0.068
ec50_homosapiens_deltaopioidreceptor,355,0.002,0.054,0.140,0.465,0.471,0.053
ec50_homosapiens_diacylglyceroloacyltransferase1,29,-0.068,0.006,0.238,0.284,0.314,0.165
ec50_homosapiens_electroneutralpotassiumchloridecotransporterkcc2,951,-0.093,-0.061,0.125,0.038,0.042,0.048
ec50_homosapiens_estrogenreceptor,1175,-0.118,-0.030,0.219,0.175,0.176,0.102
ec50_homosapiens_estrogenreceptoralpha,12,-0.205,-0.079,0.410,0.348,0.357,0.162
ec50_homosapiens_estrogenreceptoreralpha,18,0.050,0.224,0.374,0.750,0.785,0.198
ec50_homosapiens_fmetleuphereceptor12,147,-0.084,-0.036,0.159,0.167,0.189,0.139
ec50_homosapiens_gabaareceptoralpha3beta2gamma2,11,-0.217,-0.101,0.338,0.186,0.248,0.274
ec50_homosapiens_gabacreceptor,19,0.230,0.295,0.279,0.617,0.645,0.140
ec50_homosapiens_gabareceptoralpha2beta2gamma2subunit,21,0.075,0.225,0.646,0.579,0.619,0.198
ec50_homosapiens_glycogensynthasekinase3beta,632,-0.026,0.002,0.100,0.180,0.223,0.142
ec50_homosapiens_gproteincoupledbileacidreceptor1,477,0.152,0.178,0.082,0.474,0.480,0.041
