name,size,r2_mean,r2_median,r2_std,pcc_mean,pcc_median,pcc_std
ec50_arabidopsisthaliana_histidinekinase,13,-0.215,-0.034,0.455,0.715,0.729,0.096
ec50_candidaalbicans_drugresistanceprotein1,18,-0.230,-0.099,0.337,-0.321,-0.321,0.099
ec50_candidaalbicans_drugresistanceprotein2,34,-0.192,-0.090,0.284,-0.016,-0.011,0.115
ec50_canisfamiliaris_beta3adrenergicreceptor,22,-0.030,0.001,0.122,0.308,0.297,0.176
ec50_canislupusdingo_gtpbindingproteinrab7,175,-0.046,0.006,0.161,0.217,0.216,0.019
ec50_caviaporcellus_histamineh2receptor,89,0.015,0.050,0.092,0.456,0.451,0.043
ec50_escherichiacoli_betagalactosidase,20,-0.280,-0.021,0.663,0.301,0.286,0.195
ec50_escherichiacoli_metrepressor,11,-0.072,0.058,0.341,0.446,0.434,0.245
ec50_hepatitiscvirusgenotype1bisolatebk_hcvns5bpolymerase,97,-0.088,-0.034,0.141,0.258,0.260,0.034
ec50_homosapiens_5hydroxytryptaminereceptor2a5ht2a,235,-0.244,-0.175,0.176,-0.216,-0.217,0.019
ec50_homosapiens_a7nicotinicacetylcholinereceptor,313,0.022,0.037,0.044,0.331,0.330,0.014
ec50_homosapiens_adenylatecyclase,37,-1.052,-0.177,1.783,0.229,0.386,0.437
ec50_homosapiens_adrenergicreceptoralpha,129,-0.103,-0.051,0.119,0.092,0.098,0.026
ec50_homosapiens_alkalinephosphatasetissuenonspecificisozyme,430,-0.188,-0.085,0.275,0.172,0.185,0.037
ec50_homosapiens_apoptosisregulatorbcl2,145,-0.020,0.012,0.084,0.233,0.232,0.040
ec50_homosapiens_apoptosisregulatorbclxl,63,-0.052,-0.008,0.144,0.176,0.175,0.065
ec50_homosapiens_apoptoticpeptidaseactivatingfactor1,34,0.065,0.098,0.106,0.438,0.438,0.089
ec50_homosapiens_arylhydrocarbonreceptor,194,-0.068,-0.031,0.110,0.109,0.116,0.029
ec50_homosapiens_bcl2likeprotein11,139,-0.106,-0.052,0.160,0.061,0.055,0.048
ec50_homosapiens_bcl2relatedproteina1,214,-0.032,0.000,0.083,0.165,0.168,0.017
ec50_homosapiens_bclw,118,0.007,0.040,0.078,0.309,0.309,0.040
ec50_homosapiens_bclxlbak,156,-0.218,-0.182,0.165,0.053,0.050,0.029
ec50_homosapiens_beta3adrenergicreceptor,128,-0.054,0.010,0.152,0.229,0.219,0.036
ec50_homosapiens_betaadrenergicreceptor,21,-0.113,-0.012,0.275,0.272,0.276,0.182
ec50_homosapiens_brs3,320,-0.310,-0.176,0.331,0.047,0.039,0.041
ec50_homosapiens_c3aanaphylatoxinchemotacticreceptor,74,-0.043,-0.019,0.086,0.174,0.175,0.057
ec50_homosapiens_cannabinoidcb1receptororexinreceptor1complex,241,0.044,0.056,0.034,0.367,0.368,0.013
ec50_homosapiens_cannabinoidreceptor1cb1,681,-0.083,-0.031,0.107,0.011,0.008,0.066
ec50_homosapiens_cannabinoidreceptor2cb2,1520,-0.175,-0.068,0.267,0.268,0.269,0.005
ec50_homosapiens_caspase3,95,0.054,0.095,0.103,0.383,0.381,0.029
ec50_homosapiens_ccr5muopioidreceptorcomplex,275,0.042,0.069,0.077,0.475,0.475,0.012
ec50_homosapiens_corticotropinreleasingfactorbindingprotein,462,-0.290,-0.245,0.198,-0.031,-0.032,0.007
ec50_homosapiens_corticotropinreleasingfactorreceptor1,66,-0.151,-0.043,0.289,0.143,0.132,0.075
ec50_homosapiens_cysticfibrosistransmembraneconductanceregulator,106,0.087,0.114,0.075,0.652,0.650,0.021
ec50_homosapiens_deltaopioidreceptor,365,-0.044,-0.006,0.104,0.474,0.478,0.019
ec50_homosapiens_diacylglyceroloacyltransferase1,20,-0.038,0.016,0.179,0.372,0.365,0.109
ec50_homosapiens_electroneutralpotassiumchloridecotransporterkcc2,961,-0.161,-0.060,0.249,0.068,0.077,0.026
ec50_homosapiens_estrogenreceptor,1185,-0.063,-0.016,0.112,0.037,0.034,0.017
ec50_homosapiens_estrogenreceptoralpha,13,-0.400,-0.281,0.312,-0.422,-0.437,0.180
ec50_homosapiens_estrogenreceptoreralpha,18,-0.326,0.113,0.867,0.691,0.857,0.345
ec50_homosapiens_fmetleuphereceptor12,137,-0.040,-0.012,0.074,0.173,0.175,0.033
ec50_homosapiens_gabaareceptoralpha3beta2gamma2,12,-0.281,-0.173,0.311,-0.093,-0.087,0.161
