Inhibition of electric eel AChE preincubated for 30 mins prior to horseradish peroxidase, H2O2 and DETAPAC addition measured for 20 mins under ROS condition by Muraoka and Miura method
C1CCC2=NC3=CC=CC=C3C(=C2C1)N,3.95
CCCCCCCNC1=C2CCCCC2=NC3=C1C=CC(=C3)Cl,1.98
C1CCC2=NC3=C(C=CC(=C3)Cl)C(=C2C1)NCCCCCCCCN,0.88
CCCCCCCCNC1=C2CCCCC2=NC3=C1C=CC(=C3)Cl,0.94
CC1=C(C(=CC=C1)NC2=CC=CC=C2C(=O)NCCCCCCCCCCNC3=C4CCCCC4=NC5=C3C=CC(=C5)Cl)C,-2.04
C1CCC2=NC3=C(C=CC(=C3)Cl)C(=C2C1)NCCCCCCCCCN,2.81
CCCCCCCCCNC1=C2CCCCC2=NC3=C1C=CC(=C3)Cl,0.15
CC1=C(C(=CC=C1)NC2=CC=CC=C2C(=O)NCCCCCC(=O)NCCCCNC3=C4CCCCC4=NC5=C3C=CC(=C5)Cl)C,0.95
C1CCC2=NC3=C(C=CC(=C3)Cl)C(=C2C1)NCCCCCCN,3.37
C1CCC2=NC3=C(C=CC(=C3)Cl)C(=C2C1)NCCCCCCCCCCCCN,1.37
CCCCCCNC1=C2CCCCC2=NC3=C1C=CC(=C3)Cl,1.33
CC1=C(C(=CC=C1)NC2=CC=CC=C2C(=O)NCCCC(=O)NCCCCCCCNC3=C4CCCCC4=NC5=C3C=CC(=C5)Cl)C,-0.85
C1CCC2=NC3=C(C=CC(=C3)Cl)C(=C2C1)NCCCCCCO,3.58
CC1=C(C(=CC=C1)NC2=CC=CC=C2C(=O)NCCCCCC(=O)NCCCCCCCNC3=C4CCCCC4=NC5=C3C=CC(=C5)Cl)C,-2.07
CC1=C(C(=CC=C1)NC2=CC=CC=C2C(=O)NCCCCCCCCNC3=C4CCCCC4=NC5=C3C=CC(=C5)Cl)C,-1.03
C1CCC2=NC3=C(C=CC(=C3)Cl)C(=C2C1)NCCCCCCCCCCN,2.1
CC1=C(C(=CC=C1)NC2=CC=CC=C2C(=O)NCCC(=O)NCCCCNC3=C4CCCCC4=NC5=C3C=CC(=C5)Cl)C,0.14
CC1=C(C(=CC=C1)NC2=CC=CC=C2C(=O)NCCCC(=O)NCCCCNC3=C4CCCCC4=NC5=C3C=CC(=C5)Cl)C,0.25
CC1=C(C(=CC=C1)NC2=CC=CC=C2C(=O)NCCC(=O)NCCCCCCNC3=C4CCCCC4=NC5=C3C=CC(=C5)Cl)C,0.28
CC1=C(C(=CC=C1)NC2=CC=CC=C2C(=O)NCCCCCC(=O)NCCCCCCNC3=C4CCCCC4=NC5=C3C=CC(=C5)Cl)C,-1.36
CC1=C(C(=CC=C1)NC2=CC=CC=C2C(=O)NCCCCCCCNC3=C4CCCCC4=NC5=C3C=CC(=C5)Cl)C,-1.87
CC1=C(C(=CC=C1)NC2=CC=CC=C2C(=O)NCCC(=O)NCCCCCCCNC3=C4CCCCC4=NC5=C3C=CC(=C5)Cl)C,-0.71
CC1=C(C(=CC=C1)NC2=CC=CC=C2C(=O)NCCCCCCCCCNC3=C4CCCCC4=NC5=C3C=CC(=C5)Cl)C,-2.14
CC1=C(C(=CC=C1)NC2=CC=CC=C2C(=O)NCCCCCCNC3=C4CCCCC4=NC5=C3C=CC(=C5)Cl)C,0.05
CC1=C(C(=CC=C1)NC2=CC=CC=C2C(=O)NCCCC(=O)NCCCCCCNC3=C4CCCCC4=NC5=C3C=CC(=C5)Cl)C,-0.76
CC1=C(C(=CC=C1)NC2=CC=CC=C2C(=O)NCCCCCCCCCCCCNC3=C4CCCCC4=NC5=C3C=CC(=C5)Cl)C,-3.89
C1CCC2=NC3=C(C=CC(=C3)Cl)C(=C2C1)NCCCCN,3.36
C1CCC2=NC3=C(C=CC(=C3)Cl)C(=C2C1)NCCCCCN,1.75
C1CCC2=NC3=C(C=CC(=C3)Cl)C(=C2C1)NCCCCCCCN,2.63
CCCCCNC1=C2CCCCC2=NC3=C1C=CC(=C3)Cl,1.57
CCCCCCCCCCNC1=C2CCCCC2=NC3=C1C=CC(=C3)Cl,-1.48
C1CCC2=NC3=C(C=CC(=C3)Cl)C(=C2C1)NCCCCCO,1.25
