Effect on histamine H3 receptors in vitro, on synaptosomes of rat cerebral cortex for the release of [3H]histamine
C1=CC(=CC=C1CN=C(N)SCCCC2=CN=CN2)Cl,6.09
C#CC1=CC=C(C=C1)OCCCC2=CN=CN2,5.44
C1=CC(=CC=C1C#N)OCCCC2=CN=CN2,5.97
CCOC(=O)CCCC(=O)C1=CC=C(C=C1)OCCCC2=CN=CN2.C(=CC(=O)O)C(=O)O,4.23
CCCCCCC(=O)C1=CC=C(C=C1)OCCCC2=CN=CN2.C(=CC(=O)O)C(=O)O,3.85
CCCCCC(=O)C1=CC=C(C=C1)OCCCC2=CN=CN2.C(=CC(=O)O)C(=O)O,4.76
CC(=O)C1=C(C=C(C=C1)OCCCC2=CN=CN2)F.C(=CC(=O)O)C(=O)O,6.95
C1=CC=C(C=C1)CC(=O)C2=CC=C(C=C2)OCCCC3=CN=CN3.C(=O)(C(=O)O)O,4.72
C1CCC(C1)C(=O)C2=CC=C(C=C2)OCCCC3=CN=CN3.C(=CC(=O)O)C(=O)O,4.66
CC(=O)C=CC1=CC=C(C=C1)OCCCC2=CN=CN2.C(=CC(=O)O)C(=O)O,5.43
CC(=O)CCC1=CC=C(C=C1)OCCCC2=CN=CN2.C(=CC(=O)O)C(=O)O,4.75
CC(=O)CC1=CC=C(C=C1)OCCCC2=CN=CN2.C(=CC(=O)O)C(=O)O,5.45
C1CN(CC2=C1NC3=C2C=C(C=C3)F)CCCC(=O)C4=CC=C(C=C4)OCCCC5=CN=CN5.C(=CC(=O)O)C(=O)O,1.84
C1=CC(=CC=C1C=CC=O)OCCCC2=CN=CN2.C(=CC(=O)O)C(=O)O,5.3
CS(=O)(=O)C1=CC=C(C=C1)OCCCC2=CN=CN2.C(=CC(=O)O)C(=O)O,5.81
CC(=O)C1=CC=C(C=C1)OCCCC2=CN=CN2.C(=CC(=O)O)C(=O)O,7.29
C1=CC(=CC=C1C=O)OCCCC2=CN=CN2.C(=CC(=O)O)C(=O)O,6.09
C1=CC=C(C=C1)OCCCC2=CN=CN2.C(=O)(C(=O)O)O,5.19
C1=CC(=CC=C1CO)OCCCC2=CN=CN2.C(=CC(=O)O)C(=O)O,6.59
COC1=CC=C(C=C1)OCCCC2=CN=CN2.C(=CC(=O)O)C(=O)O,6.61
C1=CC(=CC=C1O)OCCCC2=CN=CN2.C(=CC(=O)O)C(=O)O,5.91
CCC(=O)C1=CC=C(C=C1)OCCCC2=CN=CN2.C(=CC(=O)O)C(=O)O,6.65
CCCCC(=O)C1=CC=C(C=C1)OCCCC2=CN=CN2.C(=CC(=O)O)C(=O)O,5.2
C1CCC2=C(C1)C=CC(=C2)OCCCC3=CN=CN3.C(=O)(C(=O)O)O,3.77
C1CC2=C(C=CC(=C2)OCCCC3=CN=CN3)C(=O)C1.C(=CC(=O)O)C(=O)O,5.3
CCC(=O)C1=C(C=C(C=C1)OCCCC2=CN=CN2)F.C(=CC(=O)O)C(=O)O,4.56
C1CC2=C(C1)C=C(C=C2)OCCCC3=CN=CN3.C(=O)(C(=O)O)O,4.29
C1CC(C1)C(=O)C2=CC=C(C=C2)OCCCC3=CN=CN3.C(=CC(=O)O)C(=O)O,6.03
CC1=C(C=CC(=C1)C(=O)C)OCCCC2=CN=CN2.C(=CC(=O)O)C(=O)O,6.03
CC(=O)C1=C(C=C(C=C1)OCCCC2=CN=CN2)OC.C(=CC(=O)O)C(=O)O,4.7
CC(=O)C1=C(C=C(C=C1)OCCCC2=CN=CN2)C(F)(F)F.C(=O)(C(=O)O)O,5.02
CC1=CC(=CC(=C1C(=O)C)C)OCCCC2=CN=CN2.C(=CC(=O)O)C(=O)O,4.27
CC1=C(C=CC(=C1)OCCCC2=CN=CN2)C(=O)C.C(=CC(=O)O)C(=O)O,6.63
CCCC(=O)C1=CC=C(C=C1)OCCCC2=CN=CN2.C(=CC(=O)O)C(=O)O,5.79
CC(C)(C)CC(=O)C1=CC=C(C=C1)OCCCC2=CN=CN2.C(=CC(=O)O)C(=O)O,4.18
CC(C)C(=O)C1=CC=C(C=C1)OCCCC2=CN=CN2.C(=CC(=O)O)C(=O)O,5.38
C1CCC(CC1)NC(=S)N2CCC(CC2)C3=CN=CN3,5.18
C1=CC(=CC=C1C(=O)CCCC(=O)O)OCCCC2=CN=CN2.Cl,5.2
C1CC1C(=O)C2=CC=C(C=C2)OCCCC3=CN=CN3.C(=CC(=O)O)C(=O)O,6.74
