Inhibition of Lactobacillus casei thymidylate synthase using N5,N10-methylene tetrahydrofolate by chromogenic assay
C1=CC=C2C(=C1)C(=O)OC2(C3=CC=C(C=C3)O)C4=CC=C(C=C4)O,1.32
C1=CC2=C3C(=C1)C(=O)OC(C3=CC=C2)(C4=CC(=C(C=C4)O)Cl)C5=CC(=C(C=C5)O)Cl,-0.09
CC1=CC=CC2=C1C(=O)N(C2=O)C3=CC(=NC=C3)Cl,1.99
CC1=CC=CC2=C1C(=O)N(C2=O)C3=CC=C(C=C3)C(=O)C,2.55
CC1=CC=CC2=C1C(=O)N(C2=O)C3=CC(=C(C=C3)C(=O)O)O,2.54
CC1=CC=CC2=C1C(=O)N(C2=O)C3=C(C=CC(=C3)C4=CC=CC=C4)O,1.32
CC1=CC=CC2=C1C(=O)N(C2=O)C3=CC=C(C=C3)C#N,1.86
CN1C(=O)C2=C(C1=O)C(=CC=C2)CBr,2.41
CC1=CC=CC2=C1C(=O)N(C2=O)C3=CC(=CC(=C3)C(=O)O)C(=O)O,2.52
CC1=CC=CC2=C1C(=O)N(C2=O)C3=CC=C(C=C3)C(=O)NCC(=O)O,3.91
CC1=CC=CC2=C1C(=O)N(C2=O)C3=CC=CC(=C3)C(=O)O,1.6
CN1C(=O)C2=C(C1=O)C(=CC=C2)CNCCCOC,4.06
CN1C(=O)C2=C(C1=O)C(=CC=C2)CNCCC3=CC=CS3,3.55
CN1C(=O)C2=C(C1=O)C(=CC=C2)CNC3=CC=C(C=C3)S(=O)(=O)O,2.89
CC1=CC=CC2=C1C(=O)N(C2=O)C3=CC=C(C=C3)N4C=CN=C4,1.88
CC1=CC=CC2=C1C(=O)N(C2=O)C3=CC(=CC=C3)O,1.35
CCOC(=O)C1=CC=C(C=C1)NCC2=CC=CC3=C2C(=O)N(C3=O)C,1.79
CN1C(=O)C2=C(C1=O)C(=CC=C2)CNC3=CC=C(C=C3)C(=O)C4=CC=CC=C4,1.19
CN1C(=O)C2=C(C1=O)C(=CC=C2)CNC3=CC=C(C=C3)C#N,2.16
CN1C(=O)C2=C(C1=O)C(=CC=C2)CNC3=CC(=CC=C3)S(=O)(=O)N,3.46
CN1C(=O)C2=C(C1=O)C(=CC=C2)CNC3=CC=C(C4=CC=CC=C43)[N+](=O)[O-],1.94
CC1=CC=CC2=C1C(=O)N(C2=O)C3=CC=C(C=C3)C(=N)N.Cl,3.07
CC1=CC=CC2=C1C(=O)N(C2=O)CCC3=CC=CS3,1.44
CC1=CC=CC2=C1C(=O)N(C2=O)C3=CC(=C(C=C3)N4C(=O)C5=C(C4=O)C=C(C=C5)Cl)C,-0.24
CN1C(=O)C2=C(C1=O)C(=CC=C2)CNCCP(=O)(O)O,5.89
CC1=CC=CC2=C1C(=O)N(C2=O)C3=CC=C(C=C3)C(F)(F)F,0.98
CC1=CC=CC2=C1C(=O)N(C2=O)C3=NC=CS3,3.6
CC1=CC=CC2=C1C(=O)N(C2=O)C3=CC=CC4=C3C=CN4,1.38
CN1C(=O)C2=C(C1=O)C(=CC=C2)CNC3=NC=C(C=C3)C(=O)O,3.3
