Inhibition of aldose reductase (aldo-keto reductase, AKR1B1) isolated from human placenta.
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=C(C=C(C=C3)Br)F)CC(=O)O,4.29
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=C(S3)C=CC(=C4)C(F)(F)F)CC(=O)O,4.86
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=C(S3)N=CC=C4)CC(=O)O,6.24
COC1=CC(=C2C(=C1)N=C(S2)CN3C(=O)C4=CC=CC=C4C(=N3)CC(=O)O)OC,3.47
COC1=C2C(=CC=C1)SC(=N2)CN3C(=O)C4=CC=CC=C4C(=N3)CC(=O)O,4.31
C1=CC=C2C(=C1)N=C(S2)CN3C(=O)C4=CC(=C(C=C4C(=N3)CC(=O)O)Cl)Cl,3.96
COC1=CC2=C(C=C1)SC(=N2)CN3C(=O)C4=CC=CC=C4C(=N3)CC(=O)O,3.95
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=CC(=CC(=C4S3)C(F)(F)F)C(F)(F)F)CC(=O)O,1.25
COC1=CC2=C(C=C1)C(=O)N(N=C2CC(=O)O)CC3=NC4=CC=CC=C4S3,4.86
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=C(S3)C(=CC(=C4)C(F)(F)F)Cl)CC(=O)O,2.71
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=C(S3)C(=CC(=C4)C(F)(F)F)F)CC(=O)O,3.91
COC1=CC2=C(C=C1)C(=NN(C2=O)CC3=NC4=CC=CC=C4S3)CC(=O)O,4.9
CC1=CC2=C(C=C1)C(=O)N(N=C2CC(=O)O)CC3=NC4=CC=CC=C4S3,4.37
CC1=CC=CC2=C1C(=O)N(N=C2CC(=O)O)CC3=NC4=CC=CC=C4S3,3.18
CC1=CC=CC2=C1C(=O)N(N=C2CC(=O)O)CC3=NC4=C(S3)C=CC5=CC=CC=C54,3.27
C1=CC=C2C(=C1)C=CC3=C2N=C(S3)CN4C(=O)C5=C(C=C(C=C5)Cl)C(=N4)CC(=O)O,2.24
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=C(S3)C=CC(=C4Cl)Cl)CC(=O)O,2.96
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=C(C=CC(=C4S3)F)F)CC(=O)O,5.18
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=C(C=C(C=C4S3)Cl)Cl)CC(=O)O,2.73
C1C2(C3=C(N1CC4=CC=C(C=C4)F)C=CC(=C3)F)C(=O)NC(=O)N2,4.35
C1C2(C3=C(N1CC4=NC5=CC=CC=C5S4)C=CC(=C3)Cl)C(=O)NC(=O)N2,4.4
CC1=CC2=C(C=C1)N=C(S2)CN3C(=O)C4=CC=CC=C4C(=N3)CC(=O)O,3.29
C1=CC=C2C(=C1)C(=NN(C2=O)CC3=NC4=C(S3)C=C(C=C4)Br)CC(=O)O,4.13
