Inhibition of human cytomegalovirus DNA polymerase (95 uL) activity in a solution containing 6.4 mM HEPES (pH 7.5), incubation for 12 minutes at 26 degrees C
C(=O)(O)P(=O)(O)O,5.98
CC12CCC(C(C1CCC3C24CCC(C(C3)C4)(CO)O)(C)CO)O,4.87
CC1=CN(C(=O)NC1=O)C2CC(C(O2)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)N=[N+]=[N-],5.24
C1=CC(=CC=C1CNC(=O)C2=CN(C3=C(C2=O)C=C(S3)C#CCO)CCO)Cl,3.45
CCN(CC)CCN1C=C(C(=O)C2=C1SC(=C2)C#CCO)C(=O)NCC3=CC=C(C=C3)Cl,1.86
C1=CC(=CC=C1CNC(=O)C2=CNC3=C(C2=O)C=C(S3)CCCO)Cl,2.66
CN1C=C(C(=O)C2=C1SC(=C2)CCCO)C(=O)NCC3=CC=C(C=C3)Cl,3.59
CCN1C=C(C(=O)C2=C1SC(=C2)CCCO)C(=O)NCC3=CC=C(C=C3)Cl,3.01
CC(C)N1C=C(C(=O)C2=C1SC(=C2)CCCO)C(=O)NCC3=CC=C(C=C3)Cl,2.08
C1=CC(=CC=C1CNC(=O)C2=CN(C3=C(C2=O)C=C(S3)CCCO)CCO)Cl,3.85
CCN(CC)CCN1C=C(C(=O)C2=C1SC(=C2)CCCO)C(=O)NCC3=CC=C(C=C3)Cl,2.44
CN1C=C(C(=O)C2=C1SC(=C2)CO)C(=O)NCC3=CC=C(C=C3)Cl,2.49
CN1C=C(C(=O)C2=C1SC(=C2)CCO)C(=O)NCC3=CC=C(C=C3)Cl,2.91
CN1C=C(C(=O)C2=C1SC(=C2)CCCCO)C(=O)NCC3=CC=C(C=C3)Cl,3.1
CN1C=C(C(=O)C2=C1SC(=C2)CCCCCO)C(=O)NCC3=CC=C(C=C3)Cl,1.29
CN1C=C(C(=O)C2=C1SC(=C2)C#CCCO)C(=O)NCC3=CC=C(C=C3)Cl,1.65
CN1C=C(C(=O)C2=C1SC(=C2)C#CCCCO)C(=O)NCC3=CC=C(C=C3)Cl,0.84
CN1C=C(C(=O)C2=C1SC(=C2)CN3CCOCC3)C(=O)NCC4=CC=C(C=C4)Cl,3.35
C1=CC(=CC=C1CNC(=O)C2=CNC3=C(C2=O)C=C(C=C3)CCCO)Cl,3
CN1C=C(C(=O)C2=C1C=CC(=C2)CN3CCOCC3)C(=O)NCC4=CC=C(C=C4)Cl,3.41
C1=CC(=CC=C1CNC(=O)C2=CNC3=C(C2=O)C=C(S3)C#CCO)Cl,2.34
CN1C=C(C(=O)C2=C1SC(=C2)C#CCO)C(=O)NCC3=CC=C(C=C3)Cl,2.95
CCN1C=C(C(=O)C2=C1SC(=C2)C#CCO)C(=O)NCC3=CC=C(C=C3)Cl,2.34
CC(C)N1C=C(C(=O)C2=C1SC(=C2)C#CCO)C(=O)NCC3=CC=C(C=C3)Cl,1.61
