Inhibition of human CYP11B1 expressed in hamster V79MZh cells using [1,2-3H]-11-deoxycorticosterone as substrate
CC(C)(C1=CN=CC=C1)C(=O)C2=CN=CC=C2,5.97
C1=CC=C(C=C1)C2=NC=C(C=C2)CN3C=CN=C3,4.67
C1=CC(=NC=C1CN2C=CN=C2)C3=CSC=C3,4.78
C1=CC=C2C(=C1)C=CC=C2C3=NC=C(C=C3)CN4C=CN=C4,3.96
CC(C)C(C1=CN=C(C=C1)C2=CC=CC=C2)N3C=CN=C3,4.4
C1=CC=C(C=C1)C2=NC=C(C=C2)CC3=CC(=CN=C3)C(F)(F)F,3.03
COC1=CN=CC(=C1)CC2=CN=C(C=C2)C3=CC=CC=C3,4.87
C1=CC=C(C=C1)C2=NC=C(C=C2)OC3=CN=CC=C3,2.95
CC1=C(C=NC=C1)CC2=CN=C(C=C2)C3=CC=CC=C3,4.16
CCC(C1=CN=C(C=C1)C2=CC=CC=C2)N3C=CN=C3,4.35
C1=CC=C(C=C1)C2=NC=C(C=C2)C(C3=CC=CO3)N4C=CN=C4,3.96
C1CC1C(C2=CN=C(C=C2)C3=CC=CC4=CC=CC=C43)N5C=CN=C5,2.76
C1=CC=C(C=C1)C2=NC=C(C=N2)CN3C=CN=C3,4.6
C1=CC=C(C=C1)C2=NC=C(C=C2)CC3=CC(=CN=C3)O,4.08
C1=CC=C(C=C1)C2=NC=C(C=C2)C(C3=CC=CC=C3)N4C=CN=C4,2.99
CC(C1=CN=C(C=C1)C2=CC=CC3=CC=CC=C32)N4C=CN=C4,3.63
C1=CC=C(C=C1)C2=NC=C(C=C2)CC3=CN=CC=C3,4.04
C1=CC=C(C=C1)C2=NC=C(C=C2)CC3=CN=CN=C3,3.8
CC1=CC(=CN=C1)CC2=CN=C(C=C2)C3=CC=CC=C3,4.76
CC(C1=CN=C(C=C1)C2=CSC=C2)N3C=CN=C3,5.34
C1=CC=C(C=C1)C2=NN=C(C=C2)CN3C=CN=C3,3.72
C1=CC=C(C=C1)C2=CN=C(C=N2)CN3C=CN=C3,4.84
CC(C1=CN=C(C=C1)C2=CC=CC=C2)N3C=CN=C3,4.8
C1CC1C(C2=CN=C(C=C2)C3=CC=CC=C3)N4C=CN=C4,4.53
C1CC1C(C2=CN=C(C=C2)C3=CSC=C3)N4C=CN=C4,5.15
C1=CC=C(C=C1)C2=NC=C(C3=CC=CC=C32)CN4C=CN=C4,3.85
C1=CC=C(C=C1)C2=NC=C(C=C2)CC3=CN=CC(=C3)C(=O)N,3.92
C1=CC=C(C=C1)C2=NC=C(C=C2)CC3=CC(=CN=C3)F,3.24
C1=CC=C(C=C1)C2=NC=C(C=C2)CC3=CN=CC(=C3)C4=CC=CC=C4,3.92
C1=CC=C(C=C1)C2=NC=C(C=C2)CC3=CC=NC=C3,3.56
C1=CC=C(C=C1)C2=NC=C(C=C2)CC3=CN=CC4=CC=CC=C43,3.86
