Inhibitory effect against recombinant human protein-tyrosine phosphatase 1B (PTP1B), using p-nitrophenyl phosphate substrate at pH 5.5.
COC1=C(C=C(C=C1)C2=CC(=C(S2)C(=O)O)NC(=O)C(=O)O)OC,2.51
C1=CC(=CC(=C1)N)C2=CC(=C(S2)C(=O)O)NC(=O)C(=O)O,3.84
C1CCC2=C(CC1)SC(=C2C(=O)O)NC(=O)C(=O)O,2.94
C1CCC2=C(C1)C(=C(S2)NC(=O)C(=O)O)C(=O)O,3.56
C1CC2=C(C1)SC(=C2C(=O)O)NC(=O)C(=O)O,3.85
COC1=CC(=CC(=C1)C2=CC(=C(S2)C(=O)O)NC(=O)C(=O)O)OC,3.01
C1=CC=C(C=C1)OC2=CC=C(C=C2)C3=CC(=C(S3)C(=O)O)NC(=O)C(=O)O,0.91
C1=CC(=CC=C1C2=CC(=C(S2)C(=O)O)NC(=O)C(=O)O)O,3.47
COC1=CC=C(C=C1)C2=CC(=C(S2)C(=O)O)NC(=O)C(=O)O,2.95
C1=CC=C(C=C1)COC2=CC=C(C=C2)C3=CC(=C(S3)C(=O)O)NC(=O)C(=O)O,1.11
C1CC2=C(CC1O)SC(=C2C(=O)O)NC(=O)C(=O)O,5.28
C1CC2=C(CC1=O)SC(=C2C(=O)O)NC(=O)C(=O)O,5.37
C1CN(CC2=C1C(=C(S2)NC(=O)C(=O)O)C(=O)O)CCC3=CC=CC=C3,7.33
C1CN(CC2=C1C(=C(S2)NC(=O)C(=O)O)C(=O)O)CC3=NC4=CC=CC=C4C=C3,6.42
C1CN(CC2=C1C(=C(S2)NC(=O)C(=O)O)C(=O)O)CC3=CC=NC=C3,8.19
C1CN(CC2=C1C(=C(S2)NC(=O)C(=O)O)C(=O)O)CC3=CC=CC=C3,7.08
CN1CCC2=C(C1)SC(=C2C(=O)O)NC(=O)C(=O)O,8.67
C1COCC2=C1C(=C(S2)NC(=O)C(=O)O)C(=O)O,4.75
C1CN(CC2=C1C(=C(S2)NC(=O)C(=O)O)C(=O)O)CC3=CN=CC=C3,8.28
C1CNCC2=C1C(=C(S2)NC(=O)C(=O)O)C(=O)O,9.41
C1CC2=C(CC1C3OCCO3)SC(=C2C(=O)O)NC(=O)C(=O)O,4.87
C1CS(=O)(=O)CC2=C1C(=C(S2)NC(=O)C(=O)O)C(=O)O,5.38
C1CS(=O)CC2=C1C(=C(S2)NC(=O)C(=O)O)C(=O)O,5.56
C1CSCC2=C1C(=C(S2)NC(=O)C(=O)O)C(=O)O,4.24
C1=CC=C(C(=C1)C(=O)O)NC(=O)C(=O)O,4.28
C1=CC(=CC=C1C2=CC(=C(S2)C(=O)O)NC(=O)C(=O)O)Cl,2.22
C1=CC(=CC=C1C2=CC(=C(S2)C(=O)O)NC(=O)C(=O)O)F,2.78
COC1=CC=CC(=C1)C2=CC(=C(S2)C(=O)O)NC(=O)C(=O)O,2.82
C1=CNC2=CC(=C(C=C21)C(=O)O)NC(=O)C(=O)O,4.45
CC(C)CC1=CC=C(C=C1)C2=CC(=C(S2)C(=O)O)NC(=O)C(=O)O,1.12
C1=CC(=CC(=C1)[N+](=O)[O-])C2=CC(=C(S2)C(=O)O)NC(=O)C(=O)O,3.32
C1=CC=C(C=C1)C2=CC(=C(C=C2)NC(=O)C(=O)O)C(=O)O,2.98
C1CN(CC2=C1C(=C(S2)NC(=O)C(=O)O)C(=O)O)CC3=CC=CC=N3,8.02
C1=CC(=CC=C1C2=CC(=C(S2)C(=O)O)NC(=O)C(=O)O)OCC(=O)O,4.02
COC1=CC=CC(=C1)CN2CCC3=C(C2)SC(=C3C(=O)O)NC(=O)C(=O)O,7.25
C1=CSC=C1C2=CC(=C(S2)C(=O)O)NC(=O)C(=O)O,3.18
C1=CC=C(C=C1)C2=CC(=C(S2)C(=O)O)NC(=O)C(=O)O,2.77
C1=CC(=C(C2=C1C=CN2)C(=O)O)NC(=O)C(=O)O,4.09
C1=CSC(=C1NC(=O)C(=O)O)C(=O)O,4.12
