Inhibition of c-Met (unknown origin) using poly (Glu, Tyr) 4:1 as substrate after 60 mins by ELISA
CC(C1=C(C=CC(=C1Cl)F)Cl)OC2=C(N=CC(=C2)C3=CN(N=C3)C4CCNCC4)N,5.27
CC(C1=C(C=CC(=C1Cl)F)Cl)NC(=O)C2=C(N=CC(=C2)C3=CN(N=C3)C)N,3.21
CC(C1=C(C=CC(=C1Cl)F)Cl)NC(=O)C2=C(N=CC(=C2)C3=CN(N=C3)C4CCOCC4)N,3.82
CC(C1=C(C=CC(=C1Cl)F)Cl)NC(=O)C2=C(N=CC(=C2)C3=CN(N=C3)C4CCNCC4)N,3.57
CC(C1=C(C=CC(=C1Cl)F)Cl)SC2=C(N=CC(=C2)C3=CC=C(C=C3)C(=O)N4CCC(CC4)N5CCCC5)N,1.65
CC(C1=C(C=CC(=C1Cl)F)Cl)SC2=C(N=CC(=C2)C3=CC(=C(C=C3)C(=O)N(C)C)F)N,1.06
CC(C1=C(C=CC(=C1Cl)F)Cl)SC2=C(N=CC(=C2)C3=CN=C(C=C3)N4CCN(CC4)C)N,2.04
CC(C1=C(C=CC(=C1Cl)F)Cl)SC2=C(N=CC(=C2)C3=CC=C(C=C3)OCC(=O)N4CCOCC4)N,2.34
CC(C1=C(C=CC(=C1Cl)F)Cl)SC2=C(N=CC(=C2)C3=CN(N=C3)C4CCNCC4)N,2.52
CC(C1=C(C=CC(=C1Cl)F)Cl)SC2=C(N=CC(=C2)C3=CN=CN=C3)N,2.57
CC(C1=C(C=CC(=C1Cl)F)Cl)SC2=C(N=CC(=C2)C3=CC=C(C=C3)C(=O)N4CCN(CC4)S(=O)(=O)C)N,2.66
CC(C1=C(C=CC(=C1Cl)F)Cl)SC2=C(N=CC(=C2)C3=CN(N=C3)C(=O)N(C)C)N,1.98
CC(C1=C(C=CC(=C1Cl)F)Cl)SC2=C(N=CC(=C2)C3=CC(=C(C=C3)C(=O)N4CCN(CC4)C)F)N,1.59
CC(C1=C(C=CC(=C1Cl)F)Cl)SC2=C(N=CC(=C2)C3=CN(N=C3)C4CCNCC4)N,3.54
CC(C1=C(C=CC(=C1Cl)F)Cl)SC2=C(N=CC(=C2)C3=CN(N=C3)C4CCOCC4)N,3.15
CC(C1=C(C=CC(=C1Cl)F)Cl)SC2=C(N=CC(=C2)C3=CN(N=C3)CCO)N,3.07
CC(C1=C(C=CC(=C1Cl)F)Cl)SC2=C(N=CC(=C2)C3=CN(N=C3)C4CCN(CC4)C(=O)N(C)C)N,2.39
CC(C1=C(C=CC(=C1Cl)F)Cl)SC2=C(N=CC(=C2)C3=CC=C(C=C3)C(=O)N4CCOCC4)N,2.21
CCN(CC)CCNC(=O)C1=CC=C(C=C1)C2=CC(=C(N=C2)N)SC(C)C3=C(C=CC(=C3Cl)F)Cl,0.93
CC(C1=C(C=CC(=C1Cl)F)Cl)SC2=C(N=CC(=C2)C3=CN(N=C3)C4CCNCC4)N,3.86
CC(C1=C(C=CC(=C1Cl)F)Cl)SC2=C(N=CC(=C2)C3=CN(N=C3)CC(=O)N(C)C)N,3.41
CC(C1=C(C=CC(=C1Cl)F)Cl)SC2=C(N=CC(=C2)C3=CC4=C(C=C3)NC(=O)C4)N,1.87
CC(C1=C(C=CC(=C1Cl)F)Cl)SC2=C(N=CC(=C2)C3=CC=C(C=C3)C(=O)N4CCN(CC4)CCO)N,2.23
CC(C1=C(C=CC(=C1Cl)F)Cl)SC2=C(N=CC(=C2)C3=CC(=C(C=C3)C(=O)N4CCC(CC4)N5CCCC5)F)N,0.54
CC(C1=C(C=CC(=C1Cl)F)Cl)SC2=C(N=CC(=C2)C3=CN(N=C3)C4CCN(CC4)S(=O)(=O)C)N,3.39
CC(C1=C(C=CC(=C1Cl)F)Cl)SC2=C(N=CC(=C2)C3=CN=C(C=C3)N4CCOCC4)N,1.91
CC(C1=C(C=CC(=C1Cl)F)Cl)SC2=C(N=CC(=C2)C3=CC(=C(C=C3)C(=O)N4CCOCC4)F)N,1.68
CC(C1=C(C=CC(=C1Cl)F)Cl)SC2=C(N=CC(=C2)C3=CN(N=C3)C)N,2.31
CC(C1=C(C=CC(=C1Cl)F)Cl)SC2=C(N=CC(=C2)C3=CC=C(C=C3)C(=O)N(C)C)N,1.91
CC(C)N1CCN(CC1)C(=O)C2=CC=C(C=C2)C3=CC(=C(N=C3)N)SC(C)C4=C(C=CC(=C4Cl)F)Cl,0.49
CC(C1=C(C=CC(=C1Cl)F)Cl)SC2=C(N=CC(=C2)C3=CN(N=C3)C4CCN(CC4)C(=O)CO)N,4.04
CC(C1=C(C=CC(=C1Cl)F)Cl)SC2=C(N=CC(=C2)C3=CC=C(C=C3)C(=O)N4CCN(CC4)C)N,2.19
