Displacement of 3-[4-({2',6'-dimethyl-6-[(4-[3H])-phenylmethoxy]biphenyl-3-yl}methoxy)phenyl]propanoic acid from human GPR40 expressed in CHO cells after 90 mins by liquid scintillation counting in the presence of 0.2% BSA
CC1=CC(=CC(=C1C2=CC(=CC=C2)COC3=CC4=C(C=C3)C(CO4)CC(=O)O)C)OCC5(COC5)C,2.12
CC1=CC(=CC(=C1C2=CC(=CC=C2)COC3=CC4=C(C=C3)C(CO4)CC(=O)O)C)OC5CCS(=O)(=O)CC5,2.08
CC1=CC(=CC(=C1C2=CC(=CC=C2)COC3=CC4=C(C=C3)C(CO4)CC(=O)O)C)OCCCS(=O)(=O)C.O,2.33
CCOCCOC1=CC(=C(C(=C1)C)C2=CC(=CC=C2)COC3=CC4=C(C=C3)C(CO4)CC(=O)O)C,1.99
CCC1=CC(=CC(=C1C2=CC(=CC=C2)COC3=CC4=C(C=C3)C(CO4)CC(=O)O)CC)OCCCS(=O)(=O)C,1.96
CC1=CC(=CC(=C1C2=CC(=CC=C2)COC3=CC4=C(C=C3)C(CO4)CC(=O)O)C)OC5CCS(=O)(=O)CC5,2.44
CC1=CC(=CC(=C1C2=CC(=CC=C2)COC3=CC4=C(C=C3)C(CO4)CC(=O)O)C)OCC5(CCS(=O)(=O)CC5)O,3.31
CC1=CC(=CC(=C1C2=CC(=CC=C2)COC3=CC4=C(C=C3)C(CO4)CC(=O)O)C)OCC5=C(N=C(S5)C)C,1.83
CC1=C(C(=C(C(=C1C2=CC(=CC=C2)COC3=CC4=C(C=C3)C(CO4)CC(=O)O)C)C)OCCCS(=O)(=O)C)C,1.42
CC1=C(C(=C(C(=C1Cl)OCCCS(=O)(=O)C)Cl)C)C2=CC(=CC=C2)COC3=CC4=C(C=C3)C(CO4)CC(=O)O,1.5
CC1=CC(=CC(=C1C2=CC(=CC=C2)COC3=CC4=C(C=C3)C(CO4)CC(=O)O)C)OC5CCS(=O)(=O)CC5,1.52
CC1=CC(=CC(=C1C2=CC(=CC=C2)COC3=CC4=C(C=C3)C(CO4)CC(=O)O)C)OCC5=CC=CC6=NC=CN65,1.85
CC1=CC(=CC(=C1C2=CC(=CC=C2)COC3=CC4=C(C=C3)C(CO4)CC(=O)O)C)OCC5(COC5)C,2.2
CC1=CC(=CC(=C1C2=CC(=CC=C2)COC3=CC4=C(C=C3)C(CO4)CC(=O)O)C)OCC5(COC5)C,1.09
CCS(=O)(=O)CCOC1=CC(=C(C(=C1)C)C2=CC(=CC=C2)COC3=CC4=C(C=C3)C(CO4)CC(=O)O)C,2.06
CC1=CC(=CC(=C1C2=CC(=CC=C2)COC3=CC4=C(C=C3)C(CO4)CC(=O)O)C)OCCCN5CCCC5=O,2.37
CC1=C(C(=C(C(=C1C2=CC(=CC=C2)COC3=CC4=C(C=C3)C(CO4)CC(=O)O)C)C)OC5CCS(=O)(=O)CC5)C,1.43
CC1=CC(=C(C(=C1C2=CC(=CC=C2)COC3=CC4=C(C=C3)C(CO4)CC(=O)O)C)F)OC5CCS(=O)(=O)CC5,2.31
CC1=CC(=C(C(=C1C2=CC(=CC=C2)COC3=CC4=C(C=C3)C(CO4)CC(=O)O)C)F)OCCCS(=O)(=O)C,2.45
CCOCCOC1=CC(=C(C(=C1)C)C2=CC(=CC=C2)COC3=CC4=C(C=C3)C(CO4)CC(=O)O)C,1.84
CCOCCOC1=CC(=C(C(=C1)C)C2=CC(=CC=C2)COC3=CC4=C(C=C3)C(CO4)CC(=O)O)C,0.9
CC1=CC(=CC(=C1C2=CC(=CC=C2)COC3=CC4=C(C=C3)C(CO4)CC(=O)O)C)OC5CCN(CC5)C.Cl,5.56
CC1=CC(=C(C(=C1C2=CC(=CC=C2)COC3=CC4=C(C=C3)C(CO4)CC(=O)O)C)Cl)OCCCS(=O)(=O)C,1.97
