Inhibition of human CYP11B2 expressed in hamster V79MZh11B2 cells using [1,2-3H]-11-deoxycorticosterone substrate incubated for 25 mins by HPLC method
CC(C)(C1=CN=CC=C1)C(=O)C2=CN=CC=C2,5.29
C1=CC=C(C=C1)OC2=CC3=C(C=C2)C(=CC(=O)O3)CN4C=CN=C4,2.56
C1=CC=C(C=C1)COC2=CC3=C(C=C2)C(=CC(=O)O3)CN4C=CN=C4,3.44
C1=CC(=CC(=C1)Cl)COC2=CC3=C(C=C2)C(=CC(=O)O3)CN4C=CN=C4,3.23
C1=CC(=CC(=C1)[N+](=O)[O-])COC2=CC3=C(C=C2)C(=CC(=O)O3)CN4C=CN=C4,4
C1=CC(=CC=C1COC2=CC3=C(C=C2)C(=CC(=O)O3)CN4C=CN=C4)OC(F)(F)F,1.38
COC1=CC=C(C=C1)COC2=CC3=C(C=C2)C(=CC(=O)O3)CN4C=CN=C4,3.82
C1=CC(=CC=C1COC2=CC3=C(C=C2)C(=CC(=O)O3)CN4C=CN=C4)Cl,2.93
CC1=CC(=CC=C1)COC2=CC3=C(C=C2)C(=CC(=O)O3)CN4C=CN=C4,3.01
C1=CC(=C(C=C1COC2=CC3=C(C=C2)C(=CC(=O)O3)CN4C=CN=C4)F)F,3.49
C1=CC(=CC(=C1)OC(F)(F)F)COC2=CC3=C(C=C2)C(=CC(=O)O3)CN4C=CN=C4,1.68
C1=CC(=CC(=C1)C(F)(F)F)COC2=CC3=C(C=C2)C(=CC(=O)O3)CN4C=CN=C4,2.77
C1=CC(=CC(=C1)F)COC2=CC3=C(C=C2)C(=CC(=O)O3)CN4C=CN=C4,3.39
C1=CC2=C(C=C1OCC3=CC(=CC(=C3)F)F)OC(=O)C=C2CN4C=CN=C4,3.19
COC1=CC=CC(=C1)COC2=CC3=C(C=C2)C(=CC(=O)O3)CN4C=CN=C4,3.81
C1=CC(=CC=C1COC2=CC3=C(C=C2)C(=CC(=O)O3)CN4C=CN=C4)[N+](=O)[O-],4.07
CCCOC1=CC=C(C=C1)COC2=CC3=C(C=C2)C(=CC(=O)O3)CN4C=CN=C4,3.15
CC(C)OC1=CC=C(C=C1)COC2=CC3=C(C=C2)C(=CC(=O)O3)CN4C=CN=C4,3.28
C1=CC=C(C=C1)CCOC2=CC3=C(C=C2)C(=CC(=O)O3)CN4C=CN=C4,2.63
COC1=C(C=C(C=C1)COC2=CC3=C(C=C2)C(=CC(=O)O3)CN4C=CN=C4)OC,4.02
COC1=CC(=CC(=C1OC)OC)COC2=CC3=C(C=C2)C(=CC(=O)O3)CN4C=CN=C4,3.78
C1=CC=C(C=C1)COC2=CC=C(C=C2)C(=O)CN3C=CN=C3,3.48
C1=CC(=CC(=C1)OC(F)(F)F)COC2=CC=C(C=C2)C(=O)CN3C=CN=C3,1.43
C1=CC(=CC(=C1)[N+](=O)[O-])COC2=CC=C(C=C2)C(=O)CN3C=CN=C3,4.08
C1=CC(=CC(=C1)COC2=CC=C(C=C2)C(=O)CN3C=CN=C3)C#N,4.02
C1=CC(=CC=C1COC2=CC=C(C=C2)C(=O)CN3C=CN=C3)OC(F)(F)F,1.3
C1=CC(=CN=C1)COC2=CC=C(C=C2)C(=O)CN3C=CN=C3,4.25
