Inhibition of ALK using FL-Peptide 13, 5-FAM-KKSRGDYMTMQIG-CONH2 substrate after 60 mins by mobility shift assay
CC1=CC(=C(N1)C=C2C3=CC=CC=C3NC2=O)C,2.99
CCC1=NC(=C(N1)C)C=C2C3=CC=CC=C3NC2=O,3.74
COC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=C(C=C3)O)OC,2.42
CN(C)S(=O)(=O)C1=CC2=C(C=C1)NC(=O)C2=CC3=CC4=C(N3)CCCC4,3.45
CCOC(=O)C1=CC=C(C=C1)NC2=NC3=NC=CN=C3C(=N2)NC4=CC=C(C=C4)Cl,0.72
CC1=CC(=C(N1)C=C2C3=CC=CC=C3NC2=O)C4=CC=C(C=C4)N,3.4
CC1=CC(=C(N1)C=C2C3=CC=CC=C3NC2=O)C4=CC(=CC=C4)NCCN,4.29
C1=CC=C2C(=C1)C(=NC(=C3C=CC=CC3=O)N2)NC4=CC=C(C=C4)O,0.76
C1=CC(=CC=C1NC2=NC=NC3=C2C=C(C=C3)Br)O,1.57
C1=CC(=CC=C1NC2=NC=NC3=C2C=C(C=C3)[N+](=O)[O-])O,1.93
CC1=CC=C(C=C1)NC2=NC(=O)C(=C3C4=CC=CC=C4NC3=O)S2,2.25
CC1CN(CC(O1)C)CC2=C(NC3=C2C=CC=N3)C4=CC=CS4,1.58
CC1=CC(=C(N1)C=C2C3=CC=CC=C3NC2=O)C4=CC(=CC=C4)N,4.18
CC1=CC(=C(N1)C=C2C3=C(C=CC(=C3)N)NC2=O)C4=CC(=CC=C4)N,5
CC1=CC(=C(N1)C=C2C3=C(C=CC(=C3)N)NC2=O)C4=CC=C(C=C4)N,4.88
C1=CC=C(C=C1)C2=C(C=NN2)C=C3C4=CC=CC=C4NC3=O,2.64
CC1=CC2=NC(=C(N2C=C1)NC=C3C=C(C=CC3=O)Cl)C4=CC(=C(C=C4)O)OC,0.32
CC1=C(NC(=C1C2=CC(=CC=C2)NCCN)C)C=C3C4=CC=CC=C4NC3=O,2.97
CC1=C(NC(=C1C2=CC=C(C=C2)NCCN)C)C=C3C4=CC=CC=C4NC3=O,3.13
C1=CC=C2C(=C1)C(=NC(=C3C=CC=CC3=O)N2)NC4=CC=C(C=C4)Cl,-0.33
CC1=C(NC(=C1C(=O)O)C)C=C2C3=C(C=CC(=C3)F)NC2=O,3.46
CC1=CC(=C(N1)C=C2C3=CC=CC=C3NC2=O)C4=CC=C(C=C4)NCCN,4.07
