Inhibition of recombinant Flt3 using poly(Glu,Tyr) as substrate after 2 hrs by luminescence assay
C1CCN(C1)CCOC2=C3CN(CC=CCCOC4=CC=CC(=C4)C5=NC(=NC=C5)NC(=C3)C=C2)CC(F)(F)F,0.64
CN1CC=CCCOC2=CC=CC(=C2)C3=NC(=NC=C3)NC4=CC(=C(C=C4)OCCOC)C1,3.01
C1COC2=CC=CC(=C2)C3=NC(=NC=C3)NC4=CC=CC(=C4)CN(CC=C1)CC5CC5,1.02
CN1CC=CCCOC2=CC=CC(=C2)C3=NC(=NC=C3)NC4=CC=CC(=C4)C1,2.52
CN1CC=CCCOC2=CC=CC(=C2)C3=NC(=NC=C3)NC4=CC(=CC(=C4)C1)NC(=O)N5CCOCC5,3.69
CCS(=O)(=O)CCOC1=C2CN(CC=CCCOC3=CC=CC(=C3)C4=NC(=NC=C4)NC(=C2)C=C1)C,2.37
COCCN1CC=CCCOC2=CC=CC(=C2)C3=NC(=NC=C3)NC4=CC=CC(=C4)C1,1.71
C1COC2=CC=CC(=C2)C3=NC(=NC=C3)NC4=CC=CC(=C4)CN(CC=C1)CCO,2.27
CN1CC=CCCOC2=CC=CC(=C2)C3=NC(=NC=C3)NC4=CC(=C(C=C4)OC(F)(F)F)C1,-0.05
CN1CC=CCCOC2=C(C=CC(=C2)C3=NC(=NC=C3)NC4=CC=CC(=C4)C1)OC,1.79
CN1CC=CCCOC2=CC=CC(=C2)C3=NC(=NC=C3)NC4=CC(=C(C(=C4)C1)OCCN5CCCC5)OC,1.71
CN1CC=CCCOC2=CC=CC(=C2)C3=NC(=NC=C3)NC4=CC(=CC(=C4)C1)NC(=O)C(F)(F)F,2.7
CN1CC=CCCOC2=CC=CC(=C2)C3=NC(=NC=C3)NC4=CC(=C(C=C4)OCCN5CCCC5)C1,2.14
CN1CC=CCCOC2=CC=CC(=C2)C3=NC(=NC=C3)NC4=CC(=C(C=C4)OC)C1,2.46
C1CC(=O)NC2=CC=CC(=C2)NC3=NC=CC(=N3)C4=CC(=CC=C4)OCC=C1,1.96
CCS(=O)(=O)C1=C2CN(CC=CCCOC3=CC=CC(=C3)C4=NC(=NC=C4)NC(=C2)C=C1)C,1.75
CC(C)NCC(=O)N1CC=CCCOC2=CC=CC(=C2)C3=NC(=NC=C3)NC4=CC=CC(=C4)C1,2.66
CN1CC=CCOCC2=CC=CC(=C2)C3=NC(=NC=C3)NC4=CC=CC(=C4)C1,2.45
CN1CC=CCCOC2=CC=CC(=C2)C3=NC(=NC=C3)NC4=CC(=C(C=C4)N5CCOCC5)C1,2.57
C1COC2=CC=CC(=C2)C3=NC(=NC=C3)NC4=CC=CC(=C4)CN(CC=C1)C5CC5,2.16
CN1CC=CCCOC2=CC(=CC(=C2)C3=NC(=NC=C3)NC4=CC=CC(=C4)C1)F,2.58
CN1CC=CCCOC2=CC=CC(=C2)C3=NC(=NC=C3)NC4=CC(=CC(=C4)C1)N,3.73
C1CCN(C1)CCOC2=C3CN(CC=CCCOC4=CC=CC(=C4)C5=NC(=NC=C5)NC(=C3)C=C2)CC#N,2.49
CN1CCN(CC1)CCOC2=C3CN(CC=CCCOC4=CC=CC(=C4)C5=NC(=NC=C5)NC(=C3)C=C2)C,1.79
CN1CC=CCCOC2=CC=CC(=C2)C3=NC(=NC=C3)NC4=CC(=C(C=C4)OCCN5CCCCC5)C1,1.58
CN1CC=CCCOC2=CC=CC(=C2)C3=NC(=NC=C3)NC4=CC(=C(C=C4)Cl)C1,1.71
C1COC2=CC=CC(=C2)C3=NC(=NC=C3)NC4=CC=CC(=C4)CNCC=C1,2.76
CC(C)CN1CC=CCCOC2=CC=CC(=C2)C3=NC(=NC=C3)NC4=CC=CC(=C4)C1,0.79
CC1=CN=C2NC3=CC=CC(=C3)CN(CC=CCCOC4=CC=CC(=C4)C1=N2)C,2.44
CCS(=O)(=O)CNC1=CC2=CC(=C1)NC3=NC=CC(=N3)C4=CC(=CC=C4)OCCC=CCN(C2)C,2.38
CN1CC=CCCOC2=CC=CC(=C2)C3=NC(=NC=C3)NC4=CC(=C(C=C4)OCC(=O)N5CCCC5)C1,2.38
C1COC2=CC=CC(=C2)C3=NC(=NC=C3)NC4=CC=CC(=C4)CN(CC=C1)CC5=CC=CC=N5,0.46
CN1CC=CCC(=O)NC2=CC=CC(=C2)C3=NC(=NC=C3)NC4=CC=CC(=C4)C1,1.89
CC1=NC2=NC(=C1)C3=CC(=CC=C3)OCCC=CCN(CC4=CC(=CC=C4)N2)C,0.75
CCN(CC)CCOC1=C2CN(CC=CCCOC3=CC=CC(=C3)C4=NC(=NC=C4)NC(=C2)C=C1)C,1.97
CN1CC=CCCOC2=CC=CC(=C2)C3=NC(=NC=C3)NC4=CC(=C(C=C4)OCCN5CCOCC5)C1,2.86
C1COC2=CC=CC(=C2)C3=NC(=NC=C3)NC4=CC(=CC=C4)NCC=C1,1.07
CN1CC=CCOCC2=CC(=CC=C2)NC3=NC=CC(=N3)C4=CC(=CC=C4)C1,2.28
