Inhibition of N-terminal ploy-His-tagged human PI3Kalpha expressed in baculovirus-infected sf9 cells using PI(4,5)P2 as substrate after 15 mins by HTRF assay
CN1C2=CC=CC=C2N=C1CC3=NC(=O)C=C(N3)N4CCOCC4,3.48
CC1=CN2C(=O)C=C(N=C2C(=C1)C(C)NC3=CC=CC=C3)N4CCOCC4,2.63
C1CN(C2=C1C=C(C=C2)F)C(=O)CC3=NC(=O)C=C(N3)N4CCOCC4,5.23
C1CN(C2=CC=CC(=C21)C3=CN=CC=C3)C(=O)CC4=NC(=O)C=C(N4)N5CCOCC5,5.14
CN1CCN(CC1)C2=CC=CC3=C2CCN3C(=O)CC4=NC(=O)C=C(N4)N5CCOCC5,4.97
CN1CCN(CC1)CC2=C3CCN(C3=CC=C2)C(=O)CC4=NC(=O)C=C(N4)N5CCOCC5,5.21
CC1(CN(C2=CC=CC=C21)C(=O)CC3=NC(=O)C=C(N3)N4CCOCC4)C,3.74
C1CN(C2=C1C=C(C=C2)Cl)C(=O)CC3=NC(=O)C=C(N3)N4CCOCC4,4.09
C1CN(C2=C1C(=CC=C2)OC(F)(F)F)C(=O)CC3=NC(=O)C=C(N3)N4CCOCC4,2.95
CC1CC2=CC=CC=C2N1C(=O)CC3=NC(=O)C=C(N3)N4CCOCC4,4.93
C1CN(C2=C1C(=CC=C2)F)C(=O)CC3=NC(=O)C=C(N3)N4CCOCC4,4.47
C1CN(C2=CC=CC(=C21)C(F)(F)F)C(=O)CC3=NC(=O)C=C(N3)N4CCOCC4,4.53
C1CN(C2=CC=CC(=C21)C3=CC=CC=C3)C(=O)CC4=NC(=O)C=C(N4)N5CCOCC5,4.21
CC1CC2=CC=CC=C2N1C(=O)CC3=NC(=O)C=C(N3)N4CCOCC4,5.18
CC1CC2=CC=CC=C2N1C(=O)CC3=NC(=O)C=C(N3)N4CCOCC4,4.5
C1CN(C2=C1C(=CC=C2)Cl)C(=O)CC3=NC(=O)C=C(N3)N4CCOCC4,5.47
CN1C(=O)C=C(N=C1CC(=O)N2CCC3=CC=CC=C32)N4CCOCC4,4.22
C1CN(C2=C1C(=CC=C2)Br)C(=O)CC3=NC(=O)C=C(N3)N4CCOCC4,5.39
CC1(CC2=CC=CC=C2N1C(=O)CC3=NC(=O)C=C(N3)N4CCOCC4)C,3.48
CC1=C2CCN(C2=CC=C1)C(=O)CC3=NC(=O)C=C(N3)N4CCOCC4,5.44
COC1=CC=CC2=C1CCN2C(=O)CC3=NC(=O)C=C(N3)N4CCOCC4,4.7
C1CN(C2=CC=CC(=C21)C3=CC=CC=N3)C(=O)CC4=NC(=O)C=C(N4)N5CCOCC5,3.89
C1CN(C2=CC=CC(=C21)C3=CC=NC=C3)C(=O)CC4=NC(=O)C=C(N4)N5CCOCC5,4.7
C1CN(C2=CC=CC=C21)C(=O)CC3=NC(=O)C=C(N3)N4CCOCC4,5.41
CC1CN(C2=CC=CC=C12)C(=O)CC3=NC(=O)C=C(N3)N4CCOCC4,4.39
