Inhibitory activity against human cloned carbonic anhydrase isozyme I (hCA I, cytosolic form).
C1=CC(=CC=C1CCN)S(=O)(=O)N,4.72
C1=C(C(=CC(=C1Cl)S(=O)(=O)N)S(=O)(=O)N)N,5.92
C1=CC(=CC=C1CCO)S(=O)(=O)N,4.49
C1=CC(=CC=C1CO)S(=O)(=O)N,4.69
C1=CC=C(C(=C1)N)S(=O)(=O)N,4.55
CN1C(=N)SC(=N1)S(=O)(=O)N,4.99
C1(=NN=C(S1)S(=O)(=O)N)N,6.27
C1=CC(=CC(=C1)S(=O)(=O)N)N,4.81
C1=CC(=C(C=C1S(=O)(=O)N)I)N,4.85
C1=CC(=C(C=C1S(=O)(=O)N)Br)N,4.65
C1=CC(=C(C=C1S(=O)(=O)N)F)N,5.09
C1=CC(=CC=C1CN)S(=O)(=O)N,4.96
C1=CC(=C(C=C1S(=O)(=O)N)Cl)N,4.56
C1=CC(=CC=C1NN)S(=O)(=O)N,4.3
C1=CC(=CC=C1N)S(=O)(=O)N,4.76
C1=C(C(=C(C(=C1S(=O)(=O)N)Cl)Cl)N)S(=O)(=O)N,5.39
C1=CC2=C(C=C1OCCO)SC(=N2)S(=O)(=O)N,6.7
C1=CC(=NC(=C1)C(=O)O)C(=O)NC2=NN=C(S2)S(=O)(=O)N,7.77
C1=CC(=NC(=C1)C(=O)O)C(=O)NC2=CC(=C(C=C2S(=O)(=O)N)S(=O)(=O)N)Cl,6.4
C1=CC(=NC(=C1)C(=O)O)C(=O)NC2=C(C(=C(C=C2S(=O)(=O)N)S(=O)(=O)N)Cl)Cl,5.66
C1=CC2=C(C(=O)N(C2=O)C3=C(C=C(C=C3)S(=O)(=O)N)Cl)N=C1,5.12
C1=CC2=C(C(=O)N(C2=O)C3=C(C=C(C=C3)S(=O)(=O)N)F)N=C1,5.64
C1=CC2=C(C(=O)N(C2=O)CCC3=CC=C(C=C3)S(=O)(=O)N)N=C1,5.32
CCN(C1CC(S(=O)(=O)C2=C1C=C(S2)S(=O)(=O)N)C)C(=O)C3=NC(=CC=C3)C(=O)O,5.46
C1=CC(=NC(=C1)C(=O)O)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)N,5.28
C1=CC(=NC(=C1)C(=O)O)C(=O)NCC2=CC=C(C=C2)S(=O)(=O)N,5.41
C1=CC2=C(C(=O)N(C2=O)CC3=CC=C(C=C3)S(=O)(=O)N)N=C1,5.55
C1=CC(=NC(=C1)C(=O)O)C(=O)NOCCC2=CC=C(C=C2)S(=O)(=O)N,4.87
C1=CC(=NC(=C1)C(=O)O)C(=O)NOCC2=CC=C(C=C2)S(=O)(=O)N,5.18
C1=CC2=C(C(=O)N(C2=O)NC3=CC=C(C=C3)S(=O)(=O)N)N=C1,4.23
C1=CC2=C(C(=O)N(C2=O)C3=C(C=C(C=C3)S(=O)(=O)N)Br)N=C1,5.05
C1=CC=C(C(=C1)N2C(=O)C3=C(C2=O)N=CC=C3)S(=O)(=O)N,4.26
C1=CC(=CC(=C1)S(=O)(=O)N)NC(=O)C2=NC(=CC=C2)C(=O)O,4.07
C1=CC2=C(C(=O)N(C2=O)C3=C(C=C(C=C3)S(=O)(=O)N)I)N=C1,5.21
C1=CC(=NC(=C1)C(=O)O)C(=O)NC2=CC=C(C=C2)S(=O)(=O)N,4.16
CN1C(=NC(=O)C2=NC(=CC=C2)C(=O)O)SC(=N1)S(=O)(=O)N,6.43
C1=CC(=NC(=C1)C(=O)O)C(=O)NC2=CC3=C(C=C2)N=C(S3)S(=O)(=O)N,6.46
C1=CC(=NC(=C1)C(=O)O)C(=O)NCCC(=O)NC2=NN=C(S2)S(=O)(=O)N,8.74
C1=CC(=NC(=C1)C(=O)O)C(=O)NNC2=CC=C(C=C2)S(=O)(=O)N,4.01
C1=CC(=NC(=C1)C(=O)O)C(=O)NOCCOC2=CC3=C(C=C2)N=C(S3)S(=O)(=O)N,6.64
C1=CC(=NC(=C1)C(=O)O)C(=O)NOC2=CC3=C(C=C2)N=C(S3)S(=O)(=O)N,6.49
C1=CC(=NC(=C1)C(=O)O)C(=O)NC2=C(C=C(C=C2)S(=O)(=O)N)I,4.99
C1=CC(=NC(=C1)C(=O)O)C(=O)NC2=C(C=C(C=C2)S(=O)(=O)N)Br,4.84
C1=CC(=NC(=C1)C(=O)O)C(=O)NC2=C(C=C(C=C2)S(=O)(=O)N)F,5.43
CCNC1CC(S(=O)(=O)C2=C1C=C(S2)S(=O)(=O)N)C,4.15
