Inhibition of c-MET (unknown origin) using poly(Glu,Tyr) as substrate after 30 mins by HTRF assay
COC1=CC2=C(C=CN=C2C=C1OCCCN3CCOCC3)OC4=C(C=C(C=C4)NC(=O)C5(CC5)C(=O)NC6=CC=C(C=C6)F)F,4.52
COC1=CC2=C(C=CN=C2C=C1OCCCN3CCCCC3)OC4=C(C=C(C=C4)NC(=S)NN=CC5=C(C=C(C=C5)F)F)F,0.75
COC1=CC2=C(C=CN=C2C=C1OCCCN3CCCCC3)OC4=C(C=C(C=C4)NC(=O)NN=CC5=CC=CC=C5C(F)(F)F)F,0.8
COC1=CC2=C(C=CN=C2C=C1OCCCN3CCCC3)OC4=C(C=C(C=C4)NC(=O)NN=CC5=CC=CC=C5)F,2.32
COC1=CC2=C(C=CN=C2C=C1OCCCN3CCCCC3)OC4=C(C=C(C=C4)NC(=O)NN=CC5=C(C=C(C=C5)F)F)F,2.32
COC1=CC2=C(C=CN=C2C=C1OCCCN3CCOCC3)OC4=C(C=C(C=C4)NC(=O)NN=CC5=CC=CC=C5)F,2.85
COC1=CC2=C(C=CN=C2C=C1OCCCN3CCCCC3)OC4=C(C=C(C=C4)NC(=O)NN=CC5=CC=CC=C5)F,1.91
CC1CCN(CC1)CCCOC2=CC3=NC=CC(=C3C=C2OC)OC4=C(C=C(C=C4)NC(=O)NN=CC5=CC=C(C=C5)F)F,1.65
CC1CCN(CC1)CCCOC2=CC3=NC=CC(=C3C=C2OC)OC4=C(C=C(C=C4)NC(=O)NN=CC5=CC=CC=C5F)F,2.32
COC1=CC=CC(=C1)C=NNC(=O)NC2=CC(=C(C=C2)OC3=C4C=C(C(=CC4=NC=C3)OCCCN5CCCCC5)OC)F,1.7
COC1=CC2=C(C=CN=C2C=C1OCCCN3CCCC3)OC4=C(C=C(C=C4)NC(=O)NN=CC5=CC=C(C=C5)F)F,2.09
COC1=CC2=C(C=CN=C2C=C1OCCCN3CCCCC3)OC4=C(C=C(C=C4)NC(=O)NN=CC5=CC=CC=C5C#N)F,2.11
COC1=CC2=C(C=CN=C2C=C1OCCCN3CCCCC3)OC4=C(C=C(C=C4)NC(=O)NN=CC5=CC=C(C=C5)[N+](=O)[O-])F,1.94
COC1=CC2=C(C=CN=C2C=C1OCCCN3CCCCC3)OC4=C(C=C(C=C4)NC(=O)NN=CC5=CC=CC=C5[N+](=O)[O-])F,2.4
CC1=CC(=C(C(=C1)C)C=NNC(=O)NC2=CC(=C(C=C2)OC3=C4C=C(C(=CC4=NC=C3)OCCCN5CCCCC5)OC)F)C,-0.37
CC(C)C=NNC(=O)NC1=CC(=C(C=C1)OC2=C3C=C(C(=CC3=NC=C2)OCCCN4CCCCC4)OC)F,1.04
CC1CCN(CC1)CCCOC2=CC3=NC=CC(=C3C=C2OC)OC4=C(C=C(C=C4)NC(=O)NNCC5=C(C=C(C=C5)F)F)F,1.18
COC1=CC2=C(C=CN=C2C=C1OCCCN3CCCCC3)OC4=C(C=C(C=C4)NC(=O)NN=CC5=CC=C(C=C5)Cl)F,1.37
CC1CCN(CC1)CCCOC2=CC3=NC=CC(=C3C=C2OC)OC4=C(C=C(C=C4)NC(=O)NN=CC5=C(C=C(C=C5)F)F)F,2.56
