Inhibitory potency against human stromelysin, MMP-3
CC(C)CC(CC(=O)NO)C(=O)NC(CC1=CC=CC=C1)C(=O)NC,5.77
CNC(=O)C(CC1=CC=CC=C1)NC(=O)C(CCCCCOC2=CC=CC=C2)CC(=O)NO,4.91
CC(C)C1=CC=C(C=C1)OCCCCC(CC(=O)NO)C(=O)NC(C(=O)NC)C(C)(C)C,4.68
CC(C)(C)C(C(=O)NCCCC(=O)O)NC(=O)C(CCCCOC1=CC=CC=C1)CC(=O)NO,6.61
CC(C)(C)C1=CC=C(C=C1)OCCCCC(CC(=O)NO)C(=O)NC(C(=O)NC)C(C)(C)C,4.36
CCCC1=CC=C(C=C1)OCCCCC(CC(=O)NO)C(=O)NC(C(=O)NC)C(C)(C)C,4.52
CC1=CC=C(C=C1)OCCCCC(CC(=O)NO)C(=O)NC(C(=O)NC)C(C)(C)C,5.24
CC(C)(C)C(C(=O)NC)NC(=O)C(CCCCOC1=CC=CC=C1)CC(=O)NO,6.18
CNC(=O)C(CC1=CC=CC=C1)NC(=O)C(CCCC(=O)NCC2=CC=CC=C2)CC(=O)NO,5.62
CCCC(=O)NCCCCC(CC(=O)NO)C(=O)NC(CC1=CC=CC=C1)C(=O)NC,4.99
CNC(=O)C(CC1=CC=CC=C1)NC(=O)C(CCCCOCC2=CC=CC=C2)CC(=O)NO,5.52
CNC(=O)C(CC1=CC=CC=C1)NC(=O)C(CCCCOC2=CC=CC=C2)CC(=O)NO,5.07
CNC(=O)C(CC1=CC=CC=C1)NC(=O)C(CCCCCOCC2=CC=CC=C2)CC(=O)NO,4.96
CC(C)(C)C(C(=O)NC)NC(=O)C(CCCCOC1=CC=C(C=C1)OC)CC(=O)NO,5.36
CC(C)(C)C(C(=O)NC)NC(=O)C(CCCCOC1=CC(=C(C=C1)Cl)Cl)CC(=O)NO,3.84
CC(C)(C)C(C(=O)NC)NC(=O)C(CCCCOC1=CC=CC(=C1)OC)CC(=O)NO,5.16
CC(C)(C)C(C(=O)NC)NC(=O)C(CCCCOC1=CC(=CC=C1)Cl)CC(=O)NO,4.24
CC(C)(C)C(C(=O)NC)NC(=O)C(CCCCOC1=CC=C(C=C1)F)CC(=O)NO,5.17
CC(C)(C)C(C(=O)NC)NC(=O)C(CCCCOC1=CC=C(C=C1)Cl)CC(=O)NO,5.34
CCCCCC1=CC=C(C=C1)OCCCCC(CC(=O)NO)C(=O)NC(C(=O)NC)C(C)(C)C,3.5
CC(C)(C)C(C(=O)NCCC(=O)O)NC(=O)C(CCCCOC1=CC=CC=C1)CC(=O)NO,6.75
CC(C)(C)C(C(=O)NCCC1=CC=CC=N1)NC(=O)C(CCCCOC2=CC=C(C=C2)Cl)CC(=O)NO,4.62
CC(C)(C)C(C(=O)NCCC1=CC=CC=C1)NC(=O)C(CCCCOC2=CC=C(C=C2)Cl)CC(=O)NO,3.69
CC(C)(C)C(C(=O)NCCN1CCCC1)NC(=O)C(CCCCOC2=CC=C(C=C2)Cl)CC(=O)NO,4.99
CNC(=O)C(CC1=CC=CC=C1)NC(=O)C(CCCC(=O)NCCC2=CC=CC=C2)CC(=O)NO,6.48
CNC(=O)C(CC1=CC=CC=C1)NC(=O)C(CCCCO)CC(=O)NO,5.35
CNC(=O)C(CC1=CC=CC=C1)NC(=O)C(CCCCCO)CC(=O)NO,5.6
CCCNC(=O)CCCC(CC(=O)NO)C(=O)NC(CC1=CC=CC=C1)C(=O)NC,5.73
CC1=CC(=CC=C1)OCCCCC(CC(=O)NO)C(=O)NC(C(=O)NC)C(C)(C)C,4.74
CNC(=O)C(CC1=CC=CC=C1)NC(=O)C(CCCOCC2=CC=CC=C2)CC(=O)NO,5.52
