Inhibition of dopamine uptake into rat striatal tissue, using [3H]- dopamine as the radioligand.
CN(C)CC1C2CCC(C1C3=CC(=C(C=C3)Cl)Cl)CC2,2.28
C1CC2CC1C(C2C3=CC=CC=C3)CN,3.56
C1CC2CC1C(C2C3=CC(=CC=C3)Cl)CN,2.94
CN(C)CC1C2CCC(C1C3=CC=C(C=C3)OC)CC2,1.93
COC1=CC=CC=C1C2C3CCC(C3)C2CN,1.96
C1CC2CC1C(C2C3=CC(=C(C=C3)Cl)Cl)CN,3.2
C1CC2CC1C(C2C3=CC=C(C=C3)Cl)CN,3.47
COC1=CC=C(C=C1)C2C3CCC(C3)C2CN,2.78
COC1=CC=CC(=C1)C2C3CCC(C3)C2CN,2.7
C1CC2CCC1C(C2C3=CC(=C(C=C3)Cl)Cl)CN,3.18
C1CC2CCC1C(C2C3=CC=C(C=C3)Cl)CN,3.55
C1CC2CCC1C(C2C3=CC(=CC=C3)Cl)CN,2.4
C1CC2CCC1C(C2C3=CC=CC=C3)CN,2.27
CN(C)CC1C2CCC(C2)C1C3=CC=CC=C3,1.89
CN(C)CC1C2CCC(C1C3=CC(=CC=C3)Cl)CC2,1.96
C1CC2CCC1C(C2C3=CC=C(C=C3)N)CN,3.94
CN(C)CC1C2CCC(C1C3=CC=CC=C3)CC2,2.16
COC1=CC=C(C=C1)C2C3CCC(C2CN)CC3,2.88
CN1C2CCC1C(C(C2)OC(=O)C3=CC=CC=C3)C(=O)OC,4.27
CN1C2CCC1C(C(C2)C3=CC=C(C=C3)F)C(=O)OC,4.5
