Inhibition of the DNA repair Poly (ADP-ribose) polymerase 1, in permeabilised L1210 murine leukemia cells
C1=CC(=CC(=C1)N)C(=O)N,4.63
CC1=CC=CC2=C1CCNC2=O,4.76
CC1=CC=CC2=C1NC(=C3C=CC(=O)C=C3)NC2=O,3.11
C1=CC2=C(C(=C1)O)NC(=C3C=CC(=O)C=C3)NC2=O,3.72
C1=CC2=C(C(=C1)O)NC(=NC2=O)C3=CC=C(C=C3)N,3.96
C1=CC(=CC(=C1)O)C(=O)N,4.51
CC1=NC(=O)C2=C(N1)C(=CC=C2)O,5.81
CC1=CC=CC2=C1NC(=NC2=O)C3=CC=CC=C3,2.27
COC1=CC=CC2=C1NC(=NC2=O)C3=CC=C(C=C3)[N+](=O)[O-],2.89
CC1=CC=CC2=C1NC(=NC2=O)C3=CC=C(C=C3)[N+](=O)[O-],3.2
COC1=CC=CC2=C1NC(=NC2=O)C3=CC=CC=C3,2.09
C1=CC=C2C(=C1)C=CNC2=O,2.92
C1=CC=C(C=C1)C2=NC(=O)C3=C(N2)C(=CC=C3)O,2.91
C1=CC2=C(C(=C1)O)NC(=NC2=O)C3=CC=C(C=C3)[N+](=O)[O-],3.68
CC1=CC=CC2=C1NC(=NC2=O)C3=CC=C(C=C3)C(=O)OC,1.67
CC1=CC=CC2=C1NC(=NC2=O)C3=CC=C(C=C3)N,3.32
COC1=CC=C(C=C1)C2=NC(=O)C3=C(N2)C(=CC=C3)OC,2.43
CC1=CC=CC2=C1NC(=NC2=O)C3=CC=C(C=C3)OC,2.94
CC1=CC=CC2=C1NC(=NC2=O)C3=CC=C(C=C3)C#N,2.9
COC1=CC=CC2=C1NC(=NC2=O)C3=CC=C(C=C3)C(F)(F)F,0.18
COC1=CC=CC2=C1NC(=NC2=O)C3=CC=C(C=C3)C#N,2.7
COC1=CC=CC2=C1NC(=NC2=O)C3=CC=C(C=C3)N=[N+]=[N-],1.73
CC1=NC(=O)C2=C(N1)C(=CC=C2)OC,4.49
CC1=CC=CC2=C1NC(=NC2=O)C,4.28
