Displacement of 3-[4-({2',6'-dimethyl-6-[(4-[3H])phenylmethoxy]biphenyl-3-yl}methoxy)phenyl] propanoic acid from human GPR40 receptor expressed in CHO cell membrane after 90 mins by liquid scintillation counting in the presence of 0.2% BSA
CC1=C(C(=CC=C1)C)C2=CC(=CC=C2)COC3=CC(=C(C=C3)CCC(=O)O)F,1.28
CC1=C(C(=CC=C1)C)C2=CC(=CC=C2)COC3=CC=C(C=C3)CCC(=O)O,1.33
CC1=CC(=CC(=C1C2=CC(=CC=C2)CNC3=CC(=C(C=C3)CCC(=O)O)F)C)OC4CCS(=O)(=O)CC4,2.15
CCOCCOC1=CC(=C(C(=C1)C)C2=CC(=CC=C2)CNC3=CC(=C(C=C3)CCC(=O)O)F)C.Cl,1.5
CCOCCOC1=CC(=C(C(=C1)C)C2=CC(=CC=C2)COC3=CC=C(C=C3)CCC(=O)O)C,1.43
CCS(=O)(=O)CCOC1=CC(=C(C(=C1)C)C2=CC(=CC=C2)CNC3=CC(=C(C=C3)CCC(=O)O)F)C,1.73
CC1=C(C(=CC=C1)C)C2=CC(=CC(=C2)OC)COC3=CC(=C(C=C3)CCC(=O)O)F,0.8
CC1=C(C(=CC=C1)C)C2=C(C=CC(=C2)COC3=CC=C(C=C3)CCC(=O)O)OC,1.34
CCS(=O)(=O)CCOC1=CC(=C(C(=C1)C)C2=CC(=CC=C2)COC3=CC(=C(C=C3)CCC(=O)O)F)C,1.68
CC1=CC(=CC(=C1C2=CC(=CC=C2)CNC3=CC(=C(C=C3)CCC(=O)O)F)C)OCC4(CCS(=O)(=O)CC4)O,2.81
CC1=CC(=CC(=C1C2=CC(=CC=C2)COC3=CC=C(C=C3)CCC(=O)O)C)OC,1.61
CC1=CC(=CC(=C1C2=CC(=CC=C2)COC3=CC=C(C=C3)CCC(=O)O)C)OCC4=CC=CC=C4,0.24
CCOCCOC1=CC(=C(C(=C1)C)C2=CC(=CC=C2)COC3=CC(=C(C=C3)CCC(=O)O)F)C,1.5
CC1=CC(=CC(=C1C2=CC(=CC=C2)COC3=CC(=C(C=C3)CCC(=O)O)F)C)OC4CCOCC4,1.66
CC1=NC(=CC=C1)OC2=CC(=C(C(=C2)C)C3=CC(=CC=C3)COC4=CC(=C(C=C4)CCC(=O)O)F)C.Cl,0.47
CC1=CC(=CC(=C1C2=CC(=CC=C2)COC3=CC(=C(C=C3)CCC(=O)O)F)C)OCCCN4CCCC4=O,1.77
CC1=CC(=CC(=C1C2=CC(=CC=C2)COC3=CC(=C(C=C3)CCC(=O)O)F)C)OCC4(CCS(=O)(=O)CC4)O,2.64
CC1=C(C(=CC=C1)C)C2=C(C(=CC=C2)COC3=CC=C(C=C3)CCC(=O)O)C,0.75
CC1=CC(=CC(=C1C2=CC(=CC=C2)COC3=CC=C(C=C3)CCC(=O)O)C)OCC4CC4,0.99
CC1=CC(=CC(=C1C2=CC(=CC=C2)COC3=CC(=C(C=C3)CCC(=O)O)F)C)OC4CCS(=O)(=O)CC4,2.03
CC1=C(C(=CC=C1)C)C2=CC(=C(C=C2)OC)COC3=CC=C(C=C3)CCC(=O)O,0.29
