Displacement of [125I][Phe13,Tyr19]-MCH from rat MCHR1 by scintillation counting analysis
CC(C)(COC1=C(C=C(C=C1)N2C=NC3=C(C2=O)SC(=C3)C4=CC=C(C=C4)Cl)OC)O,3.17
COC1=C(C=C(C=C1)N2C=NN3C=C(C=C3C2=O)C4=CC=C(C=C4)Cl)OC,3.78
COC1=C(C=C(C=C1)N2C=NN3C(=CC(=N3)C4=CC=C(C=C4)Cl)C2=O)OC,2.87
COC1=C(C=C(C=C1)N2C=NN3C=C(N=C3C2=O)C4=CC=C(C=C4)Cl)OC,3.4
COC1=C(C=CC(=C1)N2C=NN3C=C(C=C3C2=O)C4=CC=C(C=C4)Cl)OCCN5CCCC5,4.48
COC1=C(C=CC(=C1)N2C=NN3C(=CC(=N3)C4=CC=C(C=C4)Cl)C2=O)OCCN5CCCC5,4.6
COC1=C(C=CC(=C1)N2C=NN3C=C(N=C3C2=O)C4=CC=C(C=C4)Cl)OCCN5CCCC5,4.33
COC1=C(C=CC(=C1)N2C=NN3C=C(C=C3C2=O)C4=CC=C(C=C4)Cl)OCC(C5CC5)O,3.92
COC1=C(C=CC(=C1)N2C=NN3C(=CC(=N3)C4=CC=C(C=C4)Cl)C2=O)OCC(C5CC5)O,3.48
COC1=C(C=CC(=C1)N2C=NN3C=C(N=C3C2=O)C4=CC=C(C=C4)Cl)OCC(C5CC5)O,3.77
CNC1CCN(C1)C2=NC=C(C=C2)N3C=NN4C=C(C=C4C3=O)C5=CC=C(C=C5)Cl,6.1
C1C(CN1C2=NC=C(C=C2)N3C=NN4C=C(C=C4C3=O)C5=CC=C(C=C5)Cl)O,4.64
C1CN(CC1O)C2=NC=C(C=C2)N3C=NN4C=C(C=C4C3=O)C5=CC=C(C=C5)Cl,4.98
C1CN(CC1O)C2=NC=C(C=C2)N3C=NN4C=C(C=C4C3=O)C5=NC=C(C=C5)Cl,4.72
C1CN(CC1N2CC(C2)O)C3=NC=C(C=C3)N4C=NN5C=C(C=C5C4=O)C6=CC=C(C=C6)Cl,5.59
C1CN(CCC1O)C2=NC=C(C=C2)N3C=NN4C=C(C=C4C3=O)C5=CC=C(C=C5)Cl,4.4
CC(C)(COC1=C(C=C(C=C1)N2C=NN3C=C(C=C3C2=O)C4=CC=C(C=C4)Cl)OC)O,4.37
COC1=C(C=CC(=C1)N2C=NN3C=C(C=C3C2=O)C4=CC=C(C=C4)Cl)N5CCC(C5)O,4.46
COC1=C(C=CC(=C1)N2C=NN3C=C(C=C3C2=O)C4=CC=C(C=C4)Cl)N5CC(C(C5)O)O,5.34
COC1=C(C=CC(=C1)N2C=NN3C=C(C=C3C2=O)C4=CC=C(C=C4)Cl)OCC5(CC(C5)(F)F)O,3.93
CCS(=O)(=O)CC(COC1=C(C=C(C=C1)N2C=NN3C=C(C=C3C2=O)C4=CC=C(C=C4)Cl)OC)O,5.06
COC1=C(C=CC(=C1)N2C=NN3C=C(C=C3C2=O)C4=NC=C(C=C4)Cl)OCC(C5CC5)O,4.01
COC1=C(C=CC(=C1)N2C=NN3C=C(C=C3C2=O)C4=NC=C(C=C4)Cl)OCC(C5CC5)O,4.01
COC1=C(C=CC(=C1)N2C=NN3C=C(C=C3C2=O)C4=NC=C(C=C4)Cl)N5CCC(C5)O,4.87
CCS(=O)(=O)CC(COC1=C(C=C(C=C1)N2C=NN3C=C(C=C3C2=O)C4=NC=C(C=C4)Cl)OC)O,5.02
COC1=C(C=CC(=C1)N2C=NN3C=C(C=C3C2=O)C4=NC=C(C=C4)Cl)OCC5(CC(C5)(F)F)O,4.42
CC(C)(COC1=C(C=C(C=C1)N2C=NN3C=C(C=C3C2=O)C4=NC=C(C=N4)Cl)OC)O,5.13
COC1=C(C=CC(=C1)N2C=NN3C=C(C=C3C2=O)C4=NC=C(C=N4)Cl)OCC(C5CC5)O,4.86
CCS(=O)(=O)CC(COC1=C(C=C(C=C1)N2C=NN3C=C(C=C3C2=O)C4=NC=C(C=N4)Cl)OC)O,5.56
COC1=C(C=CC(=C1)N2C=NN3C=C(C=C3C2=O)C4=NC=C(C=N4)Cl)OCC5(CC(C5)(F)F)O,5.29
CC(COC1=C(C=C(C=C1)N2C=NN3C=C(C=C3C2=O)C4=CC=C(C=C4)Cl)OC)O,4.69
