Cytotoxicity in vitro expressed as 50% reduction in cell number after a 3-day incubation, in human lung carcinoma A-549 cell line
COC1=CC2=C(C=C1)NC(=CC2=O)C3=CC=CC=C3,0.19
CN(C)CCOC1=CC(=NC2=CC=CC=C21)C3=CC=CC=C3,10
C1=CC=C(C=C1)C2=CC(=O)C3=C(N2)C=C(C=C3)O,0.81
CCOC1=CC(=NC2=CC=CC=C21)C3=CC=CC=C3,10
COC1=CC(=NC2=CC=CC=C21)C3=CC=CC=C3,10
CN1C2=CC=CC=C2C(=O)C=C1C3=CC=C(C=C3)O,10
CC1=CC2=C(C=C1)NC(=CC2=O)C3=CC=CC=C3,0.53
CN1C2=CC=CC=C2C(=O)C=C1C3=CC=CC=C3,10
C1=CC=C(C=C1)C2=CC(=O)C3=C(N2)C=C(C=C3)Cl,2.89
CS(=O)(=O)OC1=CC(=NC2=CC=CC=C21)C3=CC=CC=C3,6.21
C1=CC=C(C=C1)COC2=CC(=NC3=CC=CC=C32)C4=CC=CC=C4,10
C1=CC=C(C=C1)C2=CC(=O)C3=C(N2)C=C(C=C3)F,0.96
C1=CC=C(C=C1)C2=CC(=O)C3=C(N2)C=CC(=C3)Cl,0.51
C1=CC=C(C=C1)C2=CC(=O)C3=C(N2)C(=CC=C3)O,10
CC(C)COC1=CC(=NC2=CC=CC=C21)C3=CC=CC=C3,10
CCCCOC1=CC(=NC2=CC=CC=C21)C3=CC=CC=C3,10
CC(C)OC1=CC(=NC2=CC=CC=C21)C3=CC=CC=C3,10
C1=CC=C(C=C1)C2=CC(=O)C3=C(N2)C=CC(=C3)O,8.14
COC1=CC=CC2=C1NC(=CC2=O)C3=CC=CC=C3,6.77
C1=CC=C(C=C1)C2=CC(=O)C3=C(N2)C(=CC=C3)F,0.61
CCCOC1=CC(=NC2=CC=CC=C21)C3=CC=CC=C3,10
COC1=CC2=C(C=C1)C(=O)C=C(N2)C3=CC=CC=C3,0.73
C1=CC=C(C=C1)C2=CC(=O)C3=CC=CC=C3N2,0.5
C1=CC=C(C=C1)C2=CC(=O)C3=C(N2)C=CC(=C3)F,0.38
