Cytotoxicity in vitro expressed as 50% reduction in cell number after a 3-day incubation, in human ileocecal carcinoma HCT-8 cell line
COC1=CC2=C(C=C1)NC(=CC2=O)C3=CC=CC=C3,1
CN(C)CCOC1=CC(=NC2=CC=CC=C21)C3=CC=CC=C3,10
C1=CC=C(C=C1)C2=CC(=O)C3=C(N2)C=C(C=C3)O,10
CCOC1=CC(=NC2=CC=CC=C21)C3=CC=CC=C3,10
COC1=CC(=NC2=CC=CC=C21)C3=CC=CC=C3,10
CN1C2=CC=CC=C2C(=O)C=C1C3=CC=C(C=C3)O,5.71
CC1=CC2=C(C=C1)NC(=CC2=O)C3=CC=CC=C3,0.9
CN1C2=CC=CC=C2C(=O)C=C1C3=CC=CC=C3,10
C1=CC=C(C=C1)C2=CC(=O)C3=C(N2)C=C(C=C3)Cl,0.45
CS(=O)(=O)OC1=CC(=NC2=CC=CC=C21)C3=CC=CC=C3,5.6
C1=CC=C(C=C1)COC2=CC(=NC3=CC=CC=C32)C4=CC=CC=C4,10
C1=CC=C(C=C1)C2=CC(=O)C3=C(N2)C=C(C=C3)F,3.45
C1=CC=C(C=C1)C2=CC(=O)C3=C(N2)C=CC(=C3)Cl,0.7
C1=CC=C(C=C1)C2=CC(=O)C3=C(N2)C(=CC=C3)O,10
CC(C)COC1=CC(=NC2=CC=CC=C21)C3=CC=CC=C3,10
CCCCOC1=CC(=NC2=CC=CC=C21)C3=CC=CC=C3,10
CC(C)OC1=CC(=NC2=CC=CC=C21)C3=CC=CC=C3,10
C1=CC=C(C=C1)C2=CC(=O)C3=C(N2)C=CC(=C3)O,7.75
COC1=CC=CC2=C1NC(=CC2=O)C3=CC=CC=C3,0.55
C1=CC=C(C=C1)C2=CC(=O)C3=C(N2)C(=CC=C3)F,0.04
CCCOC1=CC(=NC2=CC=CC=C21)C3=CC=CC=C3,10
COC1=CC2=C(C=C1)C(=O)C=C(N2)C3=CC=CC=C3,4.86
C1=CC=C(C=C1)C2=CC(=O)C3=CC=CC=C3N2,0.8
C1=CC=C(C=C1)C2=CC(=O)C3=C(N2)C=CC(=C3)F,1.36
