Cytotoxicity in vitro expressed as 50% reduction in cell number after a 3-day incubation, in human epidermoid carcinoma KB cell line
COC1=CC2=C(C=C1)NC(=CC2=O)C3=CC=CC=C3,0.08
CN(C)CCOC1=CC(=NC2=CC=CC=C21)C3=CC=CC=C3,4
C1=CC=C(C=C1)C2=CC(=O)C3=C(N2)C=C(C=C3)O,0.55
CCOC1=CC(=NC2=CC=CC=C21)C3=CC=CC=C3,6.7
COC1=CC(=NC2=CC=CC=C21)C3=CC=CC=C3,10
CN1C2=CC=CC=C2C(=O)C=C1C3=CC=C(C=C3)O,10
CC1=CC2=C(C=C1)NC(=CC2=O)C3=CC=CC=C3,0.55
CN1C2=CC=CC=C2C(=O)C=C1C3=CC=CC=C3,10
C1=CC=C(C=C1)C2=CC(=O)C3=C(N2)C=C(C=C3)Cl,0.1
CS(=O)(=O)OC1=CC(=NC2=CC=CC=C21)C3=CC=CC=C3,2.8
C1=CC=C(C=C1)COC2=CC(=NC3=CC=CC=C32)C4=CC=CC=C4,1.6
C1=CC=C(C=C1)C2=CC(=O)C3=C(N2)C=C(C=C3)F,0.1
C1=CC=C(C=C1)C2=CC(=O)C3=C(N2)C=CC(=C3)Cl,0.49
C1=CC=C(C=C1)C2=CC(=O)C3=C(N2)C(=CC=C3)O,10
CC(C)COC1=CC(=NC2=CC=CC=C21)C3=CC=CC=C3,4
CCCCOC1=CC(=NC2=CC=CC=C21)C3=CC=CC=C3,3.8
CC(C)OC1=CC(=NC2=CC=CC=C21)C3=CC=CC=C3,4.2
C1=CC=C(C=C1)C2=CC(=O)C3=C(N2)C=CC(=C3)O,0.41
COC1=CC=CC2=C1NC(=CC2=O)C3=CC=CC=C3,5.05
C1=CC=C(C=C1)C2=CC(=O)C3=C(N2)C(=CC=C3)F,0.53
CCCOC1=CC(=NC2=CC=CC=C21)C3=CC=CC=C3,4.5
COC1=CC2=C(C=C1)C(=O)C=C(N2)C3=CC=CC=C3,0.53
C1=CC=C(C=C1)C2=CC(=O)C3=CC=CC=C3N2,0.09
C1=CC=C(C=C1)C2=CC(=O)C3=C(N2)C=CC(=C3)F,0.01
