n_harmonics,base_freq,magnitudes,instruments
7,1.8348933525216715,"[ 0.68152512 -2.0742712   0.59921296  0.56116489 -0.71366284  0.07740625
  0.58766788]","[<ufunc 'sin'> <ufunc 'cos'> <ufunc 'cos'> <ufunc 'sin'> <ufunc 'sin'>
 <ufunc 'sin'> <ufunc 'cos'>]"
x,y
-2.9994185474178736,0.31933605676232363
-2.997223021717063,0.29232412034139177
-2.991391562301347,0.20649911453261247
-2.9905960025944878,0.19995154938528603
-2.989375923330074,0.2300504863874565
-2.9839560460195456,0.13702500752154748
-2.9820689598608574,0.13142481258811017
-2.9788411221524256,0.09378220618017041
-2.9779070836678025,0.09964754789670796
-2.949959145496531,-0.12978211261537462
-2.9335150023107803,-0.30815872382590037
-2.9334368146163587,-0.25456585285438266
-2.922514152864604,-0.36505919315711904
-2.917082123594081,-0.42789622456706267
-2.9090409346032637,-0.494819902722094
-2.9063621435789875,-0.47498130851539944
-2.9004823465568843,-0.5283590100180008
-2.8847960059913245,-0.6375851245655847
-2.8823589785408608,-0.7161547478277319
-2.8793455609469936,-0.7200257337112593
-2.8770344207552583,-0.7325628316060373
-2.872724797628608,-0.80765603301383
-2.871143035091777,-0.7863190143641268
-2.867965369905472,-0.7908686092317359
-2.858655271006758,-0.8818929780275773
-2.853719296976206,-0.9454240006495273
-2.8511114896367165,-0.9796450847927848
-2.8423319698359446,-1.021623112320558
-2.835993544544948,-1.065851672856109
-2.8327878778388795,-1.1436238248974961
-2.8304007336972377,-1.1623418640804275
-2.824568791687243,-1.215349429117275
-2.821867008662056,-1.2494378265190702
-2.7956029044904613,-1.5804436309132397
-2.79052067094816,-1.5934223142300594
-2.7715263963692016,-1.8296788968845308
-2.771471714365474,-1.8313832425806367
-2.767805966941931,-1.8549591733050257
-2.7672442445701257,-1.8736704945119271
-2.7669403330434132,-1.8568247581868722
-2.7424141949502028,-2.093057888174443
-2.7172262069693582,-2.4812095321090086
-2.712346053830544,-2.4566004998892494
-2.7121320876777,-2.458047134963222
-2.710691071670877,-2.4781074999472223
-2.7042066086319414,-2.506703075416546
-2.7037905946284164,-2.5505006644119192
-2.702470368027064,-2.579807629497544
-2.6760607430650603,-2.8680738311497627
-2.674882104288665,-2.8556932254331824
-2.6738538093855406,-2.8084931582201205
-2.672288636397298,-2.89063801510935
-2.6655465859756426,-2.914660972493859
-2.6610487687762117,-2.8883558865908765
-2.6608830255776965,-2.91394611015579
-2.6586791311090163,-2.952448275722848
-2.6575593169670615,-2.9822757614514326
-2.6567770906593773,-2.94103750646943
-2.6541689425701036,-3.008861114411142
-2.646875525193305,-3.03032940564377
-2.6452970538976333,-3.0248977341614083
-2.644685256329894,-3.0410688624134177
-2.6152405530003584,-3.1262724615329858
-2.613122893470853,-3.1269437044705826
-2.6114641396221234,-3.1144720746629706
-2.609455480382005,-3.217515604284399
-2.608727029723644,-3.144993719806467
-2.6032608352140647,-3.1347311815750194
-2.6002374267303745,-3.1564111572231965
-2.596060473993636,-3.1599553791677377
-2.5862616324289496,-3.167450084400719
-2.5849959653685266,-3.1529527828323403
-2.578658427283534,-3.1508667933434693
-2.5735087272670767,-3.163475970162358
-2.573405157456101,-3.173972717759232
-2.5729711621972102,-3.1627881229530295
-2.5581264026829666,-3.124738038109641
-2.5519586819048596,-3.1312193395878363
-2.5509466097854725,-3.0981902096840503
-2.5443479794266612,-3.08179939930052
-2.543913465167539,-3.0330928400780635
-2.529479774616563,-3.0286095791927354
-2.527482087507571,-2.9927381131420923
-2.522262783241331,-2.977056236076617
-2.5190151405561565,-2.9838543470355297
-2.5077611161940925,-2.854715491443674
-2.503784158121854,-2.8524862678437675
-2.4990443891244074,-2.8482121091112718
-2.4865964103248137,-2.7382186150755548
-2.4794549446162417,-2.7431557280318
-2.478876297268815,-2.7336670370629412
-2.47796277201113,-2.697580504933963
