n_harmonics,base_freq,magnitudes,instruments
6,1.344303469069188,"[ 1.23486335e+00  6.17006139e-04 -1.13497831e-01 -1.28330105e-01
  1.23607443e-01  2.37806744e-01]","[<ufunc 'cos'> <ufunc 'sin'> <ufunc 'cos'> <ufunc 'sin'> <ufunc 'sin'>
 <ufunc 'sin'>]"
x,y
-2.99986025546372,-1.3718474303288655
-2.995097428015857,-1.2925728859524108
-2.9916965255502856,-1.2556098469784631
-2.9904467475247083,-1.2493216985877194
-2.982497555959288,-1.1352602373498253
-2.9822246516029596,-1.1214535616167887
-2.973633990549912,-1.0347645462931552
-2.965314361855067,-0.8986524406753247
-2.9538569142966646,-0.7942756189514515
-2.9440251072399866,-0.6802715189759386
-2.940499543222235,-0.6295552170059785
-2.913512183943904,-0.34183031458425034
-2.911163157300801,-0.32632343078863685
-2.9094184055789842,-0.30962845279462775
-2.9057481903185414,-0.27326042290490493
-2.9039907321300813,-0.2504567479464403
-2.9003120050387245,-0.19951011294646792
-2.8801205245815216,-0.02977151332409917
-2.879757548323162,-0.029085753985989678
-2.8684753325850254,0.059684173080880455
-2.86401263269011,0.07170383723723431
-2.8627990819958056,0.08755212369629814
-2.8612914026554988,0.09573174452839107
-2.858338459171983,0.13532886668000824
-2.855240293319802,0.14946717702907472
-2.8451292812671465,0.21024475612988727
-2.8404143400494046,0.23864751981428223
-2.8402100913463544,0.24087260302785934
-2.8383562681780954,0.24782050522551474
-2.837433366705539,0.2528312413739575
-2.8312326574279165,0.2758048204926326
-2.82801478420697,0.29869297693929975
-2.823360626721915,0.3164322936900985
-2.8227561177780123,0.3158744255120023
-2.8097749815357247,0.35700594188210133
-2.807318352398611,0.3859987945995375
-2.7995290190875988,0.3825076953164596
-2.789528494575629,0.4053355667191666
-2.7877956981141465,0.41343142133217586
-2.783780825276203,0.42398052247068757
-2.7784836193654074,0.4224477554425723
-2.7728603720908955,0.41842132408682675
-2.769800081840679,0.4329990427783795
-2.763477474666527,0.4143277486281585
-2.7633584707852137,0.4142917143385679
-2.7575842409558784,0.4085470641682229
-2.753352506378137,0.41198432704684695
-2.752497244951803,0.3978712096210293
-2.7438468599429875,0.3922768243542868
-2.737585958782126,0.38811881826934114
-2.733782237564635,0.3786297970632896
-2.7247456523607654,0.3458416828981087
-2.719500302038002,0.342930000696336
-2.7160570590534507,0.3091292159305473
-2.7009865653429155,0.2516769747789061
-2.694456642930321,0.20264838804046487
-2.6858697972502945,0.18487193943970806
-2.6756194393700303,0.11551487043469302
-2.6712296632035977,0.07351192481178759
-2.6594370691914047,0.021808650330622542
-2.6559949465608312,-0.014076708472360977
-2.6452207477459084,-0.08407566982359035
-2.644867290359188,-0.08411021126806838
-2.6281570034299953,-0.21898375833626502
-2.622305316476993,-0.27579516858768915
-2.6148957858226614,-0.3230839837480296
