n_harmonics,base_freq,magnitudes,instruments
7,3.1868288721414957,"[-5.23911084e-04  8.05143961e-01 -8.65480712e-02  5.72943912e-01
  1.21193658e+00  1.24525411e-01 -4.18374700e-01]","[<ufunc 'cos'> <ufunc 'sin'> <ufunc 'sin'> <ufunc 'cos'> <ufunc 'cos'>
 <ufunc 'sin'> <ufunc 'cos'>]"
x,y
-2.9876494140240593,-0.2573519633487747
-2.9857458883388643,-0.26640075712483197
-2.9682983925492117,-0.4150340737139901
-2.955540862563044,-0.5182279906458523
-2.94953992571093,-0.6055147508396634
-2.9412434791236866,-0.7099688661300361
-2.937398872534163,-0.7384842917122284
-2.923298283213156,-0.931082598797896
-2.9228525161826626,-0.9401035124945768
-2.915484442802815,-1.0364466001077317
-2.9119549878586635,-1.0835164528261247
-2.9013212642583817,-1.2220097025173573
-2.8919502744120646,-1.3450881308004863
-2.88960904991635,-1.3730790926439695
-2.8888819682739575,-1.3690020964231069
-2.887971387528874,-1.3826725853638318
-2.8853749046007637,-1.4156768277400722
-2.877840486993592,-1.4959089324061066
-2.8762081569144535,-1.499376561967496
-2.8756946048432117,-1.507468162811911
-2.8723996367939875,-1.533759086176752
-2.8668034438958596,-1.5623842257281768
-2.8644045305116324,-1.5959989812485968
-2.861360854275109,-1.5950003220811328
-2.8573701027195244,-1.609705183616827
-2.8502423200193054,-1.616367292711795
-2.85001021594608,-1.6079896252012238
-2.834408599724326,-1.5631781454079303
-2.830862156770945,-1.517175709990571
-2.8287866673491946,-1.5102439435375945
-2.825244131254615,-1.473046668862807
-2.819808109683278,-1.3881412888945368
-2.8185813396586914,-1.3613769695263518
-2.798896853790925,-0.9760247715833156
-2.7968251061821596,-0.9380951284525278
-2.7935239569183805,-0.8499780919627492
-2.7934884260304527,-0.8435590665253547
-2.7922828638738553,-0.8144320222141421
-2.791241656290885,-0.7930843355151646
-2.7891319245425534,-0.7319374589467221
-2.7889320350812747,-0.723677022008618
-2.775877991925625,-0.33315154044861844
-2.7703559007538576,-0.15038686375073906
