n_harmonics,base_freq,magnitudes,instruments
7,3.8002340901769034,"[-0.31547539 -1.0390995  -0.66507031  0.52942823 -0.41799213  1.19531925
  0.0656146 ]","[<ufunc 'cos'> <ufunc 'sin'> <ufunc 'cos'> <ufunc 'cos'> <ufunc 'cos'>
 <ufunc 'cos'> <ufunc 'cos'>]"
x,y
-2.9936679747545103,0.1353603136666367
-2.9880266318566386,0.10328806227728214
-2.9656445626564167,-0.024475837129891133
-2.960355349987241,-0.03976087826846374
-2.9521676444391227,-0.11625955170976075
-2.948932302473363,-0.1553704740660354
-2.9473978929455322,-0.1520926859833906
-2.9276194858972167,-0.38957652101305174
-2.9262086390133257,-0.4135050712311058
-2.9229289809735013,-0.47114442513540233
-2.916818855162288,-0.5628008524424293
-2.9136235985094254,-0.6162663595415867
-2.912613855491969,-0.6171861523256388
-2.910259570301534,-0.6648444098524146
-2.9048424025462327,-0.7525403321488996
-2.899375302025539,-0.8595676958736433
-2.8978575761874104,-0.8954543843840796
-2.8961191680879703,-0.9088792878299617
-2.8930586854875453,-0.9673702716289004
-2.88967257601799,-1.0228190589696875
-2.888987968035612,-1.0435028114772154
-2.8860342135565933,-1.082728682871443
-2.8834995795012492,-1.1305193825986348
-2.881772602689586,-1.1563134308482872
-2.8742960095582744,-1.2828184728828793
-2.872243256541849,-1.2998411375434926
-2.8667268545545976,-1.3639924742408427
-2.8615609994391957,-1.4401394079614636
-2.855320675743759,-1.4911636428173376
-2.8410615251777083,-1.5773058943131772
-2.8403793597511062,-1.5652791002919095
-2.834409944719403,-1.5630351295968783
-2.821528832256976,-1.5160204467360385
-2.812160016266465,-1.4347485024101154
-2.8083696405999694,-1.3741975309222825
-2.8060247809297767,-1.3423807678659792
-2.80296603204447,-1.3066147024084918
-2.8019562788882073,-1.2842872661672504
-2.778172057122876,-0.7815721569082403
-2.772874127284859,-0.6679665408739826
-2.744492853621619,0.023933881537670565
-2.7442341615417862,0.03255272201018513
-2.741350806743621,0.09018070028827302
-2.7330193612804004,0.2807577360217688
-2.7259609694298543,0.4093620133349133
-2.7200914661867373,0.5206361751966689
-2.7163826172092307,0.5849338613635194
-2.714796682782752,0.6102472926551488
-2.7050439722331747,0.7548730752025772
-2.692279629355961,0.8944574387994172
-2.6899027254908328,0.9156216220755078
-2.6883190749798622,0.9358748308656266
-2.687103711416585,0.9462058267840462
-2.6671542032745776,1.11157674415628
-2.6649936238186402,1.1287677907078315
-2.660884468830513,1.176786525286687
-2.645413279241234,1.3333244970432059
-2.639491976207686,1.4141677817864413
-2.616364991264368,1.8576219462483443
-2.6147286117249124,1.887610446736921
-2.6090536465315335,2.0353558742531033
-2.604564767395407,2.158117535594403
-2.5974319751822446,2.37066112051814
-2.5940689420258485,2.4755105736494274
-2.5729931409895084,3.2087886683296087
-2.5679986472421437,3.389757024224379
-2.5569182189348916,3.76457014401651
-2.535051304301244,4.348753158329865
-2.531037944590905,4.417227040705938
-2.5301481762641993,4.42028206151965
-2.5245387976508136,4.491910538978515
-2.520692220207361,4.519003693348149
-2.5195636158620305,4.51902679630419
-2.517043507276429,4.543020783672183
-2.517010696085066,4.534849194974925
-2.514889774757992,4.532276824143017
-2.5113979297581546,4.523394885876887
-2.511328496648418,4.526308868416875
-2.5081453821910564,4.498839792076069
-2.4993970464340434,4.373044355721948
-2.4968674143689653,4.313550157872082
-2.494657211271937,4.2544429891654705
-2.489765128196378,4.123140213489663
-2.488387502706221,4.057870082936923
-2.486528976003167,3.995425794777353
-2.484858358482372,3.9356308940865294
-2.4824414717077117,3.825957601768582
-2.4681800558104867,3.104639682504044
-2.466377161153148,2.977007645642595
-2.462446557324837,2.7266975585480817
-2.456372682935335,2.31767166753554
-2.4528901877847233,2.0627635958568664
-2.451983509184017,1.9981816854957122
-2.44847917555644,1.7433310408338538
-2.448454466284155,1.7395219049897006
