n_harmonics,base_freq,magnitudes,instruments
9,2.1777453026460707,"[-0.59797263 -0.02778287 -0.43146645  0.97730145 -0.70720086 -1.48452726
  0.08564659 -0.12776258 -0.53382112]","[<ufunc 'cos'> <ufunc 'sin'> <ufunc 'cos'> <ufunc 'cos'> <ufunc 'cos'>
 <ufunc 'sin'> <ufunc 'cos'> <ufunc 'sin'> <ufunc 'cos'>]"
x,y
-2.987077706023926,-4.552617161884332
-2.9587005950927727,-4.708828187703064
-2.9536221354072296,-4.692363707663556
-2.95153861230531,-4.67286037771129
-2.9409391372094524,-4.584240172944818
-2.9274004613531823,-4.3280339007879345
-2.9019316571796843,-3.471617190956459
-2.8962897095879456,-3.2965929076579874
-2.8932501660625523,-3.187079202988889
-2.8919312542534152,-3.1173406286629555
-2.8750044236946417,-2.436790410123411
-2.863125008490428,-2.0218945228463245
-2.8573247946679285,-1.7994186273006025
-2.855482800660642,-1.728380482133021
-2.8549950003470688,-1.6789655032916897
-2.8548876847308584,-1.6666423426598664
-2.8532008589524738,-1.6332925152391005
-2.8471505529264958,-1.3783351609964225
-2.839270754774104,-1.1423462585359352
-2.832020283102319,-0.8817413563341886
-2.829221553828064,-0.8471727090284815
-2.8224238829966497,-0.6836278525037662
-2.817226362219343,-0.5389693606322008
-2.8164514315472653,-0.5180704961201016
-2.8148033381779447,-0.5340354541166293
-2.8120497093470185,-0.46125200431405766
-2.802254186141594,-0.30913399465165936
-2.797606868623874,-0.2800134596926798
-2.7973878639990315,-0.2296625087373238
-2.785335212459839,-0.1789589813124939
-2.7847613761760854,-0.1783785932582714
-2.779341503665142,-0.18632919321222996
-2.764984096378565,-0.26385611174845125
-2.764066675565744,-0.2580923898396093
-2.7619495385918693,-0.3189017101340781
-2.7613326046751947,-0.28496846749809945
-2.7611496785100127,-0.3319184715171646
-2.754993328864355,-0.398676262658951
-2.733247447989183,-0.8285297771624782
-2.71761627799592,-1.2159799216090286
-2.712804167142499,-1.3544173512194808
-2.7109948777596053,-1.4258836135013093
-2.7073669639807436,-1.4633769664958547
