n_harmonics,base_freq,magnitudes,instruments
10,2.2319135796832903,"[ 0.07603338 -0.60723972 -1.54474724  1.5596377   0.09149125 -0.95029277
 -0.90397415 -0.31057711 -1.39631362 -1.80151897]","[<ufunc 'cos'> <ufunc 'cos'> <ufunc 'sin'> <ufunc 'cos'> <ufunc 'cos'>
 <ufunc 'cos'> <ufunc 'sin'> <ufunc 'cos'> <ufunc 'cos'> <ufunc 'sin'>]"
x,y
-2.9990409403947598,0.9850465427846552
-2.9877859441537757,0.7445667540674693
-2.9747758231271266,0.4644770331443465
-2.9731910509305246,0.446408374498997
-2.9722437688001486,0.4296029977295747
-2.971095013659637,0.4375588982927346
-2.9508257220101006,0.01083066516284707
-2.9497706526745464,-0.032642110822424186
-2.936928484715947,-0.1993136548489812
-2.934992288501791,-0.20886809786434618
-2.9212784254984605,-0.3953285091497269
-2.9075758171943225,-0.493179911180268
-2.898529044273295,-0.5774023737758213
-2.895096439189193,-0.6102088198789068
-2.8949832044675485,-0.6072775250829641
-2.8924010751152234,-0.6009312070756702
-2.8845014015630004,-0.6688379739265334
-2.8781828042131172,-0.7121774936406597
-2.8665758413295506,-0.7681159961706068
-2.862426154336368,-0.774892948865141
-2.8589848326089444,-0.8034579250069085
-2.855020388802127,-0.8134863424938673
-2.8548934202407845,-0.8118501191309295
-2.8532834680356043,-0.8350193940777758
-2.845390424830432,-0.9159994433584511
-2.844655293450362,-0.8778660944386676
-2.838541304894138,-0.9169953852439915
-2.8345861810703745,-0.9325216541756366
-2.83069359201731,-0.957616121786259
-2.824638367337689,-1.0385030911385733
-2.8238853934416754,-1.0623859708250973
-2.815962998328792,-1.1137721847115931
-2.8156929615649395,-1.1108680837047216
-2.8034029320838694,-1.2853931827239962
-2.790205869019209,-1.4506576410230154
-2.784118148249145,-1.544499672530918
-2.774164190796017,-1.6852265806648115
-2.7697356343686685,-1.7413511176135086
-2.766630566390112,-1.8213372442943294
-2.766208873604077,-1.8169174980683593
-2.762448768697572,-1.8287799166152323
-2.7622202185100697,-1.8435289436745592
-2.757668239565726,-1.9499101455339882
-2.75586102392643,-1.936524513384446
-2.7489701920239744,-2.095639658807221
-2.7416653402094555,-2.1509375539040456
-2.7341919913323363,-2.2370545559759227
-2.7327043818354513,-2.246423781757339
-2.7247467773043814,-2.339264744433812
-2.7194122773144147,-2.3718628397342227
-2.7122932481932307,-2.3787999112032905
-2.710877490691968,-2.4338184921376596
-2.709290485235539,-2.4371830803647945
-2.6956576599117366,-2.444216084761658
-2.69069829518115,-2.468636330175657
-2.6839864912583615,-2.4596395235979434
-2.6804409451007167,-2.4164373076581502
-2.6703246382147148,-2.383062117509991
-2.6665094855511633,-2.342899641850466
-2.6646871889738044,-2.2744137775777293
-2.6549811343783705,-2.180257109069179
-2.6490763871658585,-2.1263005998768767
-2.6489936344666702,-2.132172658968116
