n_harmonics,base_freq,magnitudes,instruments
9,4.221385751564153,"[ 1.61078527 -1.65748011 -0.70607646  2.26174615  0.35209379  0.06025199
 -0.47291571  1.13344035  0.01995788]","[<ufunc 'cos'> <ufunc 'sin'> <ufunc 'sin'> <ufunc 'cos'> <ufunc 'sin'>
 <ufunc 'sin'> <ufunc 'cos'> <ufunc 'cos'> <ufunc 'sin'>]"
x,y
-2.9961665970476625,0.01589056541535653
-2.993509294435993,-0.25433244220592516
-2.9912841455995958,-0.501239389149155
-2.9866891680021865,-1.023084943995331
-2.9713116787831138,-2.6614722969601865
-2.965561970253681,-3.173193565596909
-2.9644484478085458,-3.2675887735721796
-2.9615720035226265,-3.4751328733337563
-2.958158062306241,-3.7270361013643494
-2.950060283611662,-4.143231153345885
-2.947276201886009,-4.225619298752952
-2.9274189526292895,-4.129177257497041
-2.925787695141482,-4.060301359072646
-2.9251239526508215,-4.026788796388375
-2.924123479309342,-3.9690846671787248
-2.920069423123368,-3.7746202769999857
-2.916822858090234,-3.573693514937988
-2.9147023116604784,-3.435513776283541
-2.9140920072095655,-3.371026426253887
-2.911544521229236,-3.2056639284801447
-2.9050169977728157,-2.6550383267874276
-2.9025207369780914,-2.422340007294261
-2.8960874310218463,-1.8027627516044347
-2.891375885720036,-1.3748763067155751
-2.8841359955022874,-0.6985119902048221
-2.8809342816391292,-0.3630609250107689
-2.871189065070123,0.43424844666897705
-2.8656205749121737,0.8253611324758001
-2.862292990986811,1.0729626420363019
-2.861422996344797,1.1188754689421565
-2.8526237724663956,1.5096191020629521
-2.8444712543087385,1.746079800428032
-2.8444126951225766,1.7174916556319872
-2.8226905433838594,1.5199178472251613
-2.8216655822272694,1.5051179171833882
-2.818343802426341,1.3949677077267824
-2.7987706301866906,0.5144507326198923
-2.796197944233466,0.3543329144640784
-2.7875935920352872,-0.054352337679236945
-2.7810005271746254,-0.3311368398737767
-2.775782846898485,-0.567333772764457
-2.766882341306574,-0.8539939658790988
-2.759344344850676,-1.0373663964623345
-2.748682306963034,-1.195078295007307
-2.7341974037849734,-1.208361451567402
-2.72809756846986,-1.2218017315051215
-2.726633400323542,-1.2133056485579599
-2.723936608123114,-1.2040938179810967
-2.722403398835725,-1.1855062099133977
-2.713656905372412,-1.1682970363368885
-2.712808235288951,-1.163254313197201
-2.712120362626682,-1.1550196732055542
-2.706764907593178,-1.1634860824168047
-2.7002876094596147,-1.1824904332570334
-2.699008337366244,-1.1758725491374722
-2.697716269438573,-1.2017540559941098
-2.696291913358275,-1.2487904915685633
-2.6956895076035483,-1.2282766841681036
-2.6901204431548438,-1.284839794717152
-2.681319769737261,-1.476668073102433
-2.6758407791365966,-1.6093417134573242
-2.668290064596941,-1.8416655635676475
-2.647604361792662,-2.6266702227103282
-2.641929166189283,-2.862474157549475
-2.6246940060215795,-3.4653970674164283
-2.614126231667163,-3.716924836621626
-2.605951473262715,-3.825683437924636
-2.5946480263860487,-3.8252018170464996
-2.5822305753937016,-3.6080186330449946
-2.572242351774481,-3.3085840612718425
-2.568054924737431,-3.1313810390153827
-2.556187367147553,-2.582859400889714
-2.553141851270696,-2.432309816290631
-2.5429504668845526,-1.8419063047597215
-2.5339659009996693,-1.3037083252959272
-2.5313320736588305,-1.1379390291800606
-2.529506777364263,-1.0005007296868103
-2.5145369855285367,-0.09335481269234626
-2.51101068884154,0.13386688059561772
-2.5084639384234357,0.2849921470186182
-2.505425479024936,0.4521600206629118
-2.5000051899689457,0.7949630520513922
-2.4966228331085976,0.966562798174764
-2.4951785409320912,1.0611308438698364
-2.4898175015722117,1.3712973846095484
-2.4869822668997523,1.5303479292345832
-2.478757862813926,1.9692487656135516
-2.4774865623850184,2.0153467150008515
-2.465180546181502,2.594867649284076
