n_harmonics,base_freq,magnitudes,instruments
9,1.3704896844437582,"[-1.05398595  0.37084949 -0.19728721 -0.77752386  0.44463763  0.78765938
 -0.49650709  1.23301312  1.81126148]","[<ufunc 'sin'> <ufunc 'cos'> <ufunc 'sin'> <ufunc 'sin'> <ufunc 'sin'>
 <ufunc 'sin'> <ufunc 'sin'> <ufunc 'cos'> <ufunc 'sin'>]"
x,y
-2.9886884549339143,-2.7832754674665474
-2.980102225811366,-2.63824272199098
-2.97123983421643,-2.454546201140656
-2.966323466011315,-2.3742668758788836
-2.9649887178059116,-2.355203032064441
-2.962161443813015,-2.317364176261233
-2.957617761089111,-2.2499701588880368
-2.951728826249079,-2.151869081747229
-2.9503893506795142,-2.1076390565912853
-2.942844451674681,-1.9988190329809399
-2.9418452695322523,-1.9897180095537705
-2.9397610756436885,-1.9558132005557523
-2.927688833258516,-1.7777681537527001
-2.9269064226760326,-1.7722400534685365
-2.9264891270942357,-1.774426890165571
-2.925841914672132,-1.7501332310379834
-2.9222550554679927,-1.7149080124553246
-2.918453896158277,-1.6797979455376044
-2.9176798784587383,-1.6428420549135645
-2.917473774884405,-1.6670712796327105
-2.9097394218236996,-1.5515452199585613
-2.904325904129293,-1.4883511657130049
-2.893145007582297,-1.4070847826815074
-2.890666813963632,-1.3769521860016123
-2.8730608964846986,-1.2211498747509815
-2.8700147220460597,-1.209221504146128
-2.864081413630971,-1.1970951889559627
-2.8603072699932213,-1.138708938895489
-2.853095821696053,-1.1159078356934313
-2.8514656177837354,-1.1020457221195614
-2.8441328455879598,-1.0640716544374043
-2.8428594059670385,-1.0616023662516185
-2.8326480297204126,-1.0258454614524954
-2.8254924919138604,-1.0144576474390605
-2.8208138888438192,-0.9954495605989613
-2.816277016766893,-0.9597997635561086
-2.813402821967659,-0.9611634315854176
-2.8041607529601427,-0.9452099111977187
-2.801378220440431,-0.9280525639060289
-2.790341962991582,-0.9233188199671277
-2.7792083680162603,-0.9173537911112303
-2.7738733416169046,-0.9000609989504018
-2.769952381923209,-0.8750845039166247
-2.7597184073866527,-0.8682738677716738
-2.7586088997286247,-0.8534463398478265
-2.7576548726641192,-0.8558031228564649
-2.755397558657534,-0.8590865872186164
-2.7398169460583617,-0.8137334085488033
-2.736966521266148,-0.8089730636220169
-2.736531532337095,-0.7899331600344924
-2.7306615857368346,-0.7724287654957902
-2.7220124502011265,-0.755252707005183
-2.7201388760247065,-0.735084729774354
-2.7076010214177213,-0.6644497914051066
-2.7006249883103806,-0.6457261197504085
-2.6964082484960663,-0.6191567779095937
-2.692209593187994,-0.5853908981721563
-2.6890669809718144,-0.5608260833936529
-2.6771727661297025,-0.47256804895351046
-2.6696535808292774,-0.40702375837262006
-2.6627821206824622,-0.3535225489644997
